event,date,category,window,CAR,se,t_stat,p_value,stars,significant
China_RareEarth_Embargo,2010-09-22,Export_Controls,"[-1,+1]",0.003452,0.009655,0.3575,0.721,,False
China_RareEarth_Embargo,2010-09-22,Export_Controls,"[-3,+3]",0.005738,0.014779,0.3883,0.6982,,False
China_RareEarth_Embargo,2010-09-22,Export_Controls,"[-5,+5]",0.005937,0.018519,0.3206,0.7488,,False
China_RareEarth_Embargo,2010-09-22,Export_Controls,"[-10,+10]",0.015112,0.025586,0.5906,0.5553,,False
Sec301_China_Tariffs,2018-03-22,Trade_Coercion,"[-1,+1]",0.004611,0.005592,0.8246,0.4104,,False
Sec301_China_Tariffs,2018-03-22,Trade_Coercion,"[-3,+3]",0.014519,0.008518,1.7045,0.0896,*,True
Sec301_China_Tariffs,2018-03-22,Trade_Coercion,"[-5,+5]",0.01884,0.010619,1.7742,0.0773,*,True
Sec301_China_Tariffs,2018-03-22,Trade_Coercion,"[-10,+10]",0.008119,0.01464,0.5546,0.5797,,False
Iran_JCPOA_Withdrawal,2018-05-08,Sanctions,"[-1,+1]",0.002484,0.005821,0.4267,0.67,,False
Iran_JCPOA_Withdrawal,2018-05-08,Sanctions,"[-3,+3]",0.004965,0.008893,0.5583,0.5772,,False
Iran_JCPOA_Withdrawal,2018-05-08,Sanctions,"[-5,+5]",-0.00072,0.011166,-0.0645,0.9487,,False
Iran_JCPOA_Withdrawal,2018-05-08,Sanctions,"[-10,+10]",-0.008462,0.015442,-0.548,0.5842,,False
Huawei_EntityList,2019-05-16,Export_Controls,"[-1,+1]",-0.000263,0.007936,-0.0331,0.9736,,False
Huawei_EntityList,2019-05-16,Export_Controls,"[-3,+3]",6.8e-05,0.012141,0.0056,0.9955,,False
Huawei_EntityList,2019-05-16,Export_Controls,"[-5,+5]",0.00175,0.015212,0.115,0.9085,,False
Huawei_EntityList,2019-05-16,Export_Controls,"[-10,+10]",-0.001826,0.021009,-0.0869,0.9308,,False
Russia_SWIFT_Sanctions,2022-02-28,Sanctions,"[-1,+1]",0.000678,0.007144,0.095,0.9244,,False
Russia_SWIFT_Sanctions,2022-02-28,Sanctions,"[-3,+3]",-0.005793,0.010926,-0.5302,0.5965,,False
Russia_SWIFT_Sanctions,2022-02-28,Sanctions,"[-5,+5]",-0.019947,0.013691,-1.457,0.1464,,False
Russia_SWIFT_Sanctions,2022-02-28,Sanctions,"[-10,+10]",0.010188,0.018887,0.5394,0.5901,,False
BIS_Chip_Controls,2022-10-07,Export_Controls,"[-1,+1]",0.000364,0.008475,0.043,0.9657,,False
BIS_Chip_Controls,2022-10-07,Export_Controls,"[-3,+3]",0.005731,0.012953,0.4425,0.6586,,False
BIS_Chip_Controls,2022-10-07,Export_Controls,"[-5,+5]",0.003023,0.01627,0.1858,0.8527,,False
BIS_Chip_Controls,2022-10-07,Export_Controls,"[-10,+10]",0.011876,0.022468,0.5286,0.5976,,False
Liberation_Day,2025-04-02,Trade_Coercion,"[-1,+1]",0.000298,0.00796,0.0375,0.9701,,False
Liberation_Day,2025-04-02,Trade_Coercion,"[-3,+3]",-0.038963,0.012324,-3.1615,0.0018,***,True
Liberation_Day,2025-04-02,Trade_Coercion,"[-5,+5]",-0.020087,0.015603,-1.2874,0.1992,,False
Liberation_Day,2025-04-02,Trade_Coercion,"[-10,+10]",-0.010351,0.02115,-0.4894,0.625,,False
Iran_JCPOA_Signing,2015-07-14,Sanctions_Relief,"[-1,+1]",-0.006974,0.005679,-1.2279,0.2207,,False
Iran_JCPOA_Signing,2015-07-14,Sanctions_Relief,"[-3,+3]",0.008095,0.008686,0.932,0.3523,,False
Iran_JCPOA_Signing,2015-07-14,Sanctions_Relief,"[-5,+5]",0.000255,0.010894,0.0234,0.9813,,False
Iran_JCPOA_Signing,2015-07-14,Sanctions_Relief,"[-10,+10]",-0.014586,0.015051,-0.9691,0.3335,,False
US_China_PhaseOne_Deal,2020-01-15,Trade_Relief,"[-1,+1]",0.001932,0.00572,0.3377,0.7359,,False
US_China_PhaseOne_Deal,2020-01-15,Trade_Relief,"[-3,+3]",-0.003642,0.008729,-0.4173,0.6769,,False
US_China_PhaseOne_Deal,2020-01-15,Trade_Relief,"[-5,+5]",-0.004539,0.010938,-0.4149,0.6786,,False
US_China_PhaseOne_Deal,2020-01-15,Trade_Relief,"[-10,+10]",0.001335,0.015133,0.0882,0.9298,,False
US_EU_Steel_Truce,2021-11-01,Trade_Relief,"[-1,+1]",0.002288,0.006775,0.3377,0.7359,,False
US_EU_Steel_Truce,2021-11-01,Trade_Relief,"[-3,+3]",0.00616,0.01035,0.5952,0.5523,,False
US_EU_Steel_Truce,2021-11-01,Trade_Relief,"[-5,+5]",0.003729,0.012959,0.2877,0.7738,,False
US_EU_Steel_Truce,2021-11-01,Trade_Relief,"[-10,+10]",-0.004053,0.017893,-0.2265,0.821,,False
