date,rel_day,AR,AR_std
2019-12-31,-10,0.0006592918239771419,0.0078102101711405945
2020-01-02,-9,0.021371478853749702,0.007899281276739086
2020-01-03,-8,-0.015325232724645244,0.007845855122580469
2020-01-06,-7,0.0023540898021094277,0.007822095747518666
2020-01-07,-6,3.033100575883501e-05,0.00781324846027256
2020-01-08,-5,-0.004055991304287777,0.007828523517109047
2020-01-09,-4,0.004197494255178709,0.007858543941583897
2020-01-10,-3,0.0074048392062286104,0.007817866334972855
2020-01-13,-2,0.010322563597677078,0.007821407351184022
2020-01-14,-1,-0.009417291367228743,0.007827612591732177
2020-01-15,0,-0.0061620457328703535,0.00786270764984423
2020-01-16,1,-0.0012077580861611838,0.00783885913580585
2020-01-17,2,0.0029624397572710973,0.007841792084080076
2020-01-21,3,-0.04342109116013866,0.007839963752562941
2020-01-22,4,0.010866591808362858,0.007812514362330441
2020-01-23,5,-0.013202063331896921,0.0078085370611471454
2020-01-24,6,-0.0025829579922860522,0.007844616300250387
2020-01-27,7,-0.024690400271358128,0.007927625891342079
2020-01-28,8,-0.0021142356333325547,0.007840468230885664
2020-01-29,9,0.008973487466091808,0.007851676919617096
2020-01-30,10,-0.01575416592810955,0.007883777290566992
