event,date,category,window,CAR,se,t_stat,p_value,stars,significant
China_RareEarth_Embargo,2010-09-22,Export_Controls,"[-1,+1]",0.006812,0.018048,0.3774,0.7062,,False
China_RareEarth_Embargo,2010-09-22,Export_Controls,"[-3,+3]",0.020333,0.027626,0.736,0.4624,,False
China_RareEarth_Embargo,2010-09-22,Export_Controls,"[-5,+5]",0.010408,0.034616,0.3007,0.7639,,False
China_RareEarth_Embargo,2010-09-22,Export_Controls,"[-10,+10]",0.041549,0.047825,0.8688,0.3858,,False
Sec301_China_Tariffs,2018-03-22,Trade_Coercion,"[-1,+1]",-0.016676,0.016087,-1.0366,0.301,,False
Sec301_China_Tariffs,2018-03-22,Trade_Coercion,"[-3,+3]",0.013749,0.024504,0.5611,0.5753,,False
Sec301_China_Tariffs,2018-03-22,Trade_Coercion,"[-5,+5]",0.016711,0.030547,0.5471,0.5848,,False
Sec301_China_Tariffs,2018-03-22,Trade_Coercion,"[-10,+10]",0.019573,0.042116,0.4647,0.6425,,False
Iran_JCPOA_Withdrawal,2018-05-08,Sanctions,"[-1,+1]",0.001596,0.016154,0.0988,0.9214,,False
Iran_JCPOA_Withdrawal,2018-05-08,Sanctions,"[-3,+3]",-0.013456,0.02468,-0.5452,0.5861,,False
Iran_JCPOA_Withdrawal,2018-05-08,Sanctions,"[-5,+5]",-0.018618,0.03099,-0.6008,0.5486,,False
Iran_JCPOA_Withdrawal,2018-05-08,Sanctions,"[-10,+10]",-0.000105,0.042857,-0.0025,0.998,,False
Huawei_EntityList,2019-05-16,Export_Controls,"[-1,+1]",-0.014326,0.018393,-0.7789,0.4368,,False
Huawei_EntityList,2019-05-16,Export_Controls,"[-3,+3]",-0.017889,0.028139,-0.6357,0.5256,,False
Huawei_EntityList,2019-05-16,Export_Controls,"[-5,+5]",-0.030896,0.035257,-0.8763,0.3818,,False
Huawei_EntityList,2019-05-16,Export_Controls,"[-10,+10]",-0.027042,0.048693,-0.5554,0.5792,,False
Russia_SWIFT_Sanctions,2022-02-28,Sanctions,"[-1,+1]",-0.007925,0.025849,-0.3066,0.7594,,False
Russia_SWIFT_Sanctions,2022-02-28,Sanctions,"[-3,+3]",-0.066016,0.039533,-1.6699,0.0963,*,True
Russia_SWIFT_Sanctions,2022-02-28,Sanctions,"[-5,+5]",-0.141585,0.049534,-2.8584,0.0046,***,True
Russia_SWIFT_Sanctions,2022-02-28,Sanctions,"[-10,+10]",-0.28679,0.068336,-4.1967,0.0,***,True
BIS_Chip_Controls,2022-10-07,Export_Controls,"[-1,+1]",-0.027163,0.035917,-0.7563,0.4502,,False
BIS_Chip_Controls,2022-10-07,Export_Controls,"[-3,+3]",-0.030756,0.054895,-0.5603,0.5758,,False
BIS_Chip_Controls,2022-10-07,Export_Controls,"[-5,+5]",-0.05031,0.068956,-0.7296,0.4664,,False
BIS_Chip_Controls,2022-10-07,Export_Controls,"[-10,+10]",-0.104731,0.095224,-1.0998,0.2725,,False
Liberation_Day,2025-04-02,Trade_Coercion,"[-1,+1]",-0.0048,0.035889,-0.1337,0.8937,,False
Liberation_Day,2025-04-02,Trade_Coercion,"[-3,+3]",-0.164016,0.05557,-2.9515,0.0035,***,True
Liberation_Day,2025-04-02,Trade_Coercion,"[-5,+5]",-0.130099,0.070353,-1.8492,0.0657,*,True
Liberation_Day,2025-04-02,Trade_Coercion,"[-10,+10]",-0.184181,0.095364,-1.9314,0.0546,*,True
Iran_JCPOA_Signing,2015-07-14,Sanctions_Relief,"[-1,+1]",-0.04056,0.02257,-1.7971,0.0736,*,True
Iran_JCPOA_Signing,2015-07-14,Sanctions_Relief,"[-3,+3]",0.050758,0.034517,1.4705,0.1427,,False
Iran_JCPOA_Signing,2015-07-14,Sanctions_Relief,"[-5,+5]",-0.059146,0.043295,-1.3661,0.1732,,False
Iran_JCPOA_Signing,2015-07-14,Sanctions_Relief,"[-10,+10]",-0.141823,0.059813,-2.3711,0.0185,**,True
US_China_PhaseOne_Deal,2020-01-15,Trade_Relief,"[-1,+1]",-0.016787,0.013585,-1.2357,0.2178,,False
US_China_PhaseOne_Deal,2020-01-15,Trade_Relief,"[-3,+3]",-0.039518,0.020731,-1.9062,0.0578,*,True
US_China_PhaseOne_Deal,2020-01-15,Trade_Relief,"[-5,+5]",-0.041712,0.025978,-1.6057,0.1097,,False
US_China_PhaseOne_Deal,2020-01-15,Trade_Relief,"[-10,+10]",-0.068791,0.03594,-1.914,0.0568,*,True
US_EU_Steel_Truce,2021-11-01,Trade_Relief,"[-1,+1]",-0.038822,0.024171,-1.6062,0.1096,,False
US_EU_Steel_Truce,2021-11-01,Trade_Relief,"[-3,+3]",-0.063292,0.036923,-1.7141,0.0878,*,True
US_EU_Steel_Truce,2021-11-01,Trade_Relief,"[-5,+5]",-0.089747,0.046232,-1.9412,0.0534,*,True
US_EU_Steel_Truce,2021-11-01,Trade_Relief,"[-10,+10]",-0.006047,0.063836,-0.0947,0.9246,,False
