date,rel_day,AR,AR_std
2019-12-31,-10,-0.0014073207357081891,0.0030209589718583384
2020-01-02,-9,0.0038124868124338584,0.0030554113296944155
2020-01-03,-8,-0.002749113383110978,0.0030347463006874186
2020-01-06,-7,-0.003105099325266914,0.003025556266656847
2020-01-07,-6,-0.0012476488699702483,0.003022134170298737
2020-01-08,-5,0.0022309790696689044,0.003028042502979251
2020-01-09,-4,0.0010186300647419032,0.003039654286614908
2020-01-10,-3,-0.0018061721702656358,0.003023920346304387
2020-01-13,-2,-0.0016433201915054905,0.003025289997627234
2020-01-14,-1,-0.0015698654652978785,0.003027690160580052
2020-01-15,0,-0.001233323745286293,0.0030412647928048354
2020-01-16,1,-0.0012216923309482652,0.003032040280164196
2020-01-17,2,9.763932896686726e-05,0.003033174733169796
2020-01-21,3,-0.0053407305336947,0.0030324675416372785
2020-01-22,4,0.0017564231552098433,0.003021850224064786
2020-01-23,5,-0.00046048602065060554,0.00302031181940855
2020-01-24,6,-0.0007613046254983866,0.0030342671290197443
2020-01-27,7,-0.001363032852545177,0.003066374916577798
2020-01-28,8,0.0034386598839887504,0.003032662671893922
2020-01-29,9,0.003995864540570278,0.003036998149178657
2020-01-30,10,-0.0014546961217102765,0.0030494144480356835
