event,date,category,window,CAR,se,t_stat,p_value,stars,significant
China_RareEarth_Embargo,2010-09-22,Export_Controls,"[-1,+1]",0.01607,0.014011,1.1469,0.2526,,False
China_RareEarth_Embargo,2010-09-22,Export_Controls,"[-3,+3]",0.004957,0.021447,0.2311,0.8174,,False
China_RareEarth_Embargo,2010-09-22,Export_Controls,"[-5,+5]",0.008122,0.026873,0.3022,0.7628,,False
China_RareEarth_Embargo,2010-09-22,Export_Controls,"[-10,+10]",0.031544,0.037128,0.8496,0.3964,,False
Sec301_China_Tariffs,2018-03-22,Trade_Coercion,"[-1,+1]",0.01948,0.007898,2.4664,0.0144,**,True
Sec301_China_Tariffs,2018-03-22,Trade_Coercion,"[-3,+3]",0.015669,0.012031,1.3024,0.194,,False
Sec301_China_Tariffs,2018-03-22,Trade_Coercion,"[-5,+5]",0.004425,0.014998,0.295,0.7682,,False
Sec301_China_Tariffs,2018-03-22,Trade_Coercion,"[-10,+10]",-0.000607,0.020678,-0.0294,0.9766,,False
Iran_JCPOA_Withdrawal,2018-05-08,Sanctions,"[-1,+1]",-0.007847,0.008193,-0.9578,0.3392,,False
Iran_JCPOA_Withdrawal,2018-05-08,Sanctions,"[-3,+3]",0.00311,0.012518,0.2485,0.804,,False
Iran_JCPOA_Withdrawal,2018-05-08,Sanctions,"[-5,+5]",0.002043,0.015718,0.13,0.8967,,False
Iran_JCPOA_Withdrawal,2018-05-08,Sanctions,"[-10,+10]",-0.002575,0.021737,-0.1185,0.9058,,False
Huawei_EntityList,2019-05-16,Export_Controls,"[-1,+1]",0.001452,0.011524,0.126,0.8999,,False
Huawei_EntityList,2019-05-16,Export_Controls,"[-3,+3]",-0.004046,0.01763,-0.2295,0.8187,,False
Huawei_EntityList,2019-05-16,Export_Controls,"[-5,+5]",0.001252,0.02209,0.0567,0.9548,,False
Huawei_EntityList,2019-05-16,Export_Controls,"[-10,+10]",0.012582,0.030508,0.4124,0.6804,,False
Russia_SWIFT_Sanctions,2022-02-28,Sanctions,"[-1,+1]",0.013185,0.011191,1.1782,0.2399,,False
Russia_SWIFT_Sanctions,2022-02-28,Sanctions,"[-3,+3]",0.012959,0.017115,0.7572,0.4497,,False
Russia_SWIFT_Sanctions,2022-02-28,Sanctions,"[-5,+5]",0.008215,0.021444,0.3831,0.702,,False
Russia_SWIFT_Sanctions,2022-02-28,Sanctions,"[-10,+10]",0.019392,0.029585,0.6555,0.5128,,False
BIS_Chip_Controls,2022-10-07,Export_Controls,"[-1,+1]",-0.001236,0.013126,-0.0942,0.925,,False
BIS_Chip_Controls,2022-10-07,Export_Controls,"[-3,+3]",-0.016702,0.020062,-0.8325,0.4059,,False
BIS_Chip_Controls,2022-10-07,Export_Controls,"[-5,+5]",-0.019027,0.025201,-0.755,0.451,,False
BIS_Chip_Controls,2022-10-07,Export_Controls,"[-10,+10]",0.002598,0.034801,0.0746,0.9406,,False
Liberation_Day,2025-04-02,Trade_Coercion,"[-1,+1]",0.003378,0.012711,0.2658,0.7906,,False
Liberation_Day,2025-04-02,Trade_Coercion,"[-3,+3]",-0.050631,0.01968,-2.5727,0.0107,**,True
Liberation_Day,2025-04-02,Trade_Coercion,"[-5,+5]",-0.039125,0.024916,-1.5703,0.1177,,False
Liberation_Day,2025-04-02,Trade_Coercion,"[-10,+10]",-0.021686,0.033774,-0.6421,0.5214,,False
Iran_JCPOA_Signing,2015-07-14,Sanctions_Relief,"[-1,+1]",-0.00608,0.009598,-0.6335,0.527,,False
Iran_JCPOA_Signing,2015-07-14,Sanctions_Relief,"[-3,+3]",0.009022,0.014678,0.6147,0.5394,,False
Iran_JCPOA_Signing,2015-07-14,Sanctions_Relief,"[-5,+5]",-0.015268,0.018411,-0.8293,0.4078,,False
Iran_JCPOA_Signing,2015-07-14,Sanctions_Relief,"[-10,+10]",-0.058562,0.025435,-2.3024,0.0222,**,True
US_China_PhaseOne_Deal,2020-01-15,Trade_Relief,"[-1,+1]",-0.001417,0.008622,-0.1644,0.8696,,False
US_China_PhaseOne_Deal,2020-01-15,Trade_Relief,"[-3,+3]",0.002275,0.013157,0.1729,0.8628,,False
US_China_PhaseOne_Deal,2020-01-15,Trade_Relief,"[-5,+5]",-0.013923,0.016487,-0.8445,0.3992,,False
US_China_PhaseOne_Deal,2020-01-15,Trade_Relief,"[-10,+10]",-0.042789,0.02281,-1.8759,0.0619,*,True
US_EU_Steel_Truce,2021-11-01,Trade_Relief,"[-1,+1]",-0.013013,0.011113,-1.171,0.2428,,False
US_EU_Steel_Truce,2021-11-01,Trade_Relief,"[-3,+3]",-0.016814,0.016977,-0.9904,0.323,,False
US_EU_Steel_Truce,2021-11-01,Trade_Relief,"[-5,+5]",-0.006786,0.021257,-0.3192,0.7498,,False
US_EU_Steel_Truce,2021-11-01,Trade_Relief,"[-10,+10]",-0.020742,0.029351,-0.7067,0.4805,,False
