event,date,category,window,CAR,se,t_stat,p_value,stars,significant
China_RareEarth_Embargo,2010-09-22,Export_Controls,"[-1,+1]",0.010141,0.006205,1.6344,0.1035,,False
China_RareEarth_Embargo,2010-09-22,Export_Controls,"[-3,+3]",0.006297,0.009497,0.663,0.508,,False
China_RareEarth_Embargo,2010-09-22,Export_Controls,"[-5,+5]",0.005269,0.011901,0.4428,0.6583,,False
China_RareEarth_Embargo,2010-09-22,Export_Controls,"[-10,+10]",0.001707,0.016442,0.1038,0.9174,,False
Sec301_China_Tariffs,2018-03-22,Trade_Coercion,"[-1,+1]",-0.001699,0.004991,-0.3405,0.7338,,False
Sec301_China_Tariffs,2018-03-22,Trade_Coercion,"[-3,+3]",-0.010795,0.007603,-1.4198,0.157,,False
Sec301_China_Tariffs,2018-03-22,Trade_Coercion,"[-5,+5]",-0.014376,0.009478,-1.5168,0.1307,,False
Sec301_China_Tariffs,2018-03-22,Trade_Coercion,"[-10,+10]",-0.015983,0.013068,-1.2231,0.2225,,False
Iran_JCPOA_Withdrawal,2018-05-08,Sanctions,"[-1,+1]",0.003359,0.005089,0.66,0.5099,,False
Iran_JCPOA_Withdrawal,2018-05-08,Sanctions,"[-3,+3]",-0.000378,0.007776,-0.0486,0.9613,,False
Iran_JCPOA_Withdrawal,2018-05-08,Sanctions,"[-5,+5]",0.00624,0.009763,0.6392,0.5233,,False
Iran_JCPOA_Withdrawal,2018-05-08,Sanctions,"[-10,+10]",0.011202,0.013502,0.8297,0.4076,,False
Huawei_EntityList,2019-05-16,Export_Controls,"[-1,+1]",-0.001438,0.005509,-0.261,0.7943,,False
Huawei_EntityList,2019-05-16,Export_Controls,"[-3,+3]",-0.012263,0.008429,-1.4549,0.147,,False
Huawei_EntityList,2019-05-16,Export_Controls,"[-5,+5]",-0.021459,0.010561,-2.0319,0.0433,**,True
Huawei_EntityList,2019-05-16,Export_Controls,"[-10,+10]",-0.024014,0.014586,-1.6464,0.101,,True
Russia_SWIFT_Sanctions,2022-02-28,Sanctions,"[-1,+1]",-0.006846,0.004888,-1.4007,0.1626,,False
Russia_SWIFT_Sanctions,2022-02-28,Sanctions,"[-3,+3]",-0.005607,0.007475,-0.75,0.454,,False
Russia_SWIFT_Sanctions,2022-02-28,Sanctions,"[-5,+5]",0.000551,0.009366,0.0588,0.9531,,False
Russia_SWIFT_Sanctions,2022-02-28,Sanctions,"[-10,+10]",-0.000572,0.012922,-0.0443,0.9647,,False
BIS_Chip_Controls,2022-10-07,Export_Controls,"[-1,+1]",0.002832,0.005467,0.518,0.6049,,False
BIS_Chip_Controls,2022-10-07,Export_Controls,"[-3,+3]",-0.001457,0.008356,-0.1744,0.8617,,False
BIS_Chip_Controls,2022-10-07,Export_Controls,"[-5,+5]",-0.005753,0.010497,-0.5481,0.5841,,False
BIS_Chip_Controls,2022-10-07,Export_Controls,"[-10,+10]",-0.006213,0.014495,-0.4286,0.6686,,False
Liberation_Day,2025-04-02,Trade_Coercion,"[-1,+1]",0.004243,0.004861,0.8729,0.3836,,False
Liberation_Day,2025-04-02,Trade_Coercion,"[-3,+3]",0.014374,0.007526,1.9098,0.0574,*,True
Liberation_Day,2025-04-02,Trade_Coercion,"[-5,+5]",0.002217,0.009528,0.2326,0.8162,,False
Liberation_Day,2025-04-02,Trade_Coercion,"[-10,+10]",-0.003882,0.012916,-0.3006,0.764,,False
Iran_JCPOA_Signing,2015-07-14,Sanctions_Relief,"[-1,+1]",0.00622,0.004436,1.4023,0.1621,,False
Iran_JCPOA_Signing,2015-07-14,Sanctions_Relief,"[-3,+3]",0.016912,0.006783,2.4932,0.0133,**,True
Iran_JCPOA_Signing,2015-07-14,Sanctions_Relief,"[-5,+5]",0.017372,0.008508,2.0417,0.0423,**,True
Iran_JCPOA_Signing,2015-07-14,Sanctions_Relief,"[-10,+10]",-0.000349,0.011755,-0.0297,0.9763,,False
US_China_PhaseOne_Deal,2020-01-15,Trade_Relief,"[-1,+1]",-0.007898,0.004796,-1.6468,0.1009,,True
US_China_PhaseOne_Deal,2020-01-15,Trade_Relief,"[-3,+3]",-0.002908,0.00732,-0.3972,0.6916,,False
US_China_PhaseOne_Deal,2020-01-15,Trade_Relief,"[-5,+5]",-0.000852,0.009172,-0.0929,0.9261,,False
US_China_PhaseOne_Deal,2020-01-15,Trade_Relief,"[-10,+10]",0.005207,0.012689,0.4104,0.6819,,False
US_EU_Steel_Truce,2021-11-01,Trade_Relief,"[-1,+1]",-0.000191,0.004987,-0.0383,0.9694,,False
US_EU_Steel_Truce,2021-11-01,Trade_Relief,"[-3,+3]",0.008521,0.007618,1.1185,0.2645,,False
US_EU_Steel_Truce,2021-11-01,Trade_Relief,"[-5,+5]",0.012018,0.009539,1.2598,0.209,,False
US_EU_Steel_Truce,2021-11-01,Trade_Relief,"[-10,+10]",0.011774,0.013171,0.8939,0.3723,,False
