date,rel_day,AR,AR_std
2015-06-29,-10,-0.00026074126589226143,0.0003938665327538131
2015-06-30,-9,-9.867581776080254e-05,0.00038795923072407255
2015-07-01,-8,-5.190282946002534e-05,0.00038858527009900723
2015-07-02,-7,0.00014822506722456428,0.00038774525840881875
2015-07-06,-6,0.00017347489523103195,0.0003877174087594992
2015-07-07,-5,0.0002880106799880754,0.00038851056742602967
2015-07-08,-4,4.09475589156702e-05,0.00039085943368812086
2015-07-09,-3,-0.0003365561794033303,0.0003865238731374182
2015-07-10,-2,0.0004316009237656272,0.00038882301596379225
2015-07-13,-1,-0.00034031226885117456,0.0003891167731910687
2015-07-14,0,-8.451934409951789e-06,0.00038906239094466094
2015-07-15,1,0.0001262692903531116,0.0003882391263412189
2015-07-16,2,0.00021927014984359384,0.0003889255534851471
2015-07-17,3,-5.943231305473437e-05,0.0003905051301653125
2015-07-20,4,4.72086392489787e-05,0.00039064072441689094
2015-07-21,5,0.0004305556703285895,0.00038719349411338614
2015-07-22,6,-0.0003383569905051082,0.0003871000113561103
2015-07-23,7,-0.00032023309022796275,0.00038817439644502094
2015-07-24,8,-0.0006149396587629471,0.0003899273101600086
2015-07-27,9,0.001353890084726167,0.0003869419737723753
2015-07-28,10,-0.00030756007619613286,0.0003895488934638649
