event,date,category,window,CAR,se,t_stat,p_value,stars,significant
China_RareEarth_Embargo,2010-09-22,Export_Controls,"[-1,+1]",-0.008809,0.008276,-1.0644,0.2882,,False
China_RareEarth_Embargo,2010-09-22,Export_Controls,"[-3,+3]",-0.003694,0.012633,-0.2924,0.7702,,False
China_RareEarth_Embargo,2010-09-22,Export_Controls,"[-5,+5]",-0.006759,0.015821,-0.4272,0.6696,,False
China_RareEarth_Embargo,2010-09-22,Export_Controls,"[-10,+10]",-0.008572,0.021865,-0.392,0.6954,,False
Sec301_China_Tariffs,2018-03-22,Trade_Coercion,"[-1,+1]",-0.015084,0.007451,-2.0244,0.0441,**,True
Sec301_China_Tariffs,2018-03-22,Trade_Coercion,"[-3,+3]",-0.016424,0.011353,-1.4467,0.1493,,False
Sec301_China_Tariffs,2018-03-22,Trade_Coercion,"[-5,+5]",-0.013394,0.014296,-0.9369,0.3497,,False
Sec301_China_Tariffs,2018-03-22,Trade_Coercion,"[-10,+10]",-0.003982,0.019716,-0.202,0.8401,,False
Iran_JCPOA_Withdrawal,2018-05-08,Sanctions,"[-1,+1]",0.001543,0.007517,0.2053,0.8375,,False
Iran_JCPOA_Withdrawal,2018-05-08,Sanctions,"[-3,+3]",-0.002635,0.011483,-0.2295,0.8187,,False
Iran_JCPOA_Withdrawal,2018-05-08,Sanctions,"[-5,+5]",0.012659,0.014399,0.8792,0.3802,,False
Iran_JCPOA_Withdrawal,2018-05-08,Sanctions,"[-10,+10]",0.02645,0.020128,1.3141,0.1901,,False
Huawei_EntityList,2019-05-16,Export_Controls,"[-1,+1]",0.004862,0.006374,0.7628,0.4464,,False
Huawei_EntityList,2019-05-16,Export_Controls,"[-3,+3]",0.00282,0.009742,0.2894,0.7725,,False
Huawei_EntityList,2019-05-16,Export_Controls,"[-5,+5]",-0.011114,0.012214,-0.9099,0.3638,,False
Huawei_EntityList,2019-05-16,Export_Controls,"[-10,+10]",-0.011315,0.016874,-0.6706,0.5031,,False
Russia_SWIFT_Sanctions,2022-02-28,Sanctions,"[-1,+1]",-0.009488,0.008071,-1.1755,0.241,,False
Russia_SWIFT_Sanctions,2022-02-28,Sanctions,"[-3,+3]",0.001185,0.0122,0.0971,0.9227,,False
Russia_SWIFT_Sanctions,2022-02-28,Sanctions,"[-5,+5]",-0.005417,0.015265,-0.3549,0.723,,False
Russia_SWIFT_Sanctions,2022-02-28,Sanctions,"[-10,+10]",-0.003283,0.021077,-0.1558,0.8763,,False
BIS_Chip_Controls,2022-10-07,Export_Controls,"[-1,+1]",0.014616,0.009821,1.4882,0.138,,False
BIS_Chip_Controls,2022-10-07,Export_Controls,"[-3,+3]",0.012165,0.015033,0.8092,0.4192,,False
BIS_Chip_Controls,2022-10-07,Export_Controls,"[-5,+5]",0.017364,0.018837,0.9218,0.3576,,False
BIS_Chip_Controls,2022-10-07,Export_Controls,"[-10,+10]",0.004597,0.026013,0.1767,0.8599,,False
Liberation_Day,2025-04-02,Trade_Coercion,"[-1,+1]",-0.022304,0.008527,-2.6157,0.0095,***,True
Liberation_Day,2025-04-02,Trade_Coercion,"[-3,+3]",-0.022049,0.013366,-1.6497,0.1003,,True
Liberation_Day,2025-04-02,Trade_Coercion,"[-5,+5]",-0.044572,0.016644,-2.6779,0.0079,***,True
Liberation_Day,2025-04-02,Trade_Coercion,"[-10,+10]",-0.048081,0.022852,-2.104,0.0364,**,True
Iran_JCPOA_Signing,2015-07-14,Sanctions_Relief,"[-1,+1]",0.017443,0.010413,1.675,0.0952,*,True
Iran_JCPOA_Signing,2015-07-14,Sanctions_Relief,"[-3,+3]",0.030375,0.015986,1.9,0.0586,*,True
Iran_JCPOA_Signing,2015-07-14,Sanctions_Relief,"[-5,+5]",0.022334,0.020052,1.1138,0.2665,,False
Iran_JCPOA_Signing,2015-07-14,Sanctions_Relief,"[-10,+10]",0.031622,0.027678,1.1425,0.2544,,False
US_China_PhaseOne_Deal,2020-01-15,Trade_Relief,"[-1,+1]",-0.006769,0.005535,-1.2228,0.2226,,False
US_China_PhaseOne_Deal,2020-01-15,Trade_Relief,"[-3,+3]",-0.00685,0.008444,-0.8112,0.418,,False
US_China_PhaseOne_Deal,2020-01-15,Trade_Relief,"[-5,+5]",-0.00273,0.010589,-0.2578,0.7968,,False
US_China_PhaseOne_Deal,2020-01-15,Trade_Relief,"[-10,+10]",0.001413,0.014653,0.0964,0.9233,,False
US_EU_Steel_Truce,2021-11-01,Trade_Relief,"[-1,+1]",0.010899,0.007233,1.5067,0.1332,,False
US_EU_Steel_Truce,2021-11-01,Trade_Relief,"[-3,+3]",0.010114,0.011029,0.9171,0.36,,False
US_EU_Steel_Truce,2021-11-01,Trade_Relief,"[-5,+5]",0.013282,0.013817,0.9613,0.3374,,False
US_EU_Steel_Truce,2021-11-01,Trade_Relief,"[-10,+10]",0.016836,0.019081,0.8824,0.3785,,False
