event,date,category,window,CAR,se,t_stat,p_value,stars,significant
China_RareEarth_Embargo,2010-09-22,Export_Controls,"[-1,+1]",0.016955,0.067609,0.2508,0.8022,,False
China_RareEarth_Embargo,2010-09-22,Export_Controls,"[-3,+3]",0.106505,0.103552,1.0285,0.3047,,False
China_RareEarth_Embargo,2010-09-22,Export_Controls,"[-5,+5]",0.167902,0.129752,1.294,0.1969,,False
China_RareEarth_Embargo,2010-09-22,Export_Controls,"[-10,+10]",0.194128,0.179295,1.0827,0.28,,False
Sec301_China_Tariffs,2018-03-22,Trade_Coercion,"[-1,+1]",-0.240093,0.101388,-2.3681,0.0187,**,True
Sec301_China_Tariffs,2018-03-22,Trade_Coercion,"[-3,+3]",-0.287957,0.154284,-1.8664,0.0632,*,True
Sec301_China_Tariffs,2018-03-22,Trade_Coercion,"[-5,+5]",-0.406557,0.192268,-2.1145,0.0355,**,True
Sec301_China_Tariffs,2018-03-22,Trade_Coercion,"[-10,+10]",-0.512782,0.265647,-1.9303,0.0548,*,True
Iran_JCPOA_Withdrawal,2018-05-08,Sanctions,"[-1,+1]",0.036734,0.103107,0.3563,0.722,,False
Iran_JCPOA_Withdrawal,2018-05-08,Sanctions,"[-3,+3]",0.076861,0.157566,0.4878,0.6261,,False
Iran_JCPOA_Withdrawal,2018-05-08,Sanctions,"[-5,+5]",0.133238,0.197994,0.6729,0.5016,,False
Iran_JCPOA_Withdrawal,2018-05-08,Sanctions,"[-10,+10]",-0.064355,0.274613,-0.2343,0.8149,,False
Huawei_EntityList,2019-05-16,Export_Controls,"[-1,+1]",-0.105034,0.079264,-1.3251,0.1864,,False
Huawei_EntityList,2019-05-16,Export_Controls,"[-3,+3]",-0.171434,0.120978,-1.4171,0.1578,,False
Huawei_EntityList,2019-05-16,Export_Controls,"[-5,+5]",-0.366475,0.151444,-2.4199,0.0163,**,True
Huawei_EntityList,2019-05-16,Export_Controls,"[-10,+10]",-0.279154,0.209413,-1.333,0.1838,,False
Russia_SWIFT_Sanctions,2022-02-28,Sanctions,"[-1,+1]",0.186406,0.082027,2.2725,0.0239,**,True
Russia_SWIFT_Sanctions,2022-02-28,Sanctions,"[-3,+3]",0.251548,0.12414,2.0263,0.0438,**,True
Russia_SWIFT_Sanctions,2022-02-28,Sanctions,"[-5,+5]",0.003298,0.15579,0.0212,0.9831,,False
Russia_SWIFT_Sanctions,2022-02-28,Sanctions,"[-10,+10]",-0.220344,0.210931,-1.0446,0.2973,,False
BIS_Chip_Controls,2022-10-07,Export_Controls,"[-1,+1]",-0.059033,0.084616,-0.6977,0.4861,,False
BIS_Chip_Controls,2022-10-07,Export_Controls,"[-3,+3]",0.023308,0.12928,0.1803,0.8571,,False
BIS_Chip_Controls,2022-10-07,Export_Controls,"[-5,+5]",-0.008735,0.1624,-0.0538,0.9571,,False
BIS_Chip_Controls,2022-10-07,Export_Controls,"[-10,+10]",0.134442,0.224213,0.5996,0.5493,,False
Liberation_Day,2025-04-02,Trade_Coercion,"[-1,+1]",-0.000591,0.096569,-0.0061,0.9951,,False
Liberation_Day,2025-04-02,Trade_Coercion,"[-3,+3]",-0.019965,0.148165,-0.1347,0.8929,,False
Liberation_Day,2025-04-02,Trade_Coercion,"[-5,+5]",0.291016,0.187124,1.5552,0.1212,,False
Liberation_Day,2025-04-02,Trade_Coercion,"[-10,+10]",0.019269,0.252586,0.0763,0.9393,,False
Iran_JCPOA_Signing,2015-07-14,Sanctions_Relief,"[-1,+1]",-0.126803,0.067488,-1.8789,0.0615,*,True
Iran_JCPOA_Signing,2015-07-14,Sanctions_Relief,"[-3,+3]",-0.194781,0.103073,-1.8897,0.06,*,True
Iran_JCPOA_Signing,2015-07-14,Sanctions_Relief,"[-5,+5]",-0.179615,0.129277,-1.3894,0.166,,False
Iran_JCPOA_Signing,2015-07-14,Sanctions_Relief,"[-10,+10]",-0.182835,0.178581,-1.0238,0.307,,False
US_China_PhaseOne_Deal,2020-01-15,Trade_Relief,"[-1,+1]",0.043383,0.070126,0.6186,0.5367,,False
US_China_PhaseOne_Deal,2020-01-15,Trade_Relief,"[-3,+3]",0.09495,0.107045,0.887,0.376,,False
US_China_PhaseOne_Deal,2020-01-15,Trade_Relief,"[-5,+5]",0.10357,0.13435,0.7709,0.4415,,False
US_China_PhaseOne_Deal,2020-01-15,Trade_Relief,"[-10,+10]",0.125266,0.185846,0.674,0.5009,,False
US_EU_Steel_Truce,2021-11-01,Trade_Relief,"[-1,+1]",0.002695,0.08214,0.0328,0.9739,,False
US_EU_Steel_Truce,2021-11-01,Trade_Relief,"[-3,+3]",0.071791,0.125575,0.5717,0.5681,,False
US_EU_Steel_Truce,2021-11-01,Trade_Relief,"[-5,+5]",0.275164,0.157133,1.7512,0.0812,*,True
US_EU_Steel_Truce,2021-11-01,Trade_Relief,"[-10,+10]",0.212542,0.216827,0.9802,0.328,,False
