month,n_articles,n_gep_articles,GEP_monthly
1996-01,58640,556,0.009481582537517054
1996-02,65928,624,0.009464870768110666
1996-03,63236,932,0.01473844012904042
1996-04,55628,596,0.010714028906306176
1996-05,62636,1508,0.024075611469442492
1996-06,48228,848,0.017583146719747863
1996-07,65940,644,0.009766454352441613
1996-08,56948,820,0.014399100934185572
1996-09,62852,852,0.013555654553554381
1996-10,74080,360,0.004859611231101512
1996-11,63236,904,0.014295654374090708
1996-12,63112,564,0.008936493852199264
1997-01,66528,540,0.008116883116883116
1997-02,73488,468,0.006368386675375572
1997-03,73136,724,0.009899365565521767
1997-04,83844,604,0.0072038547779209
1997-05,81480,568,0.006971035837015219
1997-06,82460,692,0.008391947610962892
1997-07,91740,576,0.006278613472858077
1997-08,90308,432,0.004783629357310537
1997-09,96276,652,0.006772196601437534
1997-10,129924,1340,0.010313721868169083
1997-11,113420,1520,0.013401516487391994
1997-12,105476,796,0.007546740490727748
1998-01,96560,808,0.008367854183927092
1998-02,77936,1080,0.013857524122356805
1998-03,162720,1012,0.006219272369714848
1998-04,160744,1080,0.006718757776340019
1998-05,159668,1952,0.012225367637848535
1998-06,156032,2844,0.018227030352748155
1998-07,145556,1156,0.007941960482563412
1998-08,148136,1184,0.007992655397742614
1998-09,141908,984,0.006934069960819686
1998-10,166720,1076,0.006453934740882917
1998-11,144760,1360,0.009394860458690245
1998-12,125372,1332,0.010624381839645217
1999-01,137844,1560,0.011317141116044224
1999-02,143224,868,0.006060436798301961
1999-03,161900,1588,0.00980852378011118
1999-04,157872,1488,0.009425357251444208
1999-05,136916,2208,0.01612667621023109
1999-06,139448,1344,0.009638001262119214
1999-07,138084,892,0.006459836041829611
1999-08,115860,796,0.006870360780252029
1999-09,114308,1520,0.013297407005633902
1999-10,122484,1028,0.008392932954508344
1999-11,116176,1648,0.014185373915438644
1999-12,101288,1112,0.010978595687544428
2000-01,115008,748,0.006503895381190874
2000-02,121616,960,0.007893698197605579
2000-03,111492,916,0.008215836113801887
2000-04,102084,1296,0.012695427295168685
2000-05,109624,1604,0.014631832445449902
2000-06,105960,1088,0.010268025670064174
2000-07,107252,1104,0.010293514340058927
2000-08,104148,776,0.0074509352075892
2000-09,107112,1164,0.010867129733363208
2000-10,120340,956,0.007944158218381254
2000-11,110620,1476,0.013342975953715423
2000-12,15276,108,0.007069913589945012
2001-01,119716,748,0.006248120551973003
