month,n_articles,n_gep_articles,GEP_monthly
1996-01,58640,120,0.0020463847203274215
1996-02,65928,192,0.0029122679286494356
1996-03,63236,332,0.0052501739515465875
1996-04,55628,428,0.0076939670669447045
1996-05,62636,212,0.0033846350341656555
1996-06,48228,312,0.006469270962926101
1996-07,65940,276,0.0041856232939035485
1996-08,56948,1052,0.018472992905808807
1996-09,62852,848,0.013492012982880417
1996-10,74080,388,0.005237580993520518
1996-11,63236,312,0.004933898412296793
1996-12,63112,184,0.0029154518950437317
1997-01,66528,224,0.003367003367003367
1997-02,73488,192,0.002612671456564337
1997-03,73136,212,0.002898709253992562
1997-04,83844,360,0.004293688278231
1997-05,81480,488,0.005989199803632794
1997-06,82460,232,0.0028134853262187726
1997-07,91740,236,0.0025724874645737957
1997-08,90308,348,0.003853479204500155
1997-09,96276,452,0.004694835680751174
1997-10,129924,960,0.0073889350697330745
1997-11,113420,688,0.006065949567977429
1997-12,105476,464,0.004399105009670446
1998-01,96560,440,0.004556752278376139
1998-02,77936,648,0.008314514473414083
1998-03,162720,688,0.004228121927236972
1998-04,160744,648,0.0040312546658040115
1998-05,159668,1300,0.00814189443094421
1998-06,156032,760,0.0048707957342083675
1998-07,145556,412,0.0028305257083184477
1998-08,148136,388,0.0026192147756116
1998-09,141908,552,0.003889844124362263
1998-10,166720,416,0.0024952015355086373
1998-11,144760,668,0.004614534401768444
1998-12,125372,924,0.00737006668155569
1999-01,137844,708,0.00513624096805084
1999-02,143224,476,0.003323465341004301
1999-03,161900,864,0.005336627547869055
1999-04,157872,868,0.005498125063342455
1999-05,136916,580,0.004236174004499109
1999-06,139448,248,0.0017784407090815214
1999-07,138084,392,0.0028388517134497844
1999-08,115860,284,0.002451234248230623
1999-09,114308,452,0.003954228925359555
1999-10,122484,364,0.002971816727082721
1999-11,116176,452,0.0038906486709819584
1999-12,101288,344,0.0033962562198878448
2000-01,115008,248,0.002156371730662215
2000-02,121616,948,0.007795026970135508
2000-03,111492,1500,0.013453880099020557
2000-04,102084,604,0.00591669605422985
2000-05,109624,636,0.005801649273881632
2000-06,105960,668,0.006304265760664402
2000-07,107252,600,0.005594301271771155
2000-08,104148,452,0.004339977724008143
2000-09,107112,728,0.006796624094405856
2000-10,120340,668,0.005550939006149244
2000-11,110620,640,0.0057855722292533
2000-12,15276,32,0.002094789211835559
2001-01,119716,468,0.003909251896154231
2001-02,109940,604,0.005493905766781881
2001-03,110956,472,0.004253938498143408
2001-04,85084,280,0.0032908654976258754
2001-05,108524,532,0.004902141461796469
2001-06,121376,748,0.006162668072765621
2001-07,125928,552,0.004383457213645893
2001-08,109988,264,0.0024002618467469177
2001-09,129488,1996,0.015414555788953416
2001-10,145396,1172,0.00806074444964098
2001-11,119324,888,0.007441922831953337
2001-12,97128,400,0.004118276912939626
2002-01,107764,616,0.005716194647563194
2002-02,107756,1088,0.010096885556256728
2002-03,106592,916,0.008593515460822576
2002-04,115920,1028,0.008868184955141478
2002-05,106240,948,0.008923192771084337
2002-06,100648,432,0.004292186630633495
2002-07,120568,536,0.004445624046181408
2002-08,98084,568,0.005790954691896741
2002-09,100016,784,0.007838745800671893
2002-10,115872,776,0.006697045015189174
2002-11,93548,472,0.005045538119468081
2002-12,91096,960,0.010538333186967595
2003-01,144664,1552,0.010728308355914394
2003-02,146928,988,0.006724382010236306
2003-03,170000,1208,0.007105882352941176
2003-04,158372,1724,0.010885762634809183
2003-05,158980,1040,0.0065417033589130705
2003-06,160848,1132,0.007037700188998309
2003-07,180980,512,0.0028290418830810033
2003-08,152116,652,0.004286202634831313
2003-09,177704,952,0.005357223247647774
2003-10,184828,1080,0.005843270500140671
2003-11,161668,1052,0.006507162827523072
2003-12,169972,848,0.0049890570211564254
2004-01,162992,648,0.003975655246883283
2004-02,176236,1036,0.005878481127578928
2004-03,200812,860,0.0042826125928729355
2004-04,184316,628,0.0034071919963540877
2004-05,166464,744,0.004469434832756632
2004-06,172344,1088,0.006312955484380077
2004-07,188120,636,0.0033808207527110355
2004-08,179184,720,0.004018215912135012
2004-09,168580,1112,0.0065962747656898805
2004-10,185164,800,0.004320494264543864
2004-11,174664,1628,0.009320752988595245
2004-12,165492,564,0.0034080197230077587
2005-01,183420,700,0.0038163777123541597
2005-02,182364,1696,0.009300081156368581
2005-03,208924,1200,0.005743715418046754
2005-04,206376,448,0.002170795053688413
2005-05,190180,884,0.004648227994531497
2005-06,208620,1480,0.007094238328060588
2005-07,198460,652,0.0032852967852463975
2005-08,199236,1732,0.008693208054769218
2005-09,211736,1612,0.007613254241130464
2005-10,227716,860,0.0037766340529431395
2005-11,215604,840,0.003896031613513664
2005-12,198668,784,0.003946282239716512
2006-01,221040,5116,0.023145132102786826
2006-02,217564,3816,0.017539666488941185
2006-03,247992,3964,0.015984386593115907
2006-04,219340,4804,0.02190206984590134
2006-05,250084,4536,0.018137905663697
2006-06,248148,3988,0.01607105437077873
2006-07,239552,3856,0.016096713865882982
2006-08,254324,4772,0.018763467073496798
2006-09,221780,4552,0.02052484444043647
2006-10,269764,2320,0.008600109725537878
2006-11,260744,1768,0.006780597060718559
2006-12,213728,2524,0.011809402605180416
2007-01,244804,1496,0.00611101125798598
2007-02,247868,3176,0.012813271580034535
2007-03,267988,3868,0.014433482096213264
2007-04,261436,2488,0.009516669471687143
2007-05,278260,2236,0.008035650111406598
2007-06,261784,1912,0.007303731320477951
2007-07,267884,1224,0.0045691418673754315
2007-08,270692,916,0.003383919731650732
2007-09,238520,1824,0.007647157471071608
2007-10,309664,2248,0.0072594812441872485
2007-11,278972,2112,0.007570652251838894
2007-12,219916,1180,0.005365685079757726
2008-01,296416,1596,0.005384324732807946
2008-02,285408,1460,0.005115483798632134
2008-03,289456,1232,0.004256260018793876
2008-04,311424,1332,0.004277127003699137
2008-05,292112,1692,0.005792298844278907
2008-06,287420,2636,0.009171247651520423
2008-07,331876,3404,0.010256842917234148
2008-08,285752,1968,0.006887090904000672
2008-09,361020,1440,0.003988698687053349
2008-10,440796,892,0.002023611829508435
2008-11,338892,952,0.002809154538909151
2008-12,312548,724,0.0023164441941717754
2009-01,327340,1260,0.0038492087737520622
2009-02,343756,1124,0.0032697611096242684
2009-03,383360,1436,0.0037458263772954924
2009-04,368400,1396,0.0037893593919652553
2009-05,348144,1152,0.003308975596304977
2009-06,354988,3624,0.010208795790280235
2009-07,364860,1608,0.004407169873376089
2009-08,325548,1316,0.0040424146362441175
2009-09,335152,3104,0.009261469422829044
2009-10,354676,2552,0.007195299371821042
2009-11,304908,1852,0.0060739632938460126
2009-12,285648,1880,0.006581526914244105
2010-01,293292,1972,0.0067236746996167645
2010-02,314160,3372,0.010733384262796028
2010-03,293576,2512,0.008556557756764858
2010-04,324360,2656,0.008188432605746702
2010-05,306016,2592,0.008470145351877026
2010-06,289352,2908,0.010050042854378058
2010-07,307264,2136,0.006951676734013747
2010-08,296976,1420,0.004781531167501751
2010-09,283808,1448,0.00510204081632653
2010-10,323520,1148,0.0035484668644906034
2010-11,331484,1428,0.004307900230478696
2010-12,274852,1396,0.005079097114083215
2011-01,292908,1788,0.0061043057888483755
2011-02,306996,1392,0.004534261032717039
2011-03,325312,1700,0.005225752508361204
2011-04,297304,660,0.002219949950219304
2011-05,318120,1896,0.005960015088645794
2011-06,296804,1360,0.004582148488564844
2011-07,310240,652,0.0021015987622485816
2011-08,326500,688,0.002107197549770291
2011-09,275264,936,0.003400372006510114
2011-10,290336,1312,0.004518902237407693
2011-11,290964,3768,0.012950055676990969
2011-12,230864,3272,0.014172846351098483
2012-01,262160,7220,0.027540433323161428
2012-02,289756,5932,0.020472397465453693
2012-03,282316,5100,0.018064863486306124
2012-04,279040,3468,0.012428325688073394
2012-05,312156,5120,0.016402055382565128
2012-06,242292,3428,0.014148217852838724
2012-07,276084,3844,0.01392329870619087
2012-08,278580,3716,0.013339076746356522
2012-09,222712,2932,0.013164984374438736
2012-10,285980,3604,0.012602279879711869
2012-11,272048,2672,0.009821796153619949
2012-12,206840,2484,0.012009282537226842
2013-01,267060,1996,0.007473975885568786
2013-02,259312,2976,0.011476522490281978
2013-03,241312,2632,0.010907041506431507
2013-04,274544,1732,0.006308642694795734
2013-05,289888,1880,0.006485263274092063
2013-06,233380,1736,0.007438512297540492
2013-07,289424,656,0.002266570844159434
2013-08,276880,1404,0.005070788789367235
2013-09,246712,2976,0.012062647945782937
2013-10,312700,2836,0.009069395586824432
2013-11,268620,5416,0.02016231107140198
2013-12,222140,2420,0.010894030791392815
2014-01,280424,4472,0.015947279833395143
2014-02,281468,2516,0.008938849176460557
2014-03,286468,2276,0.007945040981889775
2014-04,302144,2780,0.00920091082397797
2014-05,290616,1616,0.0055606023068241256
2014-06,268828,2968,0.011040516612852828
2014-07,318552,3900,0.012242899118511263
2014-08,276948,1444,0.005213975186677644
