date,n_articles,n_gep_articles,GEP_daily
1996-01-01,120,0,0.0
1996-01-02,1496,0,0.0
1996-01-03,1988,0,0.0
1996-01-04,2248,12,0.005338078291814947
1996-01-05,2120,8,0.0037735849056603774
1996-01-06,172,0,0.0
1996-01-07,240,8,0.03333333333333333
1996-01-08,2052,28,0.01364522417153996
1996-01-09,2436,8,0.003284072249589491
1996-01-10,2312,16,0.006920415224913495
1996-01-11,2512,4,0.0015923566878980893
1996-01-12,1820,0,0.0
1996-01-13,252,0,0.0
1996-01-14,192,0,0.0
1996-01-15,1516,32,0.021108179419525065
1996-01-16,3288,4,0.0012165450121654502
1996-01-17,3556,16,0.0044994375703037125
1996-01-18,3304,28,0.00847457627118644
1996-01-19,2352,24,0.01020408163265306
1996-01-20,680,24,0.03529411764705882
1996-01-21,336,48,0.14285714285714285
1996-01-22,2444,8,0.0032733224222585926
1996-01-23,3100,28,0.00903225806451613
1996-01-24,3168,32,0.010101010101010102
1996-01-25,3904,24,0.006147540983606557
1996-01-26,2004,8,0.003992015968063872
1996-01-27,208,0,0.0
1996-01-28,252,0,0.0
1996-01-29,2056,20,0.009727626459143969
1996-01-30,2956,0,0.0
1996-01-31,3556,8,0.0022497187851518562
1996-02-01,3744,36,0.009615384615384616
1996-02-02,2872,8,0.002785515320334262
1996-02-03,48,0,0.0
1996-02-04,180,0,0.0
1996-02-05,2292,12,0.005235602094240838
1996-02-06,3404,12,0.0035252643948296123
1996-02-07,3796,40,0.01053740779768177
1996-02-08,4556,0,0.0
1996-02-09,2988,16,0.00535475234270415
1996-02-10,128,0,0.0
1996-02-11,212,0,0.0
1996-02-12,2664,20,0.0075075075075075074
1996-02-13,3980,12,0.003015075376884422
1996-02-14,3468,16,0.00461361014994233
1996-02-15,4852,44,0.009068425391591096
1996-02-16,2980,8,0.0026845637583892616
1996-02-17,168,0,0.0
1996-02-18,240,0,0.0
1996-02-19,844,8,0.009478672985781991
1996-02-20,2444,20,0.008183306055646482
1996-02-21,3072,80,0.026041666666666668
1996-02-22,2376,24,0.010101010101010102
1996-02-23,2760,8,0.002898550724637681
1996-02-24,84,0,0.0
1996-02-25,168,4,0.023809523809523808
1996-02-26,2268,56,0.024691358024691357
1996-02-27,3236,20,0.006180469715698393
1996-02-28,3172,8,0.0025220680958385876
1996-02-29,2932,36,0.01227830832196453
1996-03-01,1972,24,0.012170385395537525
1996-03-02,124,4,0.03225806451612903
1996-03-03,128,4,0.03125
1996-03-04,2372,48,0.02023608768971332
1996-03-05,2572,12,0.004665629860031105
1996-03-06,2752,8,0.0029069767441860465
1996-03-07,3224,16,0.004962779156327543
1996-03-08,2268,36,0.015873015873015872
1996-03-09,216,4,0.018518518518518517
1996-03-10,308,0,0.0
1996-03-11,2564,32,0.0124804992199688
