date,n_articles,n_gep_articles,GEP_daily
1996-01-01,120,8,0.06666666666666667
1996-01-02,1496,48,0.03208556149732621
1996-01-03,1988,8,0.004024144869215292
1996-01-04,2248,20,0.008896797153024912
1996-01-05,2120,16,0.007547169811320755
1996-01-06,172,0,0.0
1996-01-07,240,12,0.05
1996-01-08,2052,12,0.005847953216374269
1996-01-09,2436,4,0.0016420361247947454
1996-01-10,2312,40,0.01730103806228374
1996-01-11,2512,20,0.007961783439490446
1996-01-12,1820,24,0.013186813186813187
1996-01-13,252,4,0.015873015873015872
1996-01-14,192,8,0.041666666666666664
1996-01-15,1516,4,0.002638522427440633
1996-01-16,3288,44,0.01338199513381995
1996-01-17,3556,48,0.013498312710911136
1996-01-18,3304,60,0.018159806295399514
1996-01-19,2352,20,0.008503401360544218
1996-01-20,680,0,0.0
1996-01-21,336,12,0.03571428571428571
1996-01-22,2444,12,0.004909983633387889
1996-01-23,3100,32,0.01032258064516129
1996-01-24,3168,76,0.023989898989898988
1996-01-25,3904,72,0.018442622950819672
1996-01-26,2004,20,0.00998003992015968
1996-01-27,208,12,0.057692307692307696
1996-01-28,252,24,0.09523809523809523
1996-01-29,2056,12,0.005836575875486381
1996-01-30,2956,32,0.010825439783491205
1996-01-31,3556,12,0.003374578177727784
1996-02-01,3744,60,0.016025641025641024
1996-02-02,2872,12,0.004178272980501393
1996-02-03,48,0,0.0
1996-02-04,180,4,0.022222222222222223
1996-02-05,2292,44,0.019197207678883072
1996-02-06,3404,80,0.023501762632197415
1996-02-07,3796,40,0.01053740779768177
1996-02-08,4556,80,0.01755926251097454
1996-02-09,2988,116,0.038821954484605084
1996-02-10,128,20,0.15625
1996-02-11,212,8,0.03773584905660377
1996-02-12,2664,16,0.006006006006006006
1996-02-13,3980,28,0.007035175879396985
1996-02-14,3468,60,0.01730103806228374
1996-02-15,4852,76,0.015663643858202802
1996-02-16,2980,20,0.006711409395973154
1996-02-17,168,16,0.09523809523809523
1996-02-18,240,48,0.2
1996-02-19,844,24,0.02843601895734597
1996-02-20,2444,8,0.0032733224222585926
1996-02-21,3072,52,0.016927083333333332
1996-02-22,2376,56,0.02356902356902357
1996-02-23,2760,28,0.010144927536231883
1996-02-24,84,4,0.047619047619047616
1996-02-25,168,4,0.023809523809523808
1996-02-26,2268,80,0.03527336860670194
1996-02-27,3236,64,0.019777503090234856
1996-02-28,3172,52,0.01639344262295082
1996-02-29,2932,64,0.021828103683492497
1996-03-01,1972,48,0.02434077079107505
