month,n_articles,n_gep_articles,GEP_monthly
1996-01,58640,11452,0.19529331514324694
1996-02,65928,11676,0.17710229341099382
1996-03,63236,13844,0.2189259282687077
1996-04,55628,11800,0.2121233910980082
1996-05,62636,12584,0.20090682674500288
1996-06,48228,9700,0.2011279754499461
1996-07,65940,13044,0.1978161965423112
1996-08,56948,10664,0.18725855166116456
1996-09,62852,14616,0.23254629924266532
1996-10,74080,13224,0.1785097192224622
1996-11,63236,13760,0.21759757100385857
1996-12,63112,12188,0.1931169983521359
1997-01,66528,12060,0.1812770562770563
1997-02,73488,14088,0.19170476812540824
1997-03,73136,15256,0.2085976810325968
1997-04,83844,15412,0.18381756595582271
1997-05,81480,14280,0.17525773195876287
1997-06,82460,13828,0.16769342711617755
1997-07,91740,15840,0.17266187050359713
1997-08,90308,14364,0.15905567613057536
1997-09,96276,16864,0.1751630728322739
1997-10,129924,22956,0.17668790985499214
1997-11,113420,22728,0.20038793863516136
1997-12,105476,19484,0.18472448708710987
1998-01,96560,17556,0.18181441590720795
1998-02,77936,16852,0.21622870047218232
1998-03,162720,27076,0.16639626352015732
1998-04,160744,24736,0.15388443736624696
1998-05,159668,31036,0.19437833504521884
1998-06,156032,32876,0.21070036915504511
1998-07,145556,23096,0.15867432465855066
1998-08,148136,26632,0.1797807420208457
1998-09,141908,26140,0.1842038503819376
1998-10,166720,27528,0.1651151631477927
1998-11,144760,28536,0.1971262779773418
1998-12,125372,25888,0.20648948728583735
1999-01,137844,27044,0.1961927976553205
1999-02,143224,25436,0.1775959336424063
1999-03,161900,30520,0.1885114268066708
1999-04,157872,28764,0.18219823654606263
1999-05,136916,26476,0.1933740395571007
1999-06,139448,25260,0.18114279157822272
1999-07,138084,25156,0.18217896352944585
1999-08,115860,21468,0.18529259451061625
1999-09,114308,24428,0.21370332785106905
1999-10,122484,21932,0.17906012213840175
1999-11,116176,24524,0.21109351329018042
1999-12,101288,20668,0.204051812653029
2000-01,115008,21260,0.18485670562047857
2000-02,121616,25548,0.21007104328377846
2000-03,111492,24916,0.2234779176981308
2000-04,102084,21480,0.21041495239214764
2000-05,109624,25208,0.22994964606290594
2000-06,105960,24876,0.2347678369195923
2000-07,107252,23368,0.2178793868645806
2000-08,104148,21404,0.20551522832891655
2000-09,107112,28012,0.26152065128090224
2000-10,120340,27256,0.22649160711317934
2000-11,110620,26872,0.24292171397577292
2000-12,15276,3472,0.22728462948415815
2001-01,119716,25820,0.21567710247585953
2001-02,109940,25712,0.23387302164817173
2001-03,110956,26936,0.24276289700421788
2001-04,85084,19364,0.2275868553429552
2001-05,108524,25332,0.2334230216357672
2001-06,121376,28552,0.23523596098075403
2001-07,125928,29528,0.2344831967473477
2001-08,109988,25884,0.23533476379241372
2001-09,129488,51600,0.3984925244038058
2001-10,145396,50848,0.3497207626069493
2001-11,119324,38228,0.3203714256980993
2001-12,97128,29008,0.2986574417263817
2002-01,107764,27572,0.2558553876990461
2002-02,107756,27972,0.25958647314302685
2002-03,106592,29864,0.2801711197838487
2002-04,115920,29112,0.2511387163561077
2002-05,106240,29456,0.2772590361445783
2002-06,100648,27912,0.2773229473014864
2002-07,120568,27432,0.22752305752770222
2002-08,98084,23956,0.24423963133640553
2002-09,100016,31988,0.319828827387618
2002-10,115872,29828,0.2574219828776581
2002-11,93548,24780,0.26489075127207423
2002-12,91096,25980,0.28519364187231055
2003-01,144664,34584,0.23906431454957694
2003-02,146928,37180,0.2530491124904715
2003-03,170000,44548,0.2620470588235294
2003-04,158372,34360,0.21695754300002526
2003-05,158980,32944,0.20722103409233866
2003-06,160848,31352,0.1949169402168507
2003-07,180980,33196,0.18342358271632225
2003-08,152116,30252,0.1988745431118357
2003-09,177704,33488,0.18844820600549228
2003-10,184828,33888,0.1833488432488584
2003-11,161668,33436,0.2068189128337086
2003-12,169972,33136,0.1949497564304709
2004-01,162992,29660,0.18197212133110827
2004-02,176236,32412,0.1839124809913979
2004-03,200812,36940,0.1839531502101468
2004-04,184316,34276,0.18596323704941514
2004-05,166464,32220,0.19355536332179932
2004-06,172344,34292,0.19897414473378824
2004-07,188120,30728,0.16334254731022751
2004-08,179184,33424,0.1865345120100009
2004-09,168580,33212,0.1970103215090758
2004-10,185164,30092,0.16251539176081745
2004-11,174664,31008,0.1775294279301974
2004-12,165492,27220,0.1644792497522539
2005-01,183420,28912,0.15762730345654782
2005-02,182364,29632,0.16248821039240202
2005-03,208924,32220,0.15421875897455534
2005-04,206376,30132,0.14600534945923946
2005-05,190180,29068,0.15284467346724157
2005-06,208620,35300,0.16920717093279647
2005-07,198460,30444,0.15340118915650508
2005-08,199236,30304,0.15210102591901062
2005-09,211736,36564,0.1726867419805796
2005-10,227716,32680,0.14351209401183931
2005-11,215604,30124,0.13971911467319717
2005-12,198668,29580,0.1488916181770592
2006-01,221040,34516,0.15615273253709736
