,weight
sanctions,75.52100393103565
embargo,64.00716352620333
arms_embargo,54.821114842655945
security_council,53.897352280851685
sanctions_imposed,52.44213234578039
imposed_sanctions,48.048567859560045
export_controls,43.55903225462183
ban,43.070221590190734
diplomats,43.06742050344022
impose,42.64708979874663
impose_sanctions,42.49251065897348
imposed,42.434289251274734
restrictions,40.7934467455726
embargoes,40.641606276205756
draft_resolution,40.35576572396944
punitive_measures,40.3196414178182
unilateral_sanctions,39.550035592336165
retaliation,39.05231053853206
smart_sanctions,38.679565467356205
western_powers,38.472318310502466
blacklist,38.14015963217122
sanctioned,38.10470226124862
imposing_sanctions,37.94214130360368
travel_bans,37.19354641520248
islamic_republic,37.13768050263424
arms_inspectors,36.60804625970711
washington's,36.27585374047516
powers,35.796079191987985
sanctions_relief,35.355327196685955
retaliate,35.26838404106781
import_duties,34.83450891127005
trump_administration,34.70678420276815
sanction,34.46297369530093
unilateral,34.33136560152679
western_diplomats,34.27824041109243
travel_ban,34.263422141724824
tougher_sanctions,34.019791479376586
veto_wielding,33.84330668970521
ofac,33.26601836104606
banning,33.261012840510816
export_ban,33.23188070512332
blacklisted,33.19187549697359
diplomats_say,33.05596465508962
exemptions,32.55469230293072
imposing,32.453828018830386
visa_ban,32.427578746635945
freeze,32.1663369659925
invaded_kuwait,31.94159275726107
security_council's,31.625584687547985
sectoral_sanctions,31.562108057132367
military_intervention,31.414594486764965
unilaterally,30.93433397597664
sanctions_regime,30.455597169931732
arms_inspections,30.307128176452608
embargo_imposed,30.271089635092245
blacklisting,30.034638842658225
punish,29.79812402450644
restrict,29.65016034255161
weapons_inspections,29.46460265985326
nuclear_ambitions,28.959368163952277
punitive,28.81236833548455
lifting_sanctions,28.74999215266398
sanctioning,28.590086193969526
retaliatory_measures,28.42069456981956
abide,28.21048125115176
enforce,27.962483728453922
reimposed,27.956035066968496
imposition,27.736198855403128
reimpose,27.734696536882964
harsher_sanctions,27.293859345294383
restricting,27.102264459118306
exempted,27.080302833706522
visa_restrictions,26.88994641459765
moscow_denies,26.73580218286986
reimpose_sanctions,26.64930144881479
retaliatory,26.511354106171197
retaliate_against,26.385901421388144
sponsoring_terrorism,26.125251483659348
isolate_iran,25.990257193379794
circumvent,25.973720902093607
sanctioned_entities,25.959206342097097
isolate,25.80760324182665
blacklists,25.17060758530617
serious_consequences,25.00939948642743
crippling_sanctions,24.826651576391487
punitive_action,24.818826149155065
punish_moscow,24.62438948139508
ban_imposed,24.423931534245067
impose_restrictions,24.168983060246376
flight_ban,23.794953410327583
western_governments,23.33610533946453
enforcing,23.093082967790636
circumventing,22.859903730623333
embargos,22.794775926692395
blanket_ban,21.393511202263802
reimposing,20.870175150351766
reimposes,20.573418843157583
reimposition,20.4076992625093
restrictions_imposed,18.009235899190045
trade_embargo,13.762596113954514
