,weight
repaying,43.3221122831943
creditor,37.63798449358292
owes,37.14033759617396
write_off,36.12336452525831
repay_debts,32.97198788218418
debts_owed,32.22347459119174
defaulting,32.19358275914785
heavily_indebted,30.50323389871867
repayable,29.602621922424635
ious,28.85630767989252
rescheduling,28.23920496723179
reschedule,27.860974259713068
bridge_financing,26.455221288249767
multilateral_lenders,26.03784840166488
highly_indebted,25.9032699217271
gko,25.762956898428364
debtholders,24.53616009842434
financing_package,24.263618037074362
fully_repaid,24.132007621041936
gkos,23.90380089487199
funding_crunch,23.7032462138476
disbursing,22.95545426504435
frozen_assets,22.78802010239228
recapitalize,22.76340316105238
debt_rescheduling,22.100096755245985
firesale,21.879743433895293
cash_starved,20.720407354678574
recapitalisations,19.93525400012821
debts_totalling,19.431326952442557
reneged,19.224465004005285
immobilized,18.8278502809935
unfreeze,18.50424561215938
restitute,18.396143303990204
debt's,18.350459944109573
bailing,18.265718625219755
efsd,18.00767560603714
unpaid_dividends,17.768490189145478
unfreezing,17.4529015456215
backstopped,17.376442671251375
russia_defaulted,17.35891112977803
immobilised,17.319585652284434
greece_readied,17.215878003817387
denominated_minfin,16.899581437834684
multilaterals,16.89477213923044
disbursal,16.536532905996957
restructure_debts,16.516487441222484
equal_instalments,16.20108092326226
accruing,16.164785397781817
substantial_portion,16.144383621751174
conditions_attached,15.975828426274925
repay_outstanding,15.96975049524915
world's_heaviest,15.53983355002901
holdix,15.277748694175335
recapitalized,15.179397529954786
loanbooks,15.12867091838268
breathing_room,14.98822404642638
hocked,14.939068494222418
khotimsky,14.82343973259303
prepaying,14.588479235718248
renegotiate_greece's,14.37798856266185
oustanding,14.30585417688163
collaterals,14.26666115579371
friendly_governments,14.039468367109569
laons,13.523141064761768
creditline,13.243563227164302
liablities,12.94125042612802
asset_freeze,12.76969886310191
nwsh,12.344154959628838
miner_kompania,12.21677533653788
lars_bohinen,12.034504440493683
deferring_payments,11.431064823108327
agrentina,11.17986941692519
hejcl,11.091660857020775
avoid_sovereign,11.066999163382116
unindentified,10.782687718969113
instrument_rfi,10.761100727206692
sticken,10.608200609914025
gplpf,10.313187469927147
portelcom,10.28383931787316
principal_repaid,9.956248174924042
amortising_loan,9.796068253359332
biochimbank's,9.186374991850572
helic,9.175568255516303
nonparticipating,8.691059667496283
vangvard,8.6671316409394
vojvodjanska's,8.437305547006627
chiavari's,8.182503070562
colog,8.140909521892487
martinsons,8.13619005513942
reborrowing,8.04603651848005
fyodorovna,7.090237778376425
parlimanet,6.99285520055628
gazinvest's,6.8332636660221215
prorgamme,6.767131827186217
reedem,5.9726172887139315
notice_stating,5.7834442189250765
imposes_moratorium,5.328152011040453
saysnet,5.026371363203926
blns_euros,4.829247770103703
ayment,4.500042061937341
