,weight
protectionism,61.40915153961847
import_tariffs,57.27938588218739
protectionist,56.367496856827316
import_duties,54.81059501072482
import_duty,51.035993087841746
impose_tariffs,48.74374413087265
export_subsidies,45.62053670449654
wto_rules,45.03172179673328
organisation_wto,45.02443384478497
import_tariff,44.329738591211125
globalisation,42.937193742684094
quota,42.673745876701176
protectionist_measures,42.103560854484186
import_quotas,41.64200332105445
punitive_tariffs,41.48748185251264
anti_subsidy,40.392331020551055
retaliatory_tariffs,39.73958224163038
rhetoric,39.68694977581831
slap_tariffs,39.56427394816111
import_quota,39.15119606669869
nationalism,37.91186241940552
chinese_textile,37.47363068810092
organization_wto,37.12636698827378
economic_patriotism,36.79103518467723
trade_organisation,36.63921147810199
steel_tariffs,36.467062965588674
export_duties,35.19498930033521
import_restrictions,35.1709064856024
unfair_competition,35.066794861951095
punitive_duties,34.959076170516745
export_ban,34.717310916433945
competitive_devaluations,34.5639682325456
protectionist_policies,33.781016766505005
representative_ron,33.410045553167244
populism,33.29275316890504
trade_pacts,33.22579691052153
export_duty,33.1759983738374
undermine,32.95085228665
interventionist,32.92060670830111
impose_duties,32.812831149883486
nationalistic,32.19879754153996
imposing_tariffs,32.05393806125786
unilateralism,32.04875296688851
chinese_textiles,31.92651373295585
import_curbs,31.564300881101037
decoupling,31.030908771594024
dumping,30.832028753806057
quota_system,30.78264563567596
slapped_tariffs,30.62391930572725
dumping_duties,30.45703213945025
trade_barriers,30.243792152468554
countervailing_duties,30.153539481307416
retaliatory_measures,30.06492001825706
imported_steel,29.94731205584541
undermining,29.927291612771224
laissez_faire,29.78393632511045
pandering,29.566475097340312
brittan,28.90101324492113
anglo_saxon,28.826492917280845
protectionists,28.655370640779054
counterproductive,28.509121619823166
isolationism,28.506894436557953
increasingly_assertive,28.38801345506124
antidumping,28.246406630303632
export_quota,28.08564838725373
representative_charlene,27.970916964123916
protectionist_tendencies,27.861595072150845
hegemony,27.823666962306092
customs_tariffs,27.808920026681925
custom_duties,27.721074574158745
cheap_imports,27.58600127617503
agricultural_subsidies,27.28103330467258
friction,27.277929391515222
tariffs_imposed,26.647898746559495
competitive_disadvantage,26.617368816050504
assertive,26.603216369258835
distorting,26.182800206105554
interventionism,25.932565666133804
tariff_quotas,25.78356569330848
confrontational,25.744228341430272
unilateral_action,25.71643393205117
imposition,25.277158790683654
commissioner_pascal,25.18065034702491
lobbies,24.92306262935054
counter_productive,24.63954611044308
impose_punitive,24.631996009476214
harming,24.534474001815333
overt,24.232141498212346
strident,23.85648866113837
protectionist_stance,23.612392858139394
frictions,23.55725965584918
hostility_towards,22.985821553024305
antagonistic,21.99481151857352
singling_out,21.552477004193992
touchy,21.511027868195104
antagonism,21.335769478182907
tarrifs,20.774565652925755
reactionary,20.58374019599441
resisting,19.70740968601919
exerting_pressure,15.48318482848325
