,weight
retaliation,53.3378990968133
retaliate,52.36940091667218
escalation,45.569374964750445
impose_tariffs,43.039789032136426
retaliatory,42.98204990068931
impose,40.678947513585854
embargo,39.68577816620587
unilateral,37.99558721285074
rogue_states,37.707653020483356
impose_sanctions,37.33261221315115
unilateral_sanctions,37.293613875858156
retaliatory_measures,36.55892141077299
retaliate_against,36.52701820614438
slap_tariffs,36.2852686085726
imposed,35.994306548109634
military_action,35.93734456365587
trump_administration,35.63373970896765
escalate,35.613202193649855
washington,34.92000821880005
washington's,34.85888803952381
confrontation,34.45058625186939
retaliatory_tariffs,34.37623589538864
provocation,33.949520397936865
banning,33.1882844277558
protectionist,33.09319759196835
threats,33.02787904636289
punitive_tariffs,32.57092511376381
unilaterally,32.52727921623299
chinese_textile,32.34774906544275
protectionist_measures,31.893326558067812
military_intervention,31.711264146118324
punitive_measures,31.621031212203025
countermeasures,31.609690919315348
threatened,31.537229153068452
escalating,31.17995438379949
impose_duties,30.62600459075572
provocations,30.595321105887145
provocative,30.536533535931646
unilateral_action,30.228685711319145
imposing,30.047951768300162
imposing_sanctions,29.656430580816338
restrict,28.93600019202428
pretext,28.764294127569464
isolate_russia,28.673279715099966
anti_ballistic,28.573352039392724
retaliatory_sanctions,28.457236164206968
threat,28.427714789300424
invade,28.41207533722515
retaliated,28.359375840643853
punish,28.306283103686596
retaliatory_action,28.22099407522869
united_states,28.091009856875456
imposing_tariffs,28.06162599213293
imposition,27.92687254912764
punitive_duties,27.74148558023066
tougher_sanctions,27.709000100449085
escalated,27.290007441193413
provoke,27.087088485086095
import_restrictions,27.044128195381198
threatening,26.9484568926866
counter_measures,26.70546170506055
escalating_tensions,26.684894581551113
provocative_actions,26.65608125211982
restricting,26.53923655722145
military_strike,26.40621533823276
missiles_fired,26.31944071877128
counterproductive,26.29636392607494
sabre_rattling,25.96186114295346
serious_consequences,25.811329506297607
slap,25.716140228030945
military_confrontation,25.64248312002409
wrong_signal,25.090959024286025
incursions,24.851286702680465
missile_strikes,24.528362777233227
punitive,24.444659130297854
military_strikes,24.3219500007616
bluff,24.00454389684014
impose_punitive,23.658742873750775
reiterated_moscow's,23.60888960066868
counter_productive,23.47145598431328
escalate_tensions,23.46623231461153
catastrophic_consequences,23.401886983495107
impose_retaliatory,23.138699882499434
retaliating,23.01083855486096
stop_interfering,22.841846931933258
urged_restraint,22.667480715959123
severe_consequences,21.850304957132302
ratcheting,21.72344655651767
punitive_action,21.161363930278903
confrontation_between,21.142672499825757
send_signal,20.588515729104202
antagonise,20.068977091331927
seriously_damage,19.73314447035684
ratchet,19.653510158849695
supplying_weapons,18.898074704840905
impose_tougher,18.343399522998183
retaliating_against,18.113670733460825
scumbag,17.86002345885148
dissaude,16.95963559594597
adamantly,16.94135004444402
