,weight
smart_sanctions,58.1470601421534
uranium_enrichment,52.8358995151726
arms_inspectors,50.03850915750175
nuclear_programme,47.872539072265646
weapons_inspectors,45.6641500046348
arms_inspections,42.31577257648618
iran_sanctions,41.46401333037092
lifting_sanctions,41.316269601945926
nuclear_enrichment,39.83680998136959
sanctions_imposed,37.88236072943752
nuclear_program,36.98443191751949
sanctions_regime,36.64545725907256
weapons_inspections,36.49502434400792
invaded_kuwait,36.4394736046893
halt_enrichment,36.02956787254015
humanitarian_goods,35.742193777259494
security_council's,35.63756014603453
embargoes,35.00367695828759
low_enriched,34.80629124989194
enrichment_programme,34.16823688351853
civilian_nuclear,34.142579282275456
enrich_uranium,34.061959220686184
unilateral_sanctions,34.02418507463197
suspend_enrichment,33.95417401448491
comprehensive_resolution,33.907529275275216
stop_enriching,33.65719460982696
impose_sanctions,32.88458369430349
iaea_board,32.38955172046491
commission_unscom,32.364559739765085
intrusive_inspections,31.9439587758343
nuclear_bomb,31.711378301283453
lift_sanctions,31.453047846163457
dispute_mechanism,31.434691646391887
arms_inspection,31.056538048514433
sanctions_resolutions,31.04727647577843
iraq's_neighbors,30.76302463796278
iraq's_ambassador,30.518948414169436
tougher_sanctions,30.07386728211098
peaceful_nuclear,29.861234671894096
nuclear_ambitions,29.408882577693884
punitive_measures,29.247206200515965
isolate_iran,29.018646352740433
suspending_sanctions,28.953389488200898
iraq's_weapons,28.95149036440243
six_powers,28.901470129366356
civilian_atomic,28.813384975482826
sensitive_atomic,28.739086522032064
greenstock,28.640392760130844
reimpose_sanctions,28.59947168849111
libyan_suspects,28.520887963308606
travel_bans,28.406614977704834
overhaul_sanctions,28.221790881101192
iraq's_closest,28.09610405012152
resolution_adopted,28.089148268065074
kharrazi,27.906691309844206
possible_sanctions,27.815599805365515
persuade_tehran,27.305020779212246
nuclear_standoff,27.18331676764015
revamp_sanctions,27.137816925969517
revive_nuclear,27.09255271540936
crippling_sanctions,27.069096125342696
iraq_invaded,27.036771241737842
peaceful_purposes,26.99918758521522
hamdoon,26.991240073334474
atomic_programme,26.58599866750582
baghdad's_troops,26.391817303463867
suspend_uranium,26.221750695480125
enrichment_work,26.07749236380981
civilian_purposes,26.075344460552753
council_resolutions,26.04194680814249
disarmament_demands,26.006539845696096
arms_experts,25.946643242241528
targeted_sanctions,25.72700156440891
harsher_sanctions,25.621644731898314
inspection_regime,25.5067512198774
negotiated_solution,25.315049175996677
atomic_work,25.31272976824524
imposing_sanctions,25.180483903974693
dejammet,25.12235322981348
enrichment_activities,24.774615356182824
waive_sanctions,24.6374019550326
weapons_inspection,24.357772367687787
iran's_refusal,24.20353122098533
flight_ban,23.889344317733197
somo's,23.768796250681135
west_suspects,23.6838586747742
sensitive_sites,23.49593607186305
removing_saddam,23.317257385790608
iraqi_disarmament,23.0988047128871
embargo_imposed,23.018472775589355
arming_rebels,22.916647620868222
sanctions_lifted,22.431004712608793
baghdad's_invasion,22.347770067556656
iran_insists,22.202573258263396
disarming_iraq,21.651423589546425
nuclear_activities,21.373933308357188
resolution_demanding,21.220580301969665
punitive_action,20.531036112903053
treaty_npt,20.499137863975058
irag,12.730347351319844
