,weight
import_duties,58.14736177670128
import_duty,57.96027314664931
import_tariffs,54.05308565087903
duties,45.8937002788377
quotas,45.79066205959615
import_tariff,44.18571843893246
customs_duties,43.60729795104313
quota,43.417308937809075
wto_rules,43.20360032564866
customs_duty,42.1024879024619
export_subsidies,40.34924885982733
import_quota,39.6512482642351
surcharge,39.32213097677233
export_duty,38.17474019332809
retaliatory_tariffs,37.051152784661156
punitive_duties,36.22158943376014
export_ban,36.161687591094655
export_duties,36.095314811572145
import_restrictions,35.74392693213103
subsidy,35.057064871895
antidumping,32.53297486909377
refined_sugar,32.29104049420529
countervailing_duties,32.12545667665976
scrap,31.750706896316565
impose_duties,31.506874743906042
dumping_duties,31.321280998643726
import_curbs,31.105117393755574
imposing_tariffs,29.917743949737588
exempt,29.821424102489615
export_quota,29.36349726899153
custom_duties,29.31791148047555
exempted,29.01512576937879
customs_tariffs,28.847211676049266
quota_system,28.809496278448325
cooking_oil,27.376129485996938
safeguard_measures,27.359309316240925
export_restrictions,27.273039417324366
tariffs_imposed,27.15292405048503
importation,26.765944810313158
wto_membership,26.636492858168964
wto_complaint,26.576149405025987
tax_exemption,26.52049337428468
retaliatory_measures,26.426276505319283
wheat_flour,25.92288349684437
restriction,25.876227471623658
non_basmati,25.855086467527254
imposition,25.258923808678396
minister_sharad,24.919471255926716
tax_rebates,24.885192287188904
tariff_quotas,24.711706211042358
retaliatory_duties,24.694960484556695
unprocessed,24.669098374977786
steel_duties,24.47227171760786
paswan,24.433046165638764
impose_restrictions,24.23819633331293
vegetable_oil,24.230721911687645
preferences_gsp,24.192715295221262
impose_punitive,23.77953866958066
dumping_duty,23.691012687925426
gsp,23.549418709628696
domeq,23.490556177938956
importing_countries,23.340410260242095
duties_imposed,23.217531243668187
lobbying_effort,23.19069063441961
biodiesel_imports,23.033915935146666
leaded,22.894741560031047
agricultural_subsidies,22.458034299769647
commissioner_pascal,22.25789280741668
export_levy,22.013835587573503
wto_members,21.842337353588984
tarrifs,21.792153056507967
quantitative_restrictions,21.63083871951072
poultry_meat,21.54871168512224
take_effect,21.48529135086966
poultry_imports,21.211691620218463
export_levies,20.67867996295902
liberalize,20.329007386880132
value_banknotes,20.233793375546124
cess,19.937702951565527
safeguard_tariffs,19.863218568978922
tarrif,18.621562501050793
soluble_coffee,18.385131357303507
bamalwa,18.280897978672126
import_taxes,18.00841158764568
strict_controls,17.5853933035685
impose_temporary,17.489204969181607
processors_association,17.103923394894046
sunfloweroil,17.013836934477965
arms_eba,16.828773268464264
refined_rapeseed,15.40947388852229
ibja,15.06283955835255
welthandelsorganisation,14.887989936763223
per_bale,12.889824345156367
davish,12.87670167951041
duang,12.06926426974709
monsanto's_gm,11.42050008535674
grapefruits,10.572454414929807
ukrainian_exporters,8.282766264941243
metalsnews,5.087320804258399
handelsfragen,5.00641542386746
