,weight
trade_war,66.85141286680663
trade_tensions,51.83913727749664
fiscal_cliff,51.70959807346511
jitters,50.97872832827152
factory_activity,48.91568798833137
worries,47.90186041228958
economies,44.92256481140616
largest_economies,44.63356548986063
sentiment,43.58971785204229
risk_aversion,42.59935370822029
trade_frictions,42.43325406427678
risk_appetite,42.391991618205246
sino_trade,41.98565519369179
slowdown,41.90979293455592
government_shutdown,41.88616345496899
trade_spat,41.76254528764048
impose_tariffs,41.72168363111636
optimism,40.88451754118674
global_imbalances,40.7954462541433
supply_disruptions,40.6859429380334
economic_recovery,40.24785916669072
trade_friction,39.90002821808505
slap_tariffs,39.87580435248755
geopolitical_tensions,39.596849616319886
stocks,39.26449141237147
slowing,39.02514488990703
protectionist_pressures,38.0878327756588
asian_currencies,38.010673703253666
china,37.61390815096914
japan,37.334488910878655
rally,37.136410323029146
economic,36.860586827690334
rebound,36.832265633432634
investor_sentiment,36.62715396933248
record_highs,36.37503284645821
covid_curbs,36.32656502570349
slide,35.94084486773169
trade_wars,35.82705393301435
fears,35.68607659570138
weigh,35.40147450368606
weakness,35.31425495902276
geopolitical_concerns,35.29103333110155
supply_glut,34.88795116477454
choppy,34.1731561099686
protectionist_measures,33.85583572569328
worries_about,33.800585272036706
euro's_rise,33.782103041274354
punitive_tariffs,33.26885223195727
competitive_devaluations,32.95358585209459
geopolitical_risks,32.8757613788668
soft_patch,32.695463127605656
weaker,32.614286791500625
hard_landing,32.42162135335089
jittery,32.338542102578145
nervousness,32.28157486875428
weak,32.118614636049976
sluggish,31.99004312428457
asian_economies,31.290521883481833
currency_devaluations,31.010670262979655
slapped_tariffs,30.54539080290398
month_lows,30.115722649674964
concerns_about,29.966165278182135
geopolitical_risk,29.647634290925712
dollar's_fall,29.63229295569223
escalating_tensions,29.44875564558624
cues,29.209508525760498
deflationary_pressures,29.18078172513017
lingering_worries,28.91761202642901
euro's_surge,28.01142704970542
dollar's_decline,27.977795007748572
lingering_concerns,27.935479991724673
dollar's_strength,27.9218865902005
tepid,27.86190618048413
crimp,27.825913277378433
trade,27.765283663267354
dollar's_weakness,27.281549923572804
rebounding,27.275390935406296
asia's_financial,27.077462650587538
trump's_protectionist,27.00294506203619
faltering,26.55289702077824
stronger_dollar,26.462512031749007
dampening,26.298920843201763
tariff_threats,25.986110893156
euro's_appreciation,25.858536541261667
losing_momentum,25.19253521348571
supply_constraints,25.08327869121282
sputtering,25.021999758294278
slowdowns,24.337058831150024
export_orientated,23.969188382721494
rapid_appreciation,23.47815394782344
protectionist_stance,22.26657166270075
recessionary_fears,22.216709435639398
sharp_declines,22.104122853248985
steadying,21.325920901172005
geopolitical_uncertainty,20.9181080423997
slackening,20.19120924879745
spillover_effect,19.292338478104995
slack_demand,18.87073298970042
dampening_sentiment,18.830789894573734
persistent_weakness,18.374060445639245
