,weight
imf,63.37084610875771
paris_club,57.66107681642252
frozen_russian,49.61822250910718
imf's,44.22854790381699
imf_loan,36.21756590359265
frozen_assets,34.27624058098419
camdessus,33.43467784397961
poor_countries,33.16848643746078
finance_chiefs,32.40677484988685
dervis,31.25133908055225
imf_bailout,31.1711401719318
structural_reforms,31.025078865296727
hipc,30.792011623138222
rato,30.51091943555176
poor_nations,30.325265614380083
multilateral,30.097613976469635
finmins,29.62069841843999
fiscal_consolidation,29.54081578189932
kudrin,29.34547857182017
georgieva,29.24290069702526
iif,29.070747957494493
siluanov,29.062113296946283
rich_nations,28.86973841345742
koch_weser,28.8219958049919
economic_reforms,28.810197201864202
brics,28.806233810790797
monetary_fund,28.561482928269395
poorest_countries,28.470205258673108
draft_communique,28.160878426316387
arrears,27.291208433080687
debt_swap,27.09469444726192
disbursement,26.931482554891545
lavagna,26.834195039771807
london_club,26.428419810644932
imf_gold,26.280190391633237
eu's_rehn,26.122154631844108
boudou,26.11173447872666
donors_conference,26.006513745117918
holdout_creditors,25.97066939017101
imf_managing,25.765711839444844
concessional,25.745441642247616
economic_reform,25.627456702533294
external_debt,25.53531020188758
koehler,25.273682042539168
wolfensohn,25.266769050742674
creditor_nations,25.20258775663463
debt_servicing,24.90237936735439
financing_needs,24.622910754346336
treasury_undersecretary,24.292709398877054
disbursements,24.240177207530515
development_goals,23.92392312981633
sdrs,23.91009616933136
malpass,23.848861196013992
rescheduling,23.794331712081302
debt_forgiveness,23.61596789313971
dssi,23.557233003205898
economic_policies,23.504582505204944
imf_programme,23.25921753423026
collective_action,23.128147838963503
david_malpass,22.97358240528107
multilateral_lenders,22.806542446071848
final_communique,22.64028573528084
james_wolfensohn,22.487400067309753
esm,22.45893321183393
common_framework,22.405451603489766
seven_rich,22.269431827690173
kasyanov,21.970991511166755
reform_plan,21.525958801162908
private_creditors,21.426556892470177
debt_rescheduling,21.421161904059797
storchak,21.368292381287578
conditionality,20.867145437962698
yaresko,20.708970212752824
disburse,20.675800359738272
heavily_indebted,20.587305232378203
troika,20.52911082678572
official_bilateral,20.460146044142665
pankin,20.416631578765934
donor_conference,20.169010304121194
donor_countries,20.04508470405224
marchenko,19.800750247594813
lipsky,19.78720634511221
debt_repayments,19.323703417945644
stresa,19.06368279813526
fund_imf,18.956171816521056
iraq's_debts,18.818536197652286
frets,18.68339707085112
ukraine's_reconstruction,18.659647189090823
sovereign_assets,18.15989633810533
reparation,18.13047465085722
sdr_allocation,17.714286695377268
minister_jorge,17.140522055977616
unfreeze,16.421729470137613
unfrozen,16.240785085828893
asset_freeze,14.9258268332491
debt_owed,14.69826691567109
debts_owed,14.632097022603155
suspension_initiative,13.986629576938073
concessionary,13.859341568004853
khoroshilov,11.514195865499433
