,weight
wto,56.07693505595893
protectionism,53.40856816746752
free_trade,50.58266478130443
protectionist,49.835386675624726
trade_barriers,46.11693153997519
developing_countries,43.68802678758908
trade_organization,43.611457208248346
apec,42.33069892919534
tpp,41.529927789723914
export_subsidies,40.4527131652912
trade_organisation,38.54772218126681
wto_rules,37.825005611676644
uruguay_round,37.538077397853876
barriers,37.533446155374804
wto_members,36.97485768268895
import_tariffs,35.93259090681089
trade_liberalisation,35.78349718056869
developing_nations,35.61318058850596
rhetoric,35.180255767875565
unfair,34.49145642306731
steel_imports,34.23050460388219
ustr,33.96116625239181
tariff_barriers,33.813931169348045
tariff_cuts,33.041874350195755
barshefsky,32.980462531695174
trade_deficits,32.88787789777016
cairns_group,32.770778405813516
trade_pacts,32.718151505287565
lamy,32.64651192842105
competitiveness,32.3188220900024
mercosur,32.25298399523082
wto's,32.11963873729227
globalisation,32.051777245183025
trade_agreements,31.620963727168995
globalization,31.3614734996203
import_duties,31.204598719141696
protectionist_measures,31.022966483296724
apec_leaders,30.462044973078147
playing_field,30.351918409769603
retaliatory_tariffs,30.330495001693777
rich_countries,30.015151899997914
bilateral_trade,29.43266800453908
unfair_trade,29.38933011191137
steel_industry,29.156557971100238
nationalism,29.08176438732983
farm_goods,28.936600039153404
american_clause,28.936139641384088
chinese_textile,28.81007938950928
industrial_goods,28.792901753667746
textile_exports,28.621907844874354
wto_ministerial,28.516919532884316
liberalization,28.24583504995702
undermine,28.213063892126
zoellick,27.985907976336577
doha_deal,27.577565787871084
freer_trade,27.433954459733208
developed_countries,27.35286482174098
mercantilist,27.090958739244535
froman,26.75240528162588
import_quota,26.57844378935095
punitive_tariffs,26.557088724829367
agricultural_subsidies,26.55287785570994
friction,26.500267726008417
unilateralism,26.395234210237053
american_provisions,26.375135191293268
brittan,26.11966539872993
labor_standards,25.7902496444143
wto_ministers,25.64266905750707
organisation_wto,25.25787281716285
protectionist_policies,25.237245769039312
trade_protectionism,25.16128874256169
aldonas,25.114575576752564
frictions,25.01149657075396
special_safeguard,24.77091190822534
wto_membership,24.631076980372782
freer,24.46778853442192
undermining,23.594716859362194
liberalize,23.329679039791806
isolationism,23.04145397094206
punitive,22.623288733472958
counterproductive,21.891089284268336
protectionists,21.72928263755563
nontariff,21.651463561173557
ustr's,21.57018092442993
retaliatory_measures,21.484004543487178
farm_tariffs,21.45644376295561
harming,21.443003944543666
tariff_reductions,20.995045434120048
industrial_tariffs,19.765492884987687
liberalizing,19.507710280278918
politically_sensitive,18.883039545498768
doha_development,18.829279764745337
organization_wto,18.813442500792117
round's,18.7325775366003
unwelcome,17.79998404264827
poor_farmers,17.70380001509736
commissioner_peter,16.98515541341535
singling_out,16.728855961450552
multilateral_trade,13.886330658241128
distorting_subsidies,7.318813783989443
