,weight
zte,58.638273513040545
huawei_technologies,47.28135434852827
export_restrictions,42.96646388020563
export_controls,40.7740932616073
commerce_ministry,38.57218027753116
entity_list,38.01588605484271
rare_earths,32.98724635790392
zte's,31.917803504104747
export_curbs,31.5254189616526
hikvision,30.16735740176104
smic,30.079842031206642
import_duties,29.087464596160952
blacklist,29.07947310525517
unreliable_entity,28.725346722535082
ustr,28.559951432708477
import_tariffs,28.12366999283865
wto_accession,28.080909937108302
chinese,27.118992853608436
dual_use,26.986135450238166
semiconductor_manufacturing,25.477851680344966
trade_barriers,25.1704303346222
dahua,24.669791386393353
chipmaking,24.077119895641154
advanced_chips,23.921294289078595
countermeasures,23.725875799837358
kaspersky,23.21618571139517
chipmaking_equipment,22.7769500017006
zhongwang,22.429903268053483
ymtc,22.3217119934152
anti_subsidy,22.278247059744185
schuele,22.04022142086825
fujian_jinhua,21.918648711872475
bloomberg_businessweek,21.666152185512335
unilateral_sanctions,21.584200333959988
quarantine_bureau,21.434889816123764
indigenous_innovation,21.411361771368796
ddgs,21.296232273971714
lenovo_group,20.843487661460664
mofcom,20.783306500879235
qin,20.490026663876694
shen,20.464195960628953
pegatron,20.07128025330414
ubiquiti,19.91018896311016
shi,19.79920265736213
retaliatory_measures,19.7786460207441
agency_xinhua,19.71136715791244
semiconductor_makers,19.581030519372923
punitive_measures,19.13780618541681
tsao,19.096093527747342
qiao,18.70632667981629
chipsets,18.70389846239015
selling_components,18.6934977826245
goertek,18.561813388131164
miit,18.436750574073525
mediatek,18.41458991261316
moolenaar,18.238941115132594
spreadtrum,18.050291621886103
blacklisting,17.649206729835953
macronix,17.619745427248514
circumvention,17.464271646706727
guofang,17.29461534066627
duv,16.231641449325537
livestock_breeders,16.123629552695323
inspur,16.089970059111685
transshipments,16.027661817281075
chinas,15.740036127642277
changxin,15.57966646756519
zhuo,15.329960121442376
quectel,15.315293069739154
shuang,15.167979250981169
blansett,15.098604524067213
winbond,15.028566195509073
hpai,14.885320248763954
order_prohibiting,14.042440687686351
kaifa,13.603263125013319
iflytek,13.310259810714303
encryption_keys,12.638491813016135
cang,12.447354765299309
naura,12.436437306517979
extruders,12.162596007663558
fdpr,12.05974574747221
nexperia's,11.659866433317017
rad_chips,11.351982397195743
acquiring_components,11.198309939434868
regained_permission,11.162857270050324
banned_meat,11.025153913146523
chinese_tabloid,10.490715805557793
ferromolybdenum,10.44083361246659
includes_smartphones,10.373122423420316
srams,10.362631155568188
hikvision's,10.159887818549995
ethane_producers,9.977994857942717
license_suspensions,9.816971214398407
tianma,9.189573956610316
papovich,8.955037570149832
preliminary_determination,8.565000479491408
cadence_synopsys,8.036480794322665
tongrun,7.211203990060173
tot's,6.923616553905101
huawei's_ascend,6.873505986172543
