,weight
frozen_assets,44.64650638540057
frozen_russian,38.10721174733698
russian_assets,31.145693573334707
debt_rescheduling,29.620978170226536
creditor_banks,28.51755139384362
london_club,28.183859344591717
roll_over,27.699389906014833
gko,26.624924711085786
loan_package,26.067399910981656
developer_kaisa,25.74384391261935
siluanov,24.824177482400035
external_debt,24.595648118931518
financing_needs,24.301877852778553
debt_servicing,23.799577814887407
recapitalise,23.594580282587632
haircut,23.276381141038012
loan_tranche,23.202581644540764
common_framework,23.113874643592794
payment_freeze,22.78652830977165
debt_restructurings,22.48068290724378
gkos,22.277404603882733
multilateral_lenders,21.678920225529488
dssi,21.67348107085422
bilateral_creditors,21.62052761228277
reprofiling,21.274545425496388
sdrs,20.905743706719267
debt_repayments,20.724498155504218
private_creditors,20.659745427126882
interest_payments,20.535683192030692
liquidity_crunch,20.366420982407313
argentina_bondholders,20.224109913646338
storchak,19.913229660064673
heavily_indebted,19.82136805142395
creditor_nations,19.796905149116725
sovereign_assets,19.634682697295844
zadornov,19.542445196869195
marchenko,19.191858995586372
repays,18.96727856772564
rouble_debt,18.72956209984187
argentine_creditors,18.43926694847515
debt_ridden,18.38852619502226
vyugin,18.362010072298702
financing_package,18.193378542520687
be_repaid,18.072973208115624
revises_ireland's,17.880348848711343
debt_owed,17.76786244330309
ukraine's_reconstruction,17.696887888352723
minister_anton,17.68955535231873
bridge_loans,17.165864296723267
early_repayment,16.902285109907467
liquidity_squeeze,16.803194675982674
creditor_groups,16.660416639675216
unfreeze,16.59482014262032
imbalances_due,16.544891900544474
chaori,16.266618202522515
volodymyr_zelenskyy,16.045818683813916
debts_owed,15.745156325311719
ofzs,15.593224248853701
rdeuce_risks,15.530652413887799
pyshnyi,15.255365666381023
djunic,15.108522680534982
senegal_bonds,14.897910955633538
recapitalising,14.860676721762902
rupee_strengthens,14.642521989987344
debt_obligations,14.611451442942023
uncertainties_ahead,14.280629438345112
ethiopia's_imf,13.864229275933415
russian_participation,13.629972674791237
founding_clubs,13.41715389956072
seeks_bondholder,13.307252449136442
ghana_fails,13.18366779115087
financially_troubled,13.179104090805572
plo_account,12.788573447522529
velchev,12.31787998778473
kosov,12.198699224510957
sdrm,12.147652789144068
join_homebuyer,12.021259294712955
facing_hypothermia,12.003696043257222
russian_liberal,11.886089742485947
mitov,11.331800394507347
finmin_mali,11.276241313418701
gradual_baht,11.169214386464425
growth_complicates,10.749043235233142
finland_wants,10.551544593647371
england's_cunliffe,9.941398995591806
zambia_creditors,9.65931318113775
payments_trickle,9.582886583049051
argentina_cite,9.452430935577455
lisovenko,9.184851138951108
economist_willem,9.023493449977618
arrears_notes,9.001617739903377
spur_haven,8.964596357453159
imf's_gold,8.76030049708044
spike_bis,8.026300498572308
undersecured,7.95998293925401
solving_zimbabwe's,7.52415321293206
orban's_trip,6.0080636502188876
suspension_finmin,5.446148851223027
won's_value,5.2648183184302155
senior_pref,5.118129857270627
