,weight
doha_round,61.91305162236863
wto,60.20337513675837
protectionism,53.71216742742829
protectionist,49.82858817279369
trade_representative,44.86005726871804
farm_subsidies,44.10896136453275
trade_organization,43.48660516170568
trade_pact,43.09953766976628
negotiators,42.87999692105455
tpp,42.50562146345619
developing_countries,42.40659437410142
lamy,41.47382565987236
apec,41.46609795020467
wto_members,41.25458390803463
trade_organisation,41.14384503135654
trade_barriers,40.13161674425757
wto's_doha,39.425704261300744
wto's,39.32975168067661
trans_pacific,38.779408291840305
trade_liberalisation,37.93990936733401
export_subsidies,37.3470770301526
wto_talks,36.557733117162634
developing_nations,36.48713911815445
industrial_goods,36.394527705182405
doha,36.25117918951566
barriers,35.13545875510011
wto_rules,34.865757897780476
unfair,34.67811035340669
ustr,34.44297659461178
mandelson,33.83126339050167
cairns_group,33.06126672720641
barshefsky,32.914765322113176
cancun_mexico,32.81330228054468
uruguay_round,32.80369394350386
trade_pacts,32.52530660671906
import_tariffs,32.40409094812027
labour_standards,32.03115354093336
wto_ministerial,31.93446423118821
trade_deficits,31.48628463180567
doha_deal,31.074889611721552
mercosur,30.933723180221744
rich_countries,30.91247382984064
lighthizer,30.851647138700056
trade_agreements,30.471116744047038
tariff_barriers,30.159207471745262
breakthrough,30.04425959681753
protectionist_measures,30.000775505005162
zoellick,29.970504337847906
tariff_cuts,29.447915607175187
trade_liberalization,29.43700069561466
trade_distorting,29.1055664851152
de_gucht,29.05322538725542
nationalism,28.765708070549643
froman,28.71824136961296
agricultural_subsidies,28.083531010808834
organisation_wto,27.922218367634194
susan_schwab,27.65878526507477
brittan,27.598724007608205
wto_ambassador,27.03738572638233
ministerial_meeting,27.007978288992174
mercantilist,26.66452500186358
robert_zoellick,26.651310687254277
friction,26.43901705268829
unilateralism,26.149908892924064
liberalization,25.972375661383413
trade_commissioner,25.914371668033013
punke,25.835026266480845
pascal_lamy,25.833746117607166
punitive_tariffs,25.330266875134534
frictions,25.050642309652517
trade_protectionism,24.480668123934436
farm_tariffs,24.35088370154282
stalled_doha,24.11335570468315
trade_organisation's,23.989147028142
qatari_capital,23.744171850600033
round's,23.464419771346645
wto_doha,23.313072214199927
freer,23.046478225618817
isolationism,22.998610568872543
punitive,22.634832843764087
harming,22.335559394174823
counterproductive,22.30057045247986
stifle,22.12364327569911
protectionists,21.938100543856873
first_ministerial,21.865342244693238
successful_conclusion,21.69026345393662
ustr's,21.415453187516423
industrial_tariffs,21.357286709380855
doha_development,20.162806870565625
commissioner_peter,19.774622623025
politically_sensitive,18.841023433942837
organization_wto,18.69426180568697
agricultural_tariffs,18.059592340766702
doha_negotiations,17.467249867199683
draft_texts,16.73012971595981
singling_out,16.665187271546525
wto_urges,15.850548142866268
deep_differences,14.904897339832194
wto_director,13.949495522357665
troubled_doha,11.36905669189596
