,weight
retaliation,45.96813464544308
retaliate,44.5680587895175
retaliatory,38.84507043763549
impose,35.956943231298574
impose_tariffs,35.3579700816138
escalation,35.02863139129348
duties,33.5120910415755
countermeasures,33.17513829916014
retaliatory_tariffs,33.16750337205443
defend_itself,31.26728855350847
retaliate_against,31.154636453993927
threatened,30.44267509885351
impose_sanctions,29.65922354681748
protectionist,29.16272405904181
aggression,28.78297893106064
unilateral,28.752293431669198
tensions_between,28.232415720910748
slap_tariffs,28.215232146202045
imposing,27.81422289510893
slap,27.65463762484838
import_tariffs,27.548242130220324
provocation,27.224179687648764
confrontation,27.165269489887926
escalate,27.056451659244924
defend,26.83456036925161
punitive,26.24480406330041
threats,26.06151682973068
blackmail,26.018201748750638
threat,25.968389621110312
retaliatory_measures,25.92821946599804
retaliated,25.08447958279845
serious_consequences,24.85453638644882
counter_measures,24.709437388472047
unilaterally,24.434147672343936
lamb_imports,24.397950823481082
imported_steel,24.127369889122388
punish,24.009185082237238
into_effect,23.975085134216037
imposition,23.758689202526554
slapped,23.634295059421387
punitive_tariffs,23.608078779475864
ruled_out,23.58520034020072
threatening,23.396756164713633
provoke,23.106499060632565
de_escalate,23.062164789955784
invade,23.044866764431113
extra_duty,22.99135930783034
pre_emptive,22.769624309851036
flax_yarn,22.54097916268782
aluminium_imports,22.101110732491666
escalating,22.046504538902767
protectionist_measures,22.013439632765248
punitive_measures,21.959250269551944
sanction,21.931256585295564
unjustified,21.721915989951
pretext,21.54849788191471
imposing_sanctions,21.453476469479135
not_tolerate,20.94957732855316
unilateral_action,20.85448266683058
clothing_imports,20.833750604876897
unprovoked,20.79754627481649
take_unspecified,20.696775249913824
impose_reciprocal,20.48692081682999
reprisals,20.400134103631302
escalated,20.114909342724673
tolerate,20.04097086161538
retaliating,19.78063931376463
impose_duties,19.552247148146847
incursions,19.449021062126917
confrontation_between,19.414356152067143
deter,19.371625340908743
counterproductive,19.215213389961008
import_levies,19.20560577895885
confrontations,19.128650634190432
inflame,18.926394336018813
do_so,18.77477999522956
doubted,18.752657138038213
bluffing,18.57389251991205
retaliates,18.412719446429897
slapping,18.224886368613802
took_effect,17.99705102137817
very_clear,17.853821330218217
provoking,17.518409688962695
counter_productive,17.5117604189353
jeopardise,17.47271157379954
hesitate,17.37328795314129
salvo,17.040638972754646
send_message,16.584260486643757
reprisal,15.95932274669741
adamant,14.661681843277927
upsetting,14.123203346139238
trousers_shirts,14.054729095938713
restrict_imports,13.776498527922993
fuat_oktay,13.514464094545563
ratcheted_up,13.041379162906267
ratcheting,13.017191647399777
legitimate_interests,11.167158205134335
violent_attacks,10.15456502903349
stock_whacked,9.634164583134709
emergency_import,8.410367384669136
