,weight
iran,56.79724346309975
sanctions,48.925894454118726
iranian_oil,48.13415509156654
iran's_nuclear,47.71744303590629
iran's,47.19015090261501
tehran,45.188780061325986
libya,44.61426356817917
iranian,43.674121037867216
nuclear_deal,42.834896753848476
nuclear_programme,42.582228828363235
nuclear_program,41.847894348109676
tensions,40.139173892262036
venezuela,39.142237924281716
syria,37.917692187084235
ukraine,37.78188570897273
russia,37.482164512952735
oil_embargo,37.10643049312577
iraq,34.73418687922669
tehran's,34.45235586418907
putin,33.98112479294699
embargo,33.94299203858928
islamic_republic,33.30476026783173
sanctions_against,32.78956106397087
threat,31.90520394707767
blinken,30.985329378537173
pompeo,30.7669716111055
threaten,29.47291181126782
threats,29.160742026626867
iranians,29.00709978640943
russian,27.84919849710537
turkey,27.799067600048893
sanctions_imposed,27.057481719899947
impose_sanctions,26.801478778839815
envoy,26.176745208547885
iranian_president,25.867107357182274
major_powers,25.39179265088536
nuclear_dispute,25.385523756491626
islamic_republic's,24.937051304350003
diplomatic_solution,24.550643559042665
diplomats,24.516009530455705
iranian_officials,24.256164847773952
weapons_inspections,23.53898227967144
russia's,23.216489257308492
syria's,22.975612282249596
punitive_measures,22.80020234790705
lift_sanctions,22.48948322916484
foreign_minister,21.2207046814409
embargoes,21.20019554208864
imposing_sanctions,21.133273247904416
peaceful_purposes,19.307536869117193
iranian_official,17.511565325369993
menace,17.497217126293442
zarif,17.482428878810083
libyan_leader,16.285488950284808
targeted_sanctions,16.25389143790864
larijani,16.132362630449833
west_suspects,16.11501544096388
bans_import,15.914130023864452
javad_zarif,15.857525729219443
kharrazi,15.303497595679682
pivots_away,15.15105551539739
salehi,15.059722114020634
helps_ignite,14.883853301105745
mottaki,14.633028034199928
araqchi,14.534639220988948
orders_fast,13.50237195199052
furious_but,13.08406505210409
jalili,13.04678162180511
minister_mohammad,12.993165586380176
iran's_ambassador,11.058128228781937
pursuing_maximum,10.594529528440916
past_bbl,9.936738540792762
should_outlaw,9.259155737142592
mostafavi,8.87862293114051
protesters_tunnel,8.759559635042027
valneva_novavax,8.663567206021018
resist_eviction,8.074334946678803
tyson_groundbreaking,8.073554280284458
hottest_decade,7.6137343294221225
compensate_comfort,7.127441028122118
record_rounded,6.941060587492857
edwards_given,6.695217144185869
sanctions_scholz,6.346995090450183
kazakhstan_won't,6.265096600774648
tokyo_angered,6.185245852278297
film_marks,5.8820746159457
enshrine_roles,5.800149922911111
german_falklands,5.5932461152258375
argentina_hails,5.535251280507409
israel_revisits,5.4779433517453135
testing_frenzy,5.317700965462474
backs_petrol,5.2588990806801235
anglo_fails,5.092736397912675
camps_unhcr,5.06660237286429
voices_grave,4.662563913602888
irans,4.461606635205031
kingmaker_manoeuvres,3.525076233783199
squeezing_corporate,3.307755218763708
iraniens,3.2892496581636896
ideas_mottaki,2.517148440132828
