,weight
trade_war,55.052609545768924
trade_tensions,49.355676261676514
trade_dispute,47.14048086479178
largest_economies,42.19196333180407
chinese_imports,40.40094533569474
trade_conflict,38.63084459697739
escalating_trade,38.54809642903924
sino_trade,37.23362476174271
trade_spat,36.36094172286276
tariffs,36.078943187615
biggest_economies,35.158195523869075
nafta,34.60852005251383
trade_frictions,33.612088109264434
protectionism,32.64641809108436
trade_wars,32.39485939141517
trading_partners,31.79614967559815
tariff,30.904198275779528
tariff_threat,30.904141417812877
trade_disputes,30.185605003834443
impose_tariffs,29.784950981769576
reciprocal_tariffs,29.683712351757393
chinese_goods,29.243156643576363
domestic_demand,28.7530023806704
retaliatory_tariffs,28.697738435480137
slap_tariffs,28.382121300594513
tariff_threats,28.253724947690362
phase_one,27.748837808543993
china,27.732310080590537
protectionist,27.715443396923348
trade_friction,27.66374754174504
phase_trade,27.62734360654259
tariff_hike,26.94080343003218
sino_us,26.612578041462402
trade_truce,26.352132632202107
sino,26.222958953815375
import_tariffs,25.960362529075237
sino_tensions,24.2257052874026
competitive_devaluations,24.016461752334184
aluminum_imports,23.902772408454528
bayer's_bln,23.779526049143616
vice_premier,23.52018101896567
hard_landing,23.369151059629
china's_commerce,23.11489807392123
additional_tariffs,23.030969197723977
protectionist_policies,22.841387783126475
chinese_counterpart,21.370911216243215
imported_steel,21.28172346734723
protectionist_measures,21.251863337961
aluminium_imports,21.197875367578323
port_lockout,21.024687556838142
slowing_growth,21.016702670275272
japanese_officials,20.869248644512897
trade_imbalances,20.805054895184295
aluminum_tariffs,20.630361380755208
frictions,20.544709990523376
cautious_mood,20.334212854155325
bitter_trade,20.203035122226368
trade_spats,20.195329766654975
imposed_tariffs,20.133418769136547
export_competitiveness,20.033169354535616
friction,19.59348375939045
imposing_tariffs,19.52211756830863
import_levies,19.493388953989363
slapped_tariffs,19.21984082404087
retaliatory_measures,19.107649660068013
fragile_economic,19.064720969779664
dollar's_recent,19.032313944587038
asked_him,18.87532008242902
detente,18.784633443540088
dollar's_strength,18.562737680602638
impose_duties,18.119789358821834
retaliatory_duties,17.74090792239221
dampen,17.612976544405885
their_differences,17.46091308075677
both_countries,17.36089224261438
decouple,17.058205331682334
escalating_sino,16.83435961603491
slapped_tit,16.666810846844978
dampening,16.339020290708977
port_shutdown,15.978871979211123
asian_turmoil,15.726765976818173
appreciating,15.693905931780227
pessimistic_about,15.153219935559143
hard_deadline,14.888968218901026
hails_peace,14.587440500575664
soften,14.493768274793693
expect_much,14.488567333128948
trump's_announcement,14.308742528983872
denting,14.240458754846157
ratcheting,14.076944474972507
overlapping_claims,13.746883433175649
elias_glenn,13.281506771340794
retaliations,13.274929899260652
surge_geopolitics,12.36610902297335
proposing_higher,10.753087971841504
tat_duties,10.728687253338691
outline_commitments,9.983606439366387
bruising_tariffs,9.11824542444221
dumping_deposits,7.492872423908022
other's_imports,6.814131518871113
