Guided Topic Modeling
                    
Topic Size:            300.0                    
Gravity:               1.5                    
Positive seed words:   sanctions targeted_sanctions                    
Negative seed words:   diplomacy  

#0   iran                           weight: 61.547
#1   tehran                         weight: 60.766
#2   iran's                         weight: 60.448
#3   iranian                        weight: 55.151
#4   iran's_nuclear                 weight: 51.556
#5   nuclear_programme              weight: 49.001
#6   sanctions                      weight: 48.246
#7   uranium_enrichment             weight: 46.440
#8   islamic_republic               weight: 45.799
#9   nuclear_deal                   weight: 45.548
#10  tehran's                       weight: 44.773
#11  tehran's_nuclear               weight: 43.551
#12  rouhani                        weight: 43.551
#13  libya                          weight: 41.311
#14  iranians                       weight: 41.151
#15  nuclear                        weight: 40.352
#16  nuclear_program                weight: 40.110
#17  nuclear_weapon                 weight: 39.953
#18  saudi_arabia                   weight: 39.440
#19  syria                          weight: 39.393
#20  enrichment                     weight: 39.382
#21  north_korea                    weight: 38.837
#22  putin                          weight: 37.457
#23  russia                         weight: 36.456
#24  iran's_supreme                 weight: 36.141
#25  venezuela                      weight: 35.973
#26  pompeo                         weight: 35.940
#27  iraq                           weight: 34.463
#28  nuclear_arms                   weight: 34.377
#29  foreign_minister               weight: 34.337
#30  atomic                         weight: 33.833
#31  ukraine                        weight: 33.480
#32  zanganeh                       weight: 33.328
#33  western_powers                 weight: 33.244
#34  world_powers                   weight: 33.070
#35  iranian_nuclear                weight: 32.710
#36  nuclear_bomb                   weight: 32.449
#37  iranian_oil                    weight: 32.375
#38  uae                            weight: 32.273
#39  saudis                         weight: 32.120
#40  sanctions_relief               weight: 31.963
#41  iran_denies                    weight: 31.945
#42  sanctions_against              weight: 31.932
#43  iranian_president              weight: 31.752
#44  islamic_republic's             weight: 31.639
#45  minister                       weight: 31.617
#46  atomic_weapons                 weight: 31.494
#47  zarif                          weight: 31.427
#48  diplomats                      weight: 31.362
#49  military_action                weight: 31.342
#50  irna                           weight: 31.158
#51  diplomatic                     weight: 30.726
#52  kremlin                        weight: 30.609
#53  vienna                         weight: 30.607
#54  allies                         weight: 30.496
#55  israel                         weight: 30.279
#56  syria's                        weight: 30.190
#57  tehran_denies                  weight: 30.186
#58  atomic_bomb                    weight: 30.154
#59  moscow                         weight: 30.087
#60  mahmoud_ahmadinejad            weight: 29.980
#61  iranian_officials              weight: 29.824
#62  tensions                       weight: 29.782
#63  weapons                        weight: 29.693
#64  enrich_uranium                 weight: 29.666
#65  embargo                        weight: 29.401
#66  diplomat                       weight: 29.250
#67  develop_nuclear                weight: 29.013
#68  disputed_nuclear               weight: 28.878
#69  major_powers                   weight: 28.776
#70  sensitive_nuclear              weight: 28.695
#71  nuclear_ambitions              weight: 28.679
#72  russian                        weight: 28.596
#73  nuclear_arsenal                weight: 28.395
#74  imposed                        weight: 28.372
#75  supreme_leader                 weight: 28.289
#76  salehi                         weight: 28.072
#77  sanctions_imposed              weight: 28.056
#78  arab                           weight: 27.916
#79  nuclear_activities             weight: 27.873
#80  united_nations                 weight: 27.849
#81  elbaradei                      weight: 27.818
#82  javad_zarif                    weight: 27.807
#83  weapons_inspectors             weight: 27.718
#84  larijani                       weight: 27.709
#85  ties                           weight: 27.677
#86  kuwait                         weight: 27.595
#87  atomic_bombs                   weight: 27.593
#88  nuclear_dispute                weight: 27.544
#89  powers                         weight: 27.509
#90  diplomatic_solution            weight: 27.477
#91  western_diplomats              weight: 27.408
#92  russia's                       weight: 27.232
#93  western_diplomat               weight: 27.177
#94  non_proliferation              weight: 27.125
#95  reimposed_sanctions            weight: 27.095
#96  enriching_uranium              weight: 27.072
#97  missile_tests                  weight: 26.997
#98  regime                         weight: 26.907
