Guided Topic Modeling
                    
Topic Size:            300.0                    
Gravity:               1.5                    
Positive seed words:   tariffs punitive_tariffs                    
Negative seed words:   tax_cut  

#0   tariffs                        weight: 60.738
#1   tariff                         weight: 56.470
#2   chinese_imports                weight: 48.275
#3   trade_war                      weight: 47.763
#4   retaliatory_tariffs            weight: 46.706
#5   impose_tariffs                 weight: 44.337
#6   largest_economies              weight: 40.172
#7   duties                         weight: 39.508
#8   reciprocal_tariffs             weight: 39.422
#9   trading_partners               weight: 39.361
#10  trade_representative           weight: 39.302
#11  chinese_goods                  weight: 37.208
#12  trade_representative's         weight: 37.191
#13  hikes                          weight: 37.095
#14  import_tariffs                 weight: 36.342
#15  tpp                            weight: 36.336
#16  commerce_ministry              weight: 36.214
#17  trump                          weight: 35.745
#18  trade_tensions                 weight: 35.465
#19  aluminum_imports               weight: 34.160
#20  slap_tariffs                   weight: 34.084
#21  import_duties                  weight: 33.776
#22  steel_imports                  weight: 33.488
#23  china                          weight: 33.212
#24  retaliation                    weight: 33.105
#25  commerce_secretary             weight: 33.068
#26  ustr                           weight: 32.803
#27  protectionism                  weight: 32.004
#28  lighthizer                     weight: 31.927
#29  trump's                        weight: 31.804
#30  protectionist                  weight: 31.289
#31  punitive_tariffs               weight: 31.043
#32  impose                         weight: 31.003
#33  retaliate                      weight: 30.939
#34  supply_chains                  weight: 30.448
#35  cut                            weight: 30.204
#36  impose_tariff                  weight: 29.958
#37  anti_subsidy                   weight: 29.320
#38  chinese_textile                weight: 29.127
#39  kudlow                         weight: 28.964
#40  phase_trade                    weight: 28.923
#41  farm_products                  weight: 28.786
#42  imported_steel                 weight: 28.738
#43  imported_cars                  weight: 28.262
#44  into_effect                    weight: 28.021
#45  trade_barriers                 weight: 27.986
#46  autos                          weight: 27.767
#47  punitive_duties                weight: 27.752
#48  retaliatory                    weight: 27.720
#49  tariffs_imposed                weight: 27.440
#50  tariff_barriers                weight: 27.008
#51  countermeasures                weight: 26.914
#52  imposing_tariffs               weight: 26.651
#53  byrd_amendment                 weight: 26.389
#54  wto_members                    weight: 26.218
#55  tariff_threats                 weight: 26.084
#56  slap                           weight: 26.079
#57  exemptions                     weight: 26.075
#58  unfair_trade                   weight: 25.959
#59  bourbon_whiskey                weight: 25.711
#60  export_controls                weight: 25.631
#61  canadian_prime                 weight: 25.626
#62  boost                          weight: 25.524
#63  trade_deficits                 weight: 25.515
#64  lift                           weight: 25.511
#65  retaliatory_measures           weight: 25.425
#66  aldonas                        weight: 25.258
#67  lamb_imports                   weight: 25.210
#68  american_clause                weight: 25.162
#69  impose_duties                  weight: 25.108
#70  steel_producing                weight: 25.022
#71  rebound                        weight: 24.866
#72  take_effect                    weight: 24.832
#73  counter_measures               weight: 24.695
#74  retaliatory_duties             weight: 24.643
#75  imposed_tariffs                weight: 24.522
#76  aluminium_imports              weight: 24.481
#77  protectionist_measures         weight: 24.414
#78  aluminum_tariffs               weight: 24.334
#79  trade_wars                     weight: 24.199
#80  de_gucht                       weight: 24.104
#81  sectoral_tariffs               weight: 24.078
#82  cautious                       weight: 23.999
#83  froman                         weight: 23.993
#84  retaliate_against              weight: 23.956
#85  farm_goods                     weight: 23.686
#86  american_provisions            weight: 23.670
#87  drag                           weight: 23.601
#88  adviser_peter                  weight: 23.389
#89  chinese_tires                  weight: 23.253
#90  chinese_textiles               weight: 23.213
#91  slapped_tariffs                weight: 23.159
#92  imposing                       weight: 23.126
#93  massive_devaluation            weight: 23.100
#94  export_restrictions            weight: 22.954
#95  impose_reciprocal              weight: 22.833
#96  import_restrictions            weight: 22.814
#97  punish_beijing                 weight: 22.745
#98  reciprocal                     weight: 22.620
#99  tariffed                       weight: 22.513
#100 textile_exports                weight: 22.457
#101 trade_spats                    weight: 22.393
#102 extra_levy                     weight: 22.381
#103 grant_aldonas                  weight: 22.267
#104 imposition                     weight: 22.169
#105 trade_spat                     weight: 22.154
#106 imported_goods                 weight: 22.100
#107 punitive                       weight: 22.013
#108 muted                          weight: 21.847
#109 robert_lighthizer              weight: 21.762
#110 american_whiskey               weight: 21.693
#111 trade_imbalances               weight: 21.623
#112 hefty_tariffs                  weight: 21.520
#113 liu_he                         weight: 21.459
#114 trade_liberalization           weight: 21.412
#115 trade_disputes                 weight: 21.089
#116 slapped                        weight: 21.012
#117 pharmaceuticals_semiconductors weight: 20.943
#118 brittan                        weight: 20.812
#119 malmstrom                      weight: 20.722
#120 cheap_steel                    weight: 20.705
#121 preferential_trade             weight: 20.617
#122 clothing_imports               weight: 20.594
#123 additional_duty                weight: 20.403
#124 provisional_duties             weight: 20.357
#125 ustr's                         weight: 20.320
#126 textile_imports                weight: 20.257
#127 textile_quotas                 weight: 20.072
#128 guajardo                       weight: 20.068
#129 protectionist_policies         weight: 20.014
#130 import_levies                  weight: 20.010
#131 trade_commissioner             weight: 19.999
#132 tyre_imports                   weight: 19.912
#133 peter_scher                    weight: 19.695
#134 countervailing                 weight: 19.613
#135 impose_countervailing          weight: 19.578
#136 punke                          weight: 19.504
#137 blanket_tariffs                weight: 19.481
#138 eliminate_tariffs              weight: 19.332
#139 lowering                       weight: 19.313
#140 enforcement_mechanism          weight: 19.293
#141 frisbie                        weight: 19.279
#142 extra_duty                     weight: 19.240
#143 wang_shouwen                   weight: 19.208
#144 retaliatory_sanctions          weight: 19.153
#145 chicken_feet                   weight: 19.076
#146 as                             weight: 19.070
#147 knit_fabrics                   weight: 19.028
#148 lumber_industry                weight: 19.000
#149 chinese_clothing               weight: 18.909
#150 special_safeguard              weight: 18.768
#151 made_iron                      weight: 18.406
#152 representative_robert          weight: 18.361
#153 slapping                       weight: 18.293
#154 both_countries                 weight: 18.232
#155 product_exclusions             weight: 18.230
#156 scher                          weight: 18.067
#157 retaliated                     weight: 17.974
#158 impose_punitive                weight: 17.951
#159 barshefsky's                   weight: 17.902
#160 farm_tariffs                   weight: 17.712
#161 carve_outs                     weight: 17.526
#162 champagne_handbags             weight: 17.525
#163 organization_wto               weight: 17.437
#164 structural_issues              weight: 17.379
#165 veron_reville                  weight: 17.376
#166 impose_steep                   weight: 17.372
#167 preliminary_list               weight: 17.253
#168 imposed_retaliatory            weight: 17.230
#169 currency_undervaluation        weight: 17.176
#170 may                            weight: 17.165
#171 representative's               weight: 17.022
#172 chinese_tire                   weight: 16.954
#173 business_lobbies               weight: 16.919
#174 mexican_mills                  weight: 16.675
#175 frictions                      weight: 16.648
#176 hard_deadline                  weight: 16.240
#177 safeguard_provision            weight: 16.147
#178 minister_bo                    weight: 16.102
#179 follows_through                weight: 15.864
#180 subsidized_barley              weight: 15.822
#181 soften                         weight: 15.781
#182 beijing_retaliated             weight: 15.655
#183 furniture_lighting             weight: 15.618
#184 metal_tariffs                  weight: 15.447
#185 cellphones_laptops             weight: 15.417
#186 hereby_ordered                 weight: 15.328
#187 glossy_paper                   weight: 15.290
#188 china's_undervalued            weight: 15.227
#189 lamb_producers                 weight: 15.048
#190 section_tariffs                weight: 15.018
#191 lighthizer's                   weight: 14.927
#192 commissioner_cecilia           weight: 14.905
#193 freehold_land                  weight: 14.824
#194 trousers_shirts                weight: 14.770
#195 taken_advantage                weight: 14.584
#196 countervailable                weight: 14.464
#197 commissioner_peter             weight: 14.457
#198 cars_semiconductors            weight: 14.145
#199 restrict_imports               weight: 14.020
#200 retaliating                    weight: 13.992
