Guided Topic Modeling
                    
Topic Size:            300.0                    
Gravity:               1.5                    
Positive seed words:   trade_war trade_tensions                    
Negative seed words:   free_trade  cooperation  

#0   trade_war                      weight: 54.974
#1   trade_tensions                 weight: 49.163
#2   trade_dispute                  weight: 47.052
#3   largest_economies              weight: 42.044
#4   chinese_imports                weight: 41.151
#5   trade_conflict                 weight: 38.574
#6   escalating_trade               weight: 38.100
#7   sino_trade                     weight: 37.175
#8   trade_spat                     weight: 36.076
#9   tariffs                        weight: 35.965
#10  biggest_economies              weight: 34.977
#11  nafta                          weight: 34.776
#12  trade_frictions                weight: 33.649
#13  protectionism                  weight: 32.324
#14  trade_wars                     weight: 31.902
#15  trading_partners               weight: 31.792
#16  tariff_threat                  weight: 30.800
#17  tariff                         weight: 30.786
#18  reciprocal_tariffs             weight: 30.099
#19  impose_tariffs                 weight: 29.990
#20  trade_disputes                 weight: 29.868
#21  chinese_goods                  weight: 29.579
#22  retaliatory_tariffs            weight: 29.097
#23  slap_tariffs                   weight: 28.652
#24  domestic_demand                weight: 28.612
#25  tariff_threats                 weight: 28.469
#26  phase_trade                    weight: 28.376
#27  phase_one                      weight: 28.341
#28  china                          weight: 27.706
#29  trade_friction                 weight: 27.598
#30  tariff_hike                    weight: 27.557
#31  protectionist                  weight: 27.551
#32  tpp                            weight: 26.786
#33  trade_truce                    weight: 26.730
#34  sino                           weight: 26.417
#35  worries                        weight: 26.358
#36  sino_us                        weight: 26.326
#37  import_tariffs                 weight: 26.080
#38  supply_chains                  weight: 25.955
#39  into_recession                 weight: 25.564
#40  stimulus_measures              weight: 24.826
#41  sino_tensions                  weight: 24.787
#42  stimulus_hopes                 weight: 24.751
#43  american_free                  weight: 24.445
#44  optimism                       weight: 24.399
#45  aluminum_imports               weight: 24.212
#46  competitive_devaluations       weight: 24.147
#47  exports_unexpectedly           weight: 24.115
#48  vice_premier                   weight: 23.962
#49  bayer's_bln                    weight: 23.766
#50  additional_tariffs             weight: 23.725
#51  commerce_secretary             weight: 23.657
#52  china's_commerce               weight: 23.640
#53  fears                          weight: 23.518
#54  protectionist_policies         weight: 22.949
#55  japan                          weight: 22.532
#56  hard_landing                   weight: 22.502
#57  spat                           weight: 22.360
#58  trade_negotiator               weight: 22.036
#59  asia                           weight: 21.849
#60  trade_deficits                 weight: 21.765
#61  chinese_counterpart            weight: 21.695
#62  trade_barriers                 weight: 21.685
#63  imported_steel                 weight: 21.531
#64  overheating                    weight: 21.386
#65  japanese_officials             weight: 21.305
#66  aluminium_imports              weight: 21.297
#67  protectionist_measures         weight: 21.192
#68  asian_economies                weight: 21.003
#69  trade_imbalances               weight: 20.975
#70  export_curbs                   weight: 20.951
#71  port_lockout                   weight: 20.864
#72  fight_back                     weight: 20.854
#73  aluminum_tariffs               weight: 20.703
#74  chunying                       weight: 20.681
#75  slowing_growth                 weight: 20.664
#76  cautious_mood                  weight: 20.428
#77  farm_products                  weight: 20.370
#78  trade_spats                    weight: 20.341
#79  slowing                        weight: 20.325
#80  factories_activity             weight: 20.321
#81  frictions                      weight: 20.229
#82  bitter_trade                   weight: 20.199
#83  liu_he                         weight: 20.087
#84  imposed_tariffs                weight: 20.046
#85  export_competitiveness         weight: 19.925
#86  imposing_tariffs               weight: 19.672
#87  import_levies                  weight: 19.658
#88  worry                          weight: 19.570
#89  slapped_tariffs                weight: 19.402
#90  internet_platforms             weight: 19.375
#91  friction                       weight: 19.372
#92  asia's_economic                weight: 19.279
#93  asia's_financial               weight: 19.179
#94  dollar's_recent                weight: 19.159
#95  retaliatory_measures           weight: 19.153
#96  save_fairy                     weight: 19.115
#97  de_escalate                    weight: 19.104
#98  currency_devaluations          weight: 19.088
#99  inflation_fears                weight: 18.962
#100 asked_him                      weight: 18.952
#101 subbaraman                     weight: 18.917
#102 geopolitical_risks             weight: 18.909
#103 yen's_fall                     weight: 18.892
#104 roiled                         weight: 18.881
#105 export_reliant                 weight: 18.852
#106 fragile_economic               weight: 18.835
#107 adviser_peter                  weight: 18.785
#108 detente                        weight: 18.751
#109 rebalancing                    weight: 18.654
#110 punitive_tariffs               weight: 18.501
#111 dollar's_strength              weight: 18.494
#112 we_spoke                       weight: 18.447
#113 growth_slowed                  weight: 18.426
#114 staple_differentials           weight: 18.412
#115 currency_crisis                weight: 18.273
#116 yen's_slide                    weight: 18.268
#117 developed_economies            weight: 18.225
#118 impose_duties                  weight: 18.184
#119 pessimism                      weight: 18.092
#120 wang_shouwen                   weight: 17.925
#121 retaliatory_duties             weight: 17.889
#122 haefele                        weight: 17.833
#123 tariffs_imposed                weight: 17.832
#124 their_differences              weight: 17.545
#125 sharp_slowdown                 weight: 17.497
#126 philippines_taiwan             weight: 17.395
#127 both_countries                 weight: 17.209
#128 dampen                         weight: 17.154
#129 takada                         weight: 17.061
#130 mutually_beneficial            weight: 17.006
#131 ustr_kirk                      weight: 16.998
#132 japanese_economy               weight: 16.988
#133 simmering                      weight: 16.966
#134 decouple                       weight: 16.812
#135 mof's_mizoguchi                weight: 16.799
#136 retaliate_against              weight: 16.798
#137 slapped_tit                    weight: 16.733
#138 jittery                        weight: 16.711
#139 spooner                        weight: 16.681
#140 escalating_sino                weight: 16.617
#141 shut_chengdu                   weight: 16.609
#142 fishmeal                       weight: 16.513
#143 regional_currencies            weight: 16.392
#144 caixin_markit                  weight: 16.380
#145 tighter_monetary               weight: 16.355
