,weight
security_council,52.269832824757174
sanctions_against,43.35984024498393
sanctions,41.822166334501624
arms_embargo,41.37045117002082
nuclear_weapons,40.01532496221332
draft_resolution,39.70044048209919
asset_freezes,35.69644683548543
sanctions_imposed,34.876236592911496
sanctions_relief,34.14930856720975
arms_inspectors,33.881343714086
impose_sanctions,33.86485980425264
nuclear_tests,33.3814645695612
civilian_goods,33.15844310378924
weapons_inspectors,33.04838333368416
sensitive_nuclear,33.04106786514187
embargo,32.965695982044366
punitive_measures,32.80955174244206
arms_sales,32.584387577226636
resolution,32.43106276523946
nuclear_arms,32.27457100772664
iaea_board,32.002243217017636
resolutions,31.90485842649346
united_nations,31.712034374939513
dual_use,31.54897450377661
diplomats,31.542303190993202
iran_libya,31.47445690481373
permanent_members,31.203667257424566
state_sponsors,31.037986721681314
nuclear_activities,30.81649466131328
unilateral_sanctions,30.741373811911558
nuclear_weapon,30.585747056750233
sanctions_resolution,30.585588893809035
security_council's,30.41983605057614
foreign_ministers,30.312840444014082
imposed_sanctions,30.132719976266642
tougher_sanctions,29.91423707213977
military_action,29.901196133397058
economic_sanctions,29.417983779483162
britain_france,29.05874044482037
non_proliferation,29.058603966596728
major_powers,29.043395842583944
western_powers,29.02138916865064
lift_sanctions,28.754536904762045
tehran's,28.602487326532682
missile_programs,28.52454999244149
nuclear_ambitions,28.433980661961147
disputed_nuclear,28.381477269227688
smart_sanctions,28.089231261625862
veto_wielding,28.01664013182731
sanctions_regime,27.999031336210567
council_members,27.882839276218515
international_community,27.333971046535808
lifting_sanctions,27.324358355653693
helms_burton,27.029551083944913
atomic_weapons,27.020401205943237
develop_nuclear,26.93542543482325
disarmament,26.8491684392349
european_union,26.656008219247365
imposing_sanctions,26.632341411186264
council_resolution,26.600932156310193
islamic_republic,26.57303798482025
embargoes,26.528843564285268
targeted_sanctions,26.383099712015586
weapons_inspections,26.32868505166017
nuclear_pact,26.275619007963616
veto,26.26062933982514
possible_sanctions,26.044320090581618
envoys,25.977683853879025
diplomatic_ties,25.93135222628766
council_resolutions,25.906600333576716
western_diplomats,25.670919539782684
travel_bans,25.591202614729426
sanctions_targeting,25.52107698921943
drafted_resolution,25.495533980161188
missile_programme,25.475229852245292
five_permanent,25.409439300146406
