,weight
trade_war,63.44349686418003
trade_tensions,55.58150706588597
sanctions,52.87753819766919
wto,51.722765468151856
tariffs,50.24855507987183
sanctions_against,48.216909345361564
treaty,46.233073008549965
protectionism,44.12546404926119
tpp,43.87349621796724
arms_embargo,43.174646314722324
tariff,43.14529408356696
embargo,42.840771011467915
impose_sanctions,42.7923462398087
nuclear_programme,42.545920981296405
bilateral,41.73348315958797
trade_representative,41.48854141005945
china,40.95000552753903
nuclear_program,40.90812999524012
countries,40.898213309707465
nations,40.58027340294392
draft_resolution,40.31274466365249
trade_dispute,39.95341038204982
diplomats,39.91358515799759
european_union,39.573465489374485
impose_tariffs,39.3525092603408
veto,39.33841801037712
trade_organization,38.91932768369613
protectionist,38.84614502279715
impose,38.537990288323186
sanctions_imposed,38.39538744469312
relations,38.067215415313505
pact,37.07612209860418
allies,36.96011953643634
trade_barriers,35.87954415423332
escalating_trade,35.68027816747673
commerce_secretary,35.398510535509914
sensitive_nuclear,35.26334887726728
accord,34.91809536628733
imposed_sanctions,34.11349916480665
punitive_measures,34.00436112356449
negotiate,33.99630814264948
wto_rules,33.86697805663264
powers,33.18397933396141
united_states,33.1492587023891
economic_sanctions,33.11566526618931
trade_wars,33.02372736095331
unilateral,32.9732659652005
trade_spat,32.90669457008383
western_powers,32.703437935133735
unilateral_sanctions,32.571601859837294
retaliate,32.56807357156903
tougher_sanctions,32.49742773702815
retaliation,32.22088452215177
travel_bans,31.889704473217694
compromise,31.82017112597011
imposing_sanctions,31.242501920531584
lift_sanctions,31.079977457507006
embargoes,30.990818828021432
negotiating,30.954401626356404
trade_frictions,30.872755215114985
major_powers,30.74701106710738
disputed_nuclear,30.587136826419332
trade,30.585218366184627
treaties,30.337352336062175
security_council's,29.841307320284795
trade_disputes,29.75528081188851
sanction,29.596074313103827
principle,29.425792969936985
imposing,29.24649780114448
made_clear,29.179984607054273
lifting_sanctions,28.78247059872614
sanctions_resolution,28.262913596542283
sanctions_regime,27.900517574390413
unilaterally,27.53769782360785
targeted_sanctions,27.438452469941947
trade_conflict,27.408376817096457
accords,27.39243392216772
protectionist_measures,26.379513280369114
punitive_tariffs,25.92940573027228
retaliate_against,25.929367386481655
friction,25.22230748516957
targeting_iran's,24.985923766554517
punitive,24.106779892472638
blacklisting,24.075367787123735
slowing_growth,24.063316680822748
retaliatory_measures,23.568487622005584
protectionist_policies,23.251464023803504
sanctions_resolutions,23.231674496387836
frictions,23.068478226059238
sanctioning,23.004715584326252
reimpose,22.781139659232686
insist,22.663157545282417
penalise,21.975493969117228
pressing,21.791751176923803
strongly_opposed,21.674509123710262
unilateral_action,21.27451046219416
embargo_against,20.33669675222407
treaty's,18.714173093188194
punitive_steps,13.110915166176136
heavily_sanctioned,11.87199509633545
