,weight
embargo,50.20148655859016
sanctions_against,40.136085961254174
sanctions_imposed,38.40658960389954
trade_embargo,34.852499502000704
embargoes,34.09194018576494
economic_sanctions,30.37729162130955
sanctions_relief,29.2937649912919
oil_embargo,29.265689952080493
smart_sanctions,29.099671292187512
iranian_oil,28.959346516048523
unilateral_sanctions,28.9295563570405
western_sanctions,28.68302418683177
iraqi_oil,28.307743170475828
invaded_kuwait,27.91856017244933
embargo_against,27.28679648737155
sanctions_regime,24.904197311963845
lift_sanctions,24.816169409656858
punitive_measures,24.76356304789871
reimposed,23.875850592473345
imposing_sanctions,23.799521226298783
security_council's,23.778508935036783
communist_ruled,23.596760033572707
economic_embargo,23.050903091681416
tougher_sanctions,22.65776184803115
cuban_americans,22.359887187499456
communist_run,22.274561945312342
sponsoring_terrorism,20.960069724354756
reimpose,20.880967308396976
targeting_iran's,20.77321192129431
biden's_administration,20.35485390197355
detente,19.88412893604775
reimposing,19.019986655170122
dangerous_weapons,18.475592714382426
iraq's_invasion,18.47403670911287
waive_sanctions,18.40922204666668
unilateral_embargoes,18.28920477393103
ros_lehtinen,18.255922582530253
property_confiscated,18.243351198306467
conventional_arms,17.99184315319163
obama's_administration,17.607380103047326
estrangement,17.47722294192046
syria_accountability,17.47421231918151
crippling_sanctions,17.408051958781275
ease_sanctions,17.06956729617169
accused_syria,16.983124032614942
improve_relations,16.94356760881018
liberalizing,16.833717772210242
magnitsky_bill,16.78854626353693
cuban_president,16.191947119138575
decades_old,16.065498223480663
medicine_sales,15.648914751955076
punish_foreign,15.538667294960876
troop_reversal,15.020463627460062
embargos,14.992894564978162
western_nations,14.914690301704704
toughened,14.724031256997215
vetoing,14.644445028485736
president_fidel,14.624489713694096
embargo_imposed,14.612445099792545
magnitsky's_death,14.343133883484331
ban_imposed,13.814023112817045
separating_children,13.471540641706877
british_proposal,13.422292128347618
enemy_act,13.391404991487853
coddling,13.151602908741554
strongly_opposes,12.876461958360272
teheran,12.617327563939156
energy_sectors,12.529367119178923
ending_visa,12.377915617968112
punishing_trade,12.363514733191366
attack_blasts,12.244100802831257
cuba_libya,12.021674923588376
diplomat_passport,11.740631573002313
holders_visiting,11.709911100977342
persecutes,11.693544733975113
reinstitute,11.529084245760812
reconvene_pass,11.52577850540497
deteriorating_infrastructure,11.497403945874849
fishing_ban,11.347505709040476
communist_island,11.29895517636194
truth_commission,10.751681737485207
allow_brazilian,10.612793743641442
accountability_act,10.368610195718265
massive_polish,10.181012676131514
pact_signed,10.074578494827316
agriculture_funding,9.95129835675164
oppose_loans,9.93740504129579
imposing_visa,9.818244170717449
diplomatic_sanctions,9.650203461910996
kerry_condemns,9.535719715917173
iran_violates,8.93115639865674
george_nethercutt,8.5505564228325
libya_handed,8.415991906246749
mcauliff,7.917663787633077
nondemocratic,7.782192909053335
mostly_symbolic,7.769722588194702
presses_religious,7.218827058471
normalizing_relations,6.589439343803069
santions,6.556741268483418
eye_saudis,4.538230837053227
