,weight
imf_gold,45.19152888885183
imf,37.60560192321424
imf's,32.023879906315635
poor_countries,31.557246033984573
paris_club,31.25121133964109
poor_nations,27.970952266247807
aid_package,25.592608995964547
world's_poorest,25.418690227507224
rich_nations,25.328284886945333
koch_weser,25.18299552967908
sdrs,25.031350363898074
fight_aids,24.854210976815722
hipc,24.36808977742582
camdessus,24.02054946224885
georgieva,23.628428543867706
imf_reforms,23.62283319944576
imf_reform,23.509492390321242
industrial_nations,23.14711558782586
poorer_countries,22.605710514141293
wealthy_nations,22.569040052492785
food_security,22.527299733855145
poorest_countries,22.460413353457664
siluanov,22.320394979682767
brics_nations,21.82519677678464
concessional,21.721741575679257
future_bailouts,21.70365239841658
currency_board,21.607985190610563
imf_resources,21.533696216991462
seven_industrial,21.135707133695107
wolfensohn,20.991023623292225
hedge_book,20.619567913256027
seven_rich,20.556293247490785
concerted_intervention,20.486568854909873
esaf,20.126617100097352
david_malpass,19.95693902955914
treasury_undersecretary,19.65056835338395
dssi,19.27853156952593
monetary_fund,19.03175269345337
ashanti,18.867580820906177
industrial_powers,18.71692820615476
lending_agencies,18.63380979535483
sdr_allocation,18.214186640319166
donor_conference,18.150952994325298
fund_doubling,17.8208035454549
imf_managing,17.617886533659014
debt_forgiveness,17.45102757058974
multilateral_lenders,17.026369089283985
donor_countries,16.978654563654988
iraq's_reconstruction,16.974258539775107
iraq's_debts,16.93306045528164
storchak,16.37773049360383
official_bilateral,16.30854807023909
industrial_democracies,15.799622094514833
comex_april,15.64217414314709
adjustment_facility,15.43422166000631
ashanti's,15.114864622466214
london_fix,15.06623602752961
paymaster_germany,14.84083006264132
verbal_support,14.331339027830493
secondary_sanctions,13.804398397219607
president_paul,13.713425523841384
sara_marani,13.403718648781496
german_deputy,12.727486761818444
combat_aids,12.701859631039854
region's_economies,12.398596900876788
lonmin_plc,12.303176821999969
progressive_taxation,12.256822113036062
suspension_initiative,12.23892150938357
romilly,12.18905283862745
imf's_gold,11.89646988259485
global_lender,11.778515961016312
quota_reform,11.541671762162329
chikane,11.408934497474382
well_owing,11.023005193300675
gold_looted,10.883893109768682
opposes_imf,10.870518643554597
iraq_owes,10.654755762219546
standby_facility,10.614262346010701
randgold's,10.571982136367234
wednesday's_announcement,10.395067264706686
schuerch,10.391797134691872
wroughton_washington,10.146256054409307
bono_leaders,10.12537437200407
gretschmann,9.79465512193629
expand_tier,9.693038161619004
africa_compassion,9.619888069334365
lyon_summit,9.206124188306863
foxcroft,9.110663347431043
ban_websites,8.79484841126425
industralised,8.574094143009834
cool_overheated,8.223020104301009
iva's_de,8.198268909212288
outreach_dinner,7.594363726452694
utah_gov,7.218305160341155
any_contradiction,7.1467464367307905
asset_freeze,6.3334580314137074
manager_dalio,5.194925164342538
un_presses,5.078359133647985
commitments_mins,4.875929010268158
summit_fink,4.739308910257566
