,weight
retaliation,46.00834728996249
retaliate,44.59185256770081
retaliatory,38.839486315859
impose,35.938495039116276
impose_tariffs,35.20118118458326
escalation,35.03173045771978
duties,33.638436508860366
retaliatory_tariffs,33.1846548524769
countermeasures,33.07778849961039
defend_itself,30.983658899994595
retaliate_against,30.883008196180917
threatened,30.518686855328752
impose_sanctions,29.247928228256566
protectionist,29.195169035316326
aggression,28.791310992877424
unilateral,28.724185451175146
tensions_between,28.33831396059721
slap_tariffs,28.04273455448228
imposing,27.841284760612506
slap,27.74945746611498
import_tariffs,27.66304633458791
provocation,27.205362577040415
confrontation,27.201431799840027
escalate,26.9873036525668
defend,26.889696023117985
punitive,26.283284997994045
threats,26.07948581216405
blackmail,26.029774252492214
retaliatory_measures,26.00345075270583
threat,25.962702586405033
retaliated,25.060493020597196
walk_away,24.994902903457625
counter_measures,24.561563039804717
serious_consequences,24.48764464817583
lamb_imports,24.39477989385828
unilaterally,24.361994655567816
punish,24.14276827420479
into_effect,23.951177302377918
imposition,23.907440624018072
slapped,23.606536103155143
punitive_tariffs,23.60406654805306
ruled_out,23.46484739766053
threatening,23.413534886377377
invade,23.299173660761777
made_clear,23.27513265105119
provoke,23.148401628010078
extra_duty,22.989877332547128
de_escalate,22.87654553755191
pre_emptive,22.744612076286682
flax_yarn,22.509742490473265
defend_ourselves,22.467226002901015
aluminium_imports,22.205181313769504
escalating,22.173594632757705
protectionist_measures,22.11938746422577
inflict,22.002743604211254
sanction,21.89907448930819
punitive_measures,21.775222763262857
unjustified,21.73514834902082
pretext,21.62814426865084
imposing_sanctions,21.234820699663125
not_tolerate,20.843887424922087
clothing_imports,20.80560501916733
unprovoked,20.797672199019463
take_unspecified,20.669925701607152
impose_reciprocal,20.56069988486168
unilateral_action,20.53629150338104
reprisals,20.430949281393108
escalated,20.07204630447197
tolerate,20.04466426102113
retaliating,19.809967036401225
concede,19.66557757115036
impose_duties,19.551161549483624
deter,19.408148557472362
confrontation_between,19.39613041898604
import_levies,19.31824004520976
confrontations,19.138820753953762
counterproductive,19.12599685134622
doubted,18.84103770817545
inflame,18.833205586845967
bluffing,18.544454771735488
would_prefer,18.471999210289457
retaliates,18.381920223612205
do_so,18.32374307446749
slapping,18.26524574976886
took_effect,17.907359288974142
provoking,17.590285096578828
counter_productive,17.367462613546707
hesitate,17.357642106513985
salvo,17.205084473371418
send_message,16.39824768888377
reprisal,15.981027077902178
adamant,14.474328826176171
upsetting,14.132343346001939
trousers_shirts,14.066146463201278
restrict_imports,13.738519426521364
inconceivable,13.574743168879976
fuat_oktay,13.547088925133945
ratcheted_up,13.065731192493441
ratcheting,13.052047279918423
stock_whacked,9.649064260063064
