,weight
trade_war,62.69807770823685
trade_tensions,56.59452519251026
trade_dispute,47.08623263354952
tumble,44.748220836224434
stocks,43.879237530213004
worries,41.963854471369714
chinese_imports,40.80687724921406
tariffs,40.07157542939881
woes,39.84363727564357
upbeat,39.70672837383585
dips,39.46735001683899
slump,38.47483311014159
rebounds,38.324001283071965
escalating_trade,38.15648396462306
covid,37.73881639131997
stimulus,37.46947486918636
trade_spat,37.04581412851438
sino_trade,36.829982869962286
jitters,36.818158896577756
graphic,36.42519564513822
weigh,36.29495100757642
fears,35.76002852083887
tariff,35.282559721073795
hikes,35.16225442573078
biggest_economies,34.7991746039172
optimism,34.55301426663971
plunge,34.26132089376302
surge,34.202550329418
dip,33.36998318434471
commerce_ministry,33.36192861612768
trade_conflict,33.33749305503166
trade_frictions,32.893314960980575
trade_wars,32.65909494639257
trading_partners,32.26845060446571
china,32.09060922082206
rebound,31.917209827212332
gloom,31.123974150198094
bets,30.879623179531446
slowdown,30.343085587828543
top_news,30.294142330338925
trade_disputes,30.27486410787304
impose_tariffs,30.119415992851287
domestic_demand,29.97388999200784
amid,29.96814705377429
drag,29.89235917810003
reciprocal_tariffs,29.704155076752546
chinese_goods,29.69586535486943
tariff_threats,29.198187544888658
weak,28.942058999268053
retaliatory_tariffs,28.81711472556781
ease,28.031453323053128
climb,27.965836541286862
cautious,27.744107837641952
muted,27.72462807429036
slowing,27.719334306362093
trade_friction,27.696990455272076
slap_tariffs,27.553367184595853
caution,27.54676733441858
worry,27.405006919176582
downbeat,27.349891768817308
wary,27.30864743040629
gloomy,27.205229617727664
tariff_hike,27.053688269362112
subdued,27.039333218499046
trade_truce,26.807369273856445
investor_sentiment,26.187933204190234
sino,26.0724007886105
edge,25.975983286082904
drop,25.669588811350437
lift,25.620354599676247
fallout,25.43205805388221
hit,25.391344073449048
tepid,25.021648122394684
retreat,24.25833056153396
china's_commerce,24.116247048145624
sino_tensions,24.067080660994506
protectionist_policies,23.03830509765853
slowing_growth,22.303462207759832
buoyant,22.132773016111685
imported_steel,21.822641515230785
protectionist_measures,21.68694299504968
dented,21.596702608843625
bitter_trade,21.416770451815104
chinese_counterpart,21.211969282896618
dampen,21.15678424188096
dampened,20.863543174033367
dent,20.76674947983943
imposing_tariffs,20.26841037869566
imposed_tariffs,20.1129988946963
dampening,19.833124520361405
slapped_tariffs,19.790586037492467
import_levies,19.60942873788322
retaliatory_duties,19.30520084023017
falter,17.855695841463945
faltering,17.597423146208975
denting,16.74237913844652
slapped_tit,16.46177223321466
unsettled,15.921734845568311
receding,15.33944176772156
ratcheting,14.110574794268112
