month,n_articles,n_gep_articles,GEP_monthly
1996-01,14660,102,0.006957708049113233
1996-02,16482,166,0.010071593253245966
1996-03,15809,218,0.013789613511291036
1996-04,13907,254,0.018264183504709857
1996-05,15659,380,0.024267194584583946
1996-06,12057,254,0.02106660031516961
1996-07,16485,215,0.013042159538974826
1996-08,14237,236,0.01657652595350144
1996-09,15713,291,0.01851969706612359
1996-10,18520,155,0.008369330453563716
1996-11,15809,182,0.011512429628692518
1996-12,15778,170,0.01077449613385727
1997-01,16632,175,0.010521885521885523
1997-02,18372,195,0.010613977792292619
1997-03,18284,197,0.010774447604462918
1997-04,20961,236,0.0112590048184724
1997-05,20370,180,0.008836524300441826
1997-06,20615,173,0.008391947610962892
1997-07,22935,162,0.007063440156965337
1997-08,22577,169,0.0074854940869026
1997-09,24069,265,0.011010012879637708
1997-10,32481,463,0.01425448723869339
1997-11,28355,702,0.024757538353024158
1997-12,26369,377,0.014297091281428951
1998-01,24140,437,0.018102734051367024
1998-02,19484,567,0.029100800656949293
1998-03,40680,576,0.01415929203539823
1998-04,40186,453,0.01127258249141492
1998-05,39917,1022,0.02560312648746148
1998-06,39008,828,0.02122641509433962
1998-07,36389,420,0.011541949490230564
1998-08,37034,450,0.0121509963817033
1998-09,35477,555,0.015643938326239535
1998-10,41680,544,0.013051823416506719
1998-11,36190,904,0.02497927604310583
1998-12,31343,757,0.0241521232811154
1999-01,34461,654,0.018977975102289546
1999-02,35806,423,0.011813662514662347
1999-03,40475,581,0.014354539839407042
1999-04,39468,642,0.016266342353298876
1999-05,34229,534,0.015600806333810512
1999-06,34862,407,0.011674602719293213
1999-07,34521,297,0.008603458764230468
1999-08,28965,222,0.007664422578974625
1999-09,28577,446,0.015606956643454526
1999-10,30621,319,0.010417687208125142
1999-11,29044,396,0.01363448560804297
1999-12,25322,430,0.01698128109943922
2000-01,28752,277,0.009634112409571509
2000-02,30404,394,0.012958821207735824
2000-03,27873,425,0.015247730778889966
2000-04,25521,321,0.012577877042435641
2000-05,27406,465,0.01696708749908779
2000-06,26490,375,0.014156285390713477
