date,n_articles,n_gep_articles,GEP_daily
1996-01-01,30,0,0.0
1996-01-02,374,11,0.029411764705882353
1996-01-03,497,7,0.014084507042253521
1996-01-04,562,10,0.017793594306049824
1996-01-05,530,8,0.01509433962264151
1996-01-06,43,0,0.0
1996-01-07,60,1,0.016666666666666666
1996-01-08,513,8,0.015594541910331383
1996-01-09,609,3,0.0049261083743842365
1996-01-10,578,17,0.029411764705882353
1996-01-11,628,12,0.01910828025477707
1996-01-12,455,8,0.017582417582417582
1996-01-13,63,1,0.015873015873015872
1996-01-14,48,2,0.041666666666666664
1996-01-15,379,5,0.013192612137203167
1996-01-16,822,22,0.0267639902676399
1996-01-17,889,11,0.012373453318335208
1996-01-18,826,21,0.025423728813559324
1996-01-19,588,9,0.015306122448979591
1996-01-20,170,6,0.03529411764705882
1996-01-21,84,5,0.05952380952380952
1996-01-22,611,15,0.024549918166939442
1996-01-23,775,12,0.015483870967741935
1996-01-24,792,21,0.026515151515151516
1996-01-25,976,16,0.01639344262295082
1996-01-26,501,7,0.013972055888223553
1996-01-27,52,4,0.07692307692307693
1996-01-28,63,6,0.09523809523809523
1996-01-29,514,10,0.019455252918287938
1996-01-30,739,8,0.010825439783491205
1996-01-31,889,13,0.014623172103487065
1996-02-01,936,27,0.028846153846153848
1996-02-02,718,13,0.018105849582172703
1996-02-03,12,0,0.0
1996-02-04,45,4,0.08888888888888889
1996-02-05,573,26,0.04537521815008726
1996-02-06,851,21,0.024676850763807285
1996-02-07,949,29,0.030558482613277135
1996-02-08,1139,31,0.027216856892010536
1996-02-09,747,20,0.02677376171352075
1996-02-10,32,5,0.15625
1996-02-11,53,5,0.09433962264150944
1996-02-12,666,9,0.013513513513513514
1996-02-13,995,12,0.012060301507537688
1996-02-14,867,19,0.02191464821222607
1996-02-15,1213,20,0.016488046166529265
1996-02-16,745,9,0.012080536912751677
1996-02-17,42,3,0.07142857142857142
1996-02-18,60,14,0.23333333333333334
1996-02-19,211,14,0.06635071090047394
1996-02-20,611,11,0.01800327332242226
1996-02-21,768,28,0.036458333333333336
1996-02-22,594,28,0.04713804713804714
1996-02-23,690,6,0.008695652173913044
1996-02-24,21,1,0.047619047619047616
1996-02-25,42,1,0.023809523809523808
1996-02-26,567,20,0.03527336860670194
1996-02-27,809,27,0.03337453646477132
1996-02-28,793,23,0.029003783102143757
1996-02-29,733,18,0.02455661664392906
1996-03-01,493,12,0.02434077079107505
1996-03-02,31,2,0.06451612903225806
1996-03-03,32,3,0.09375
1996-03-04,593,13,0.021922428330522766
1996-03-05,643,10,0.015552099533437015
1996-03-06,688,14,0.020348837209302327
1996-03-07,806,20,0.02481389578163772
1996-03-08,567,25,0.04409171075837742
1996-03-09,54,6,0.1111111111111111
1996-03-10,77,6,0.07792207792207792
1996-03-11,641,31,0.0483619344773791
1996-03-12,880,28,0.031818181818181815
1996-03-13,1011,35,0.03461918892185954
1996-03-14,889,32,0.0359955005624297
1996-03-15,664,12,0.018072289156626505
1996-03-16,48,5,0.10416666666666667
1996-03-17,70,5,0.07142857142857142
1996-03-18,705,9,0.01276595744680851
1996-03-19,824,27,0.032766990291262135
1996-03-20,784,18,0.02295918367346939
1996-03-21,766,16,0.020887728459530026
1996-03-22,689,25,0.036284470246734396
1996-03-23,43,7,0.16279069767441862
1996-03-24,48,9,0.1875
1996-03-25,537,7,0.01303538175046555
1996-03-26,772,23,0.029792746113989636
1996-03-27,844,23,0.027251184834123223
1996-03-28,804,20,0.024875621890547265
1996-03-29,713,5,0.0070126227208976155
1996-03-30,40,4,0.1
1996-03-31,53,4,0.07547169811320754
1996-04-01,691,6,0.008683068017366137
1996-04-02,712,15,0.021067415730337078
1996-04-03,598,21,0.03511705685618729
1996-04-04,619,10,0.01615508885298869
1996-04-05,121,3,0.024793388429752067
1996-04-06,0,0,0.024793388429752067
1996-04-07,0,0,0.024793388429752067
1996-04-08,0,0,0.024793388429752067
1996-04-09,0,0,0.024793388429752067
1996-04-10,0,0,0.024793388429752067
1996-04-11,760,44,0.05789473684210526
1996-04-12,682,15,0.021994134897360705
1996-04-13,33,1,0.030303030303030304
1996-04-14,47,2,0.0425531914893617
1996-04-15,732,9,0.012295081967213115
1996-04-16,911,24,0.026344676180021953
1996-04-17,991,26,0.026236125126135216
1996-04-18,963,33,0.03426791277258567
1996-04-19,615,29,0.04715447154471545
1996-04-20,119,12,0.10084033613445378
1996-04-21,129,12,0.09302325581395349
1996-04-22,755,29,0.038410596026490065
1996-04-23,984,34,0.034552845528455285
1996-04-24,916,18,0.019650655021834062
1996-04-25,901,19,0.021087680355160933
1996-04-26,619,24,0.03877221324717286
1996-04-27,34,5,0.14705882352941177
1996-04-28,39,3,0.07692307692307693
1996-04-29,57,1,0.017543859649122806
1996-04-30,879,23,0.026166097838452786
1996-05-01,609,7,0.011494252873563218
1996-05-02,784,16,0.02040816326530612
1996-05-03,568,20,0.035211267605633804
1996-05-04,19,1,0.05263157894736842
1996-05-05,41,3,0.07317073170731707
1996-05-06,516,12,0.023255813953488372
1996-05-07,901,37,0.041065482796892344
1996-05-08,824,32,0.038834951456310676
1996-05-09,892,38,0.042600896860986545
1996-05-10,703,36,0.051209103840682786
1996-05-11,40,7,0.175
1996-05-12,75,11,0.14666666666666667
1996-05-13,814,20,0.02457002457002457
1996-05-14,780,32,0.041025641025641026
1996-05-15,693,53,0.07647907647907648
1996-05-16,678,46,0.06784660766961652
1996-05-17,560,30,0.05357142857142857
1996-05-18,27,1,0.037037037037037035
1996-05-19,59,11,0.1864406779661017
1996-05-20,660,25,0.03787878787878788
1996-05-21,681,36,0.05286343612334802
1996-05-22,759,34,0.04479578392621871
1996-05-23,778,39,0.05012853470437018
1996-05-24,515,21,0.040776699029126215
1996-05-25,30,2,0.06666666666666667
1996-05-26,56,3,0.05357142857142857
1996-05-27,87,6,0.06896551724137931
1996-05-28,436,8,0.01834862385321101
1996-05-29,707,11,0.015558698727015558
1996-05-30,751,17,0.022636484687083888
1996-05-31,616,12,0.01948051948051948
1996-06-01,43,4,0.09302325581395349
1996-06-02,72,11,0.1527777777777778
1996-06-03,725,16,0.022068965517241378
1996-06-04,807,19,0.023543990086741014
1996-06-05,678,13,0.019174041297935103
1996-06-06,763,15,0.019659239842726082
1996-06-07,509,7,0.0137524557956778
1996-06-08,21,0,0.0
1996-06-09,66,3,0.045454545454545456
1996-06-10,584,6,0.010273972602739725
1996-06-11,1,0,0.0
1996-06-12,803,21,0.026151930261519303
1996-06-13,784,39,0.04974489795918367
1996-06-14,692,27,0.03901734104046243
1996-06-15,7,0,0.0
1996-06-16,72,11,0.1527777777777778
1996-06-17,625,44,0.0704
1996-06-18,632,20,0.03164556962025317
1996-06-19,649,13,0.020030816640986132
1996-06-20,732,25,0.03415300546448088
1996-06-21,548,11,0.020072992700729927
1996-06-22,32,13,0.40625
1996-06-23,34,3,0.08823529411764706
1996-06-24,551,15,0.02722323049001815
1996-06-25,0,0,0.02722323049001815
1996-06-26,0,0,0.02722323049001815
1996-06-27,848,28,0.0330188679245283
1996-06-28,779,50,0.06418485237483953
1996-06-29,0,0,0.06418485237483953
1996-06-30,0,0,0.06418485237483953
1996-07-01,591,10,0.01692047377326565
1996-07-02,622,19,0.03054662379421222
1996-07-03,579,74,0.12780656303972365
1996-07-04,194,9,0.04639175257731959
1996-07-05,403,23,0.05707196029776675
1996-07-06,28,4,0.14285714285714285
1996-07-07,48,6,0.125
1996-07-08,511,14,0.0273972602739726
1996-07-09,713,13,0.0182328190743338
1996-07-10,741,29,0.03913630229419703
1996-07-11,840,36,0.04285714285714286
1996-07-12,624,21,0.03365384615384615
1996-07-13,28,1,0.03571428571428571
1996-07-14,51,3,0.058823529411764705
1996-07-15,803,25,0.031133250311332503
1996-07-16,1025,34,0.033170731707317075
1996-07-17,892,26,0.02914798206278027
1996-07-18,964,23,0.023858921161825725
1996-07-19,703,14,0.01991465149359886
1996-07-20,0,0,0.01991465149359886
1996-07-21,38,4,0.10526315789473684
1996-07-22,645,16,0.024806201550387597
1996-07-23,875,16,0.018285714285714287
1996-07-24,847,21,0.024793388429752067
1996-07-25,881,26,0.029511918274687854
1996-07-26,553,25,0.045207956600361664
1996-07-27,53,3,0.05660377358490566
1996-07-28,46,3,0.06521739130434782
1996-07-29,610,26,0.04262295081967213
1996-07-30,701,14,0.019971469329529243
1996-07-31,876,18,0.02054794520547945
