date,score_volume,n_articles,n_gep_articles,score
1996-01-01,0.005860247413480479,30,17,0.00019534158044934928
1996-01-02,0.1358550092092847,374,165,0.00036324868772536016
1996-01-03,0.280314536294192,497,155,0.0005640131514973682
1996-01-04,0.224312817158128,562,218,0.00039913312661588615
1996-01-05,0.20652535055521823,530,218,0.00038967047274569475
1996-01-06,0.014710751893552974,43,22,0.00034211050915239474
1996-01-07,0.02861515072604685,60,34,0.0004769191787674475
1996-01-08,0.16883334773224196,513,199,0.0003291098396339999
1996-01-09,0.3682478131829536,609,234,0.0006046762121230764
1996-01-10,0.23382701770024372,578,208,0.00040454501332222095
1996-01-11,0.251825289239286,628,214,0.00040099568350204773
1996-01-12,0.1106523479946251,455,165,0.00024319197361456066
1996-01-13,0.016632972215248953,63,30,0.00026401543198807865
1996-01-14,0.007108281261916183,48,16,0.00014808919295658716
1996-01-15,0.13528764026553794,379,158,0.0003569594729961423
1996-01-16,0.49460936656063137,822,318,0.0006017145578596488
1996-01-17,0.5152407767662593,889,378,0.0005795734271836438
1996-01-18,0.36389326298992397,826,292,0.00044054874453985953
1996-01-19,0.2626390771531384,588,250,0.00044666509719921494
1996-01-20,0.07463305318456842,170,66,0.000439017959909226
1996-01-21,0.046353385404786965,84,53,0.0005518260167236543
1996-01-22,0.25248185139329515,611,247,0.00041322725268951743
1996-01-23,0.3747232263004677,775,303,0.00048351384038770027
1996-01-24,0.30288036522975537,792,305,0.0003824247035729234
1996-01-25,0.33484954098415115,976,374,0.0003430835460903188
1996-01-26,0.2283977317669955,501,202,0.00045588369614170756
1996-01-27,0.03837011611189952,52,31,0.00073788684830576
1996-01-28,0.05377809874643353,63,29,0.0008536206150227544
1996-01-29,0.14311026086704362,514,169,0.00027842463203704986
1996-01-30,0.4534786532371453,739,310,0.0006136382317146757
1996-01-31,0.4561814093876325,889,364,0.0005131399430682031
1996-02-01,0.2825683550533761,936,307,0.0003018892682194189
1996-02-02,0.2443990207097302,718,266,0.000340388608230822
1996-02-03,0.002840329296569649,12,5,0.00023669410804747076
1996-02-04,0.03583258163994234,45,30,0.0007962795919987186
1996-02-05,0.2690297817046465,573,228,0.00046951096283533416
1996-02-06,0.4756787651525327,851,287,0.0005589644713895802
1996-02-07,0.3736094474685106,949,336,0.0003936875105042261
1996-02-08,0.3734658126643296,1139,354,0.00032788921217237016
1996-02-09,0.29188962894411424,747,282,0.0003907491685998852
1996-02-10,0.018228274924922398,32,19,0.0005696335914038249
1996-02-11,0.028231550006853044,53,30,0.0005326707548462838
1996-02-12,0.2888316454015697,666,236,0.00043368114925160613
1996-02-13,0.44193520305407064,995,339,0.0004441559829689152
1996-02-14,0.31302260768226936,867,310,0.00036104106999108345
1996-02-15,0.4708641261456126,1213,433,0.0003881814725025661
1996-02-16,0.2896248221161375,745,288,0.00038875815049145974
1996-02-17,0.012125029836181972,42,22,0.00028869118657576123
1996-02-18,0.041209479947502965,60,47,0.0006868246657917161
1996-02-19,0.0744124460153293,211,97,0.0003526656209257313
1996-02-20,0.16753618523507832,611,203,0.0002741999758348254
1996-02-21,0.5119639446816373,768,314,0.0006666197196375486
1996-02-22,0.24653273253250574,594,244,0.0004150382702567437
1996-02-23,0.24887316951778995,690,294,0.00036068575292433325
1996-02-24,0.00854602429745018,21,13,0.0004069535379738181
1996-02-25,0.005229586609273036,42,11,0.00012451396688745325
1996-02-26,0.28027016332966287,567,220,0.0004943036390293878
1996-02-27,0.3941193549905575,809,321,0.000487168547577945
1996-02-28,0.33928673672601745,793,290,0.0004278521270189375
1996-02-29,0.26270082987623106,733,257,0.00035839130951736845
1996-03-01,0.1734615484666665,493,174,0.0003518489826910071
1996-03-02,0.025788861738717937,31,16,0.0008318987657650947
1996-03-03,0.009130833644596005,32,18,0.00028533855139362515
1996-03-04,0.19366536697161477,593,202,0.0003265857790415089
1996-03-05,0.3503295294079114,643,232,0.0005448359710853987
1996-03-06,0.2711376783464727,688,256,0.00039409546271289633
1996-03-07,0.40564935777122085,806,277,0.0005032870443811673
1996-03-08,0.24730937938070555,567,234,0.00043617174493951595
1996-03-09,0.032209689221825544,54,29,0.0005964757263301027
1996-03-10,0.039645718628091506,77,49,0.0005148794627024871
1996-03-11,0.3074123734921809,641,279,0.0004795824859472401
