date,score_volume,n_articles,n_gep_articles,score
1996-01-01,0.006958443944633444,30,16,0.0002319481314877815
1996-01-02,0.13870161258475672,374,165,0.00037085992669721047
1996-01-03,0.2844806301908671,497,159,0.0005723956341868553
1996-01-04,0.23151395306759837,562,219,0.0004119465357074704
1996-01-05,0.20990683720064995,530,219,0.00039605063622764143
1996-01-06,0.01865108980979403,43,24,0.0004337462746463728
1996-01-07,0.030816994645509334,60,34,0.0005136165774251556
1996-01-08,0.1797729953251032,513,202,0.0003504346887428913
1996-01-09,0.3745379609858864,609,236,0.0006150048620457905
1996-01-10,0.24474366914922588,578,218,0.0004234319535453735
1996-01-11,0.2633471528430412,628,233,0.00041934260006853697
1996-01-12,0.11835139529932043,455,170,0.0002601129567018031
1996-01-13,0.018729846290104497,63,30,0.00029729914746197617
1996-01-14,0.006670203152770907,48,16,0.0001389625656827272
1996-01-15,0.1424448716885586,379,158,0.00037584398862416517
1996-01-16,0.5363388772744793,822,325,0.0006524803859786852
1996-01-17,0.5368720196337403,889,382,0.0006039055338962208
1996-01-18,0.3755497481091256,826,302,0.00045466071199652013
1996-01-19,0.26289962441983195,588,249,0.00044710820479563254
1996-01-20,0.08952056842622312,170,70,0.0005265915789777831
1996-01-21,0.04789916006390557,84,55,0.0005702280959988758
1996-01-22,0.2416286782106857,611,248,0.0003954642851238719
1996-01-23,0.3724962035940295,775,300,0.00048064026270197357
1996-01-24,0.31800448948090204,792,310,0.000401520820051644
1996-01-25,0.3520803504856303,976,381,0.0003607380640221622
1996-01-26,0.2301088213132943,501,208,0.0004592990445375136
1996-01-27,0.04113207525166621,52,31,0.0007910014471474272
1996-01-28,0.054474605478055334,63,29,0.0008646762774294497
1996-01-29,0.14516854341859217,514,167,0.00028242907279881743
1996-01-30,0.4624280608565692,739,306,0.0006257483908749244
1996-01-31,0.48855817762783077,889,363,0.0005495592549244441
1996-02-01,0.30138006608417645,936,317,0.0003219872500899321
1996-02-02,0.2560332915057187,718,276,0.0003565923280023937
1996-02-03,0.002841927801659804,12,5,0.00023682731680498364
1996-02-04,0.03660675601242066,45,34,0.0008134834669426813
1996-02-05,0.2605718239345557,573,230,0.0004547501290306382
1996-02-06,0.5042660976676803,851,302,0.000592557106542515
1996-02-07,0.3684279131509401,949,349,0.0003882275164920338
1996-02-08,0.3682641064677267,1139,360,0.0003233223059418145
1996-02-09,0.3052857842621887,747,287,0.00040868244211805717
1996-02-10,0.022466575217991246,32,21,0.0007020804755622264
1996-02-11,0.027760980840510065,53,30,0.0005237920913303786
1996-02-12,0.29850535126455197,666,238,0.0004482062331299579
1996-02-13,0.47134902111507393,995,348,0.00047371760916087833
1996-02-14,0.3223727966137361,867,311,0.00037182560163060677
1996-02-15,0.48874121034819445,1213,437,0.00040291938198532104
1996-02-16,0.30199195991001,745,303,0.00040535833544967783
1996-02-17,0.014117735755464869,42,24,0.0003361365656063064
1996-02-18,0.05001623966775692,60,49,0.0008336039944626154
1996-02-19,0.07459013580494964,211,99,0.00035350775263009304
1996-02-20,0.18025321792008578,611,214,0.00029501344995104057
1996-02-21,0.511028401038933,768,313,0.0006654015638527773
1996-02-22,0.2602267823062974,594,248,0.00043809222610487783
1996-02-23,0.25698535494714203,690,304,0.0003724425434016551
1996-02-24,0.009410169720383641,21,14,0.0004481033200182686
1996-02-25,0.0051540066649646814,42,11,0.00012271444440392098
1996-02-26,0.2945004031027275,567,223,0.0005194010636732408
1996-02-27,0.40149634508093013,809,330,0.000496287200347256
1996-02-28,0.3421547698948512,793,293,0.00043146881449539876
1996-02-29,0.2616322403880382,733,253,0.00035693347938340817
1996-03-01,0.19027783331512071,493,178,0.00038595909394547814
1996-03-02,0.022181228977750298,31,15,0.0007155235154112999
1996-03-03,0.009842976019234995,32,18,0.0003075930006010936
1996-03-04,0.20240447554860932,593,207,0.00034132289299934116
1996-03-05,0.35502703693253695,643,238,0.0005521415815436033
1996-03-06,0.2768163290593714,688,262,0.00040234931549327244
1996-03-07,0.4127626281490363,806,282,0.0005121124418722535
1996-03-08,0.25126530222751203,567,237,0.0004431486811772699
1996-03-09,0.034570792011145275,54,28,0.0006401998520582458
1996-03-10,0.04134311636652643,77,52,0.000536923589175668
1996-03-11,0.3154685543696944,641,275,0.0004921506308419569
1996-03-12,0.5071903564634799,880,309,0.000576352677799409
1996-03-13,0.4844198626411885,1011,422,0.0004791492212079016
1996-03-14,0.36150005383239087,889,341,0.0004066367309700685
1996-03-15,0.2184284145605317,664,236,0.0003289584556634513
1996-03-16,0.03521838493528807,48,28,0.0007337163528185014
1996-03-17,0.06724638869928042,70,50,0.0009606626957040059
1996-03-18,0.1987753718074879,705,231,0.0002819508819964367
1996-03-19,0.49610984075824055,824,319,0.0006020750494638841
1996-03-20,0.2922074611035552,784,261,0.00037271359834637147
1996-03-21,0.3051879743389074,766,279,0.00039841772106906966
1996-03-22,0.3467345946134383,689,302,0.0005032432432705926
1996-03-23,0.03402300202639124,43,35,0.0007912326052649125
1996-03-24,0.058117010424797416,48,40,0.0012107710505166128
1996-03-25,0.2632191025903687,537,208,0.0004901659266114873
1996-03-26,0.3543578344251813,772,282,0.0004590127388927219
1996-03-27,0.3377983128264565,844,318,0.0004002349678038584
1996-03-28,0.2724922362653721,804,293,0.0003389206918723534
1996-03-29,0.2571530722313562,713,240,0.0003606634954156468
1996-03-30,0.024109301264839195,40,19,0.0006027325316209799
1996-03-31,0.025911277367771005,53,26,0.0004888920258070001
1996-04-01,0.2558303749011062,691,273,0.00037023209102909725
1996-04-02,0.431226072711737,712,267,0.0006056545965052486
1996-04-03,0.23358778477817213,598,233,0.00039061502471266244
1996-04-04,0.29185822890532015,619,252,0.00047149956204413596
1996-04-05,0.02584926324731046,121,35,0.00021363027477116085
1996-04-06,0.0,0,0,0.00021363027477116085
1996-04-07,0.0,0,0,0.00021363027477116085
1996-04-08,0.0,0,0,0.00021363027477116085
1996-04-09,0.0,0,0,0.00021363027477116085
1996-04-10,0.0,0,0,0.00021363027477116085
1996-04-11,0.41626614443560384,760,317,0.0005477186110994787
1996-04-12,0.3507888804631176,682,296,0.0005143531971599965
1996-04-13,0.009964675995384845,33,16,0.0003019598786480256
1996-04-14,0.016791747599165695,47,24,0.00035727122551416375
1996-04-15,0.3076472675636938,732,279,0.0004202831524094178
1996-04-16,0.4752807189007297,911,368,0.0005217131930853235
1996-04-17,0.42960926264521887,991,367,0.0004335108603887173
1996-04-18,0.3569380970866071,963,376,0.0003706522295811081
1996-04-19,0.26033880093578005,615,264,0.0004233151234728131
1996-04-20,0.036305871698721084,119,68,0.00030509135881278223
1996-04-21,0.06197732828329985,129,81,0.00048044440529689805
1996-04-22,0.24685155244805465,755,273,0.0003269556986066949
1996-04-23,0.5639551401479215,984,428,0.0005731251424267495
1996-04-24,0.31987290069998503,916,326,0.00034920622347159937
1996-04-25,0.3754819924916385,901,371,0.00041673917035697945
1996-04-26,0.2179470330495043,619,233,0.0003520953684160005
1996-04-27,0.018698521353787016,34,21,0.0005499565104055005
1996-04-28,0.029366988411693884,39,25,0.0007529997028639457
1996-04-29,0.01331987765138938,57,23,0.00023368206405946282
1996-04-30,0.5046927642892503,879,382,0.000574166967337031
1996-05-01,0.2283112058261343,609,219,0.00037489524766196107
