month,GEP_monthly_daily_avg,n_articles,n_gep_articles,n_trading_days
1996-01,0.00046054993259697104,14660.0,5825.0,31.0
1996-02,0.0004446012416739138,16482.0,6223.0,29.0
1996-03,0.000519868621201071,15809.0,6031.0,31.0
1996-04,0.00043427486529894796,13907.0,5598.0,25.0
1996-05,0.0005121085478274484,15659.0,5864.0,31.0
1996-06,0.00045992285450095966,12057.0,4464.0,26.0
1996-07,0.00045601589325535,16485.0,6276.0,30.0
1996-08,0.0004551888284951097,14237.0,5093.0,31.0
1996-09,0.00044735013598125,15713.0,6138.0,30.0
1996-10,0.0004212909844579676,18520.0,6726.0,31.0
1996-11,0.00049024713550211,15809.0,5929.0,30.0
1996-12,0.0004927562606855353,15778.0,5771.0,31.0
1997-01,0.00040899329204100327,16632.0,6205.0,31.0
1997-02,0.0004423393511171535,18372.0,6688.0,28.0
1997-03,0.00040843916660279685,18284.0,6927.0,31.0
1997-04,0.0004283694542625399,20961.0,7679.0,30.0
1997-05,0.0003599319114285936,20370.0,7492.0,31.0
1997-06,0.0003483994412823,20615.0,7246.0,30.0
1997-07,0.0003293878589476636,22935.0,8664.0,31.0
1997-08,0.0003721446983926226,22577.0,8778.0,31.0
1997-09,0.0003722808242076173,24069.0,9197.0,26.0
1997-10,0.00045469691317905796,32481.0,13025.0,31.0
1997-11,0.00045100862846645333,28355.0,11513.0,30.0
1997-12,0.00047128415453490975,26369.0,10633.0,31.0
1998-01,0.0003909708558042742,24140.0,9870.0,31.0
1998-02,0.00035507404677956073,19484.0,7788.0,28.0
1998-03,0.00039051694757492904,40680.0,15629.0,31.0
1998-04,0.00041148846627724674,40186.0,15416.0,30.0
1998-05,0.0004496097030644645,39917.0,15560.0,31.0
1998-06,0.00053060855137143,39008.0,16679.0,30.0
1998-07,0.00040091459887304137,36389.0,14076.0,29.0
1998-08,0.00045820323663395155,37034.0,15700.0,31.0
1998-09,0.0004898045662745275,35477.0,16050.0,29.0
1998-10,0.0004638753236150324,41680.0,17407.0,31.0
1998-11,0.0005195265059298834,36190.0,14961.0,30.0
1998-12,0.00047901982838425167,31343.0,14347.0,31.0
1999-01,0.00047108028257563,34461.0,14963.0,30.0
1999-02,0.00043099459551169283,35806.0,14651.0,28.0
1999-03,0.00048271971314965483,40475.0,17515.0,31.0
1999-04,0.0004518195771983367,39468.0,16734.0,30.0
1999-05,0.0005037933003932581,34229.0,15229.0,31.0
1999-06,0.00039339967929026207,34862.0,14824.0,29.0
1999-07,0.00038113578956554516,34521.0,14778.0,31.0
1999-08,0.00038284918132916457,28965.0,12734.0,31.0
1999-09,0.00042427115532043,28577.0,12330.0,30.0
1999-10,0.00037040884290511617,30621.0,12667.0,31.0
1999-11,0.00044732999444063986,29044.0,12515.0,30.0
1999-12,0.0004288184602747775,25322.0,10851.0,31.0
2000-01,0.0003659326325123839,28752.0,12092.0,31.0
2000-02,0.00040035833820369657,30404.0,13381.0,29.0
2000-03,0.0004011901259087839,27873.0,12694.0,31.0
2000-04,0.00040173534512049334,25521.0,11641.0,30.0
2000-05,0.0004207289557330871,27406.0,13072.0,31.0
2000-06,0.00037136821151196995,26490.0,12396.0,30.0
2000-07,0.00037299681036822907,26813.0,12569.0,31.0
2000-08,0.0003454480077229258,26037.0,12297.0,31.0
2000-09,0.0004013792392839734,26778.0,13361.0,30.0
2000-10,0.0004239076138627068,30085.0,14735.0,29.0
2000-11,0.0004303726682689134,27655.0,13677.0,30.0
2000-12,0.0003981182918289667,3819.0,1906.0,6.0
2001-01,0.0004264198798490387,29929.0,14773.0,31.0
2001-02,0.00042558147829918565,27485.0,13724.0,28.0
2001-03,0.00043792417990164845,27739.0,14587.0,31.0
2001-04,0.0005000890202009599,21271.0,10744.0,30.0
2001-05,0.0004001940879893548,27131.0,13708.0,31.0
2001-06,0.0004178476822705201,30344.0,15021.0,30.0
2001-07,0.0004318735683571129,31482.0,16487.0,31.0
2001-08,0.0003937446769753968,27497.0,14178.0,31.0
