event,date,category,window,CAR,se,t_stat,p_value,stars,significant
China_RareEarth_Embargo,2010-09-22,Export_Controls,"[-1,+1]",0.001994,0.013592,0.1467,0.8835,,False
China_RareEarth_Embargo,2010-09-22,Export_Controls,"[-3,+3]",-0.003475,0.020813,-0.167,0.8675,,False
China_RareEarth_Embargo,2010-09-22,Export_Controls,"[-5,+5]",0.001172,0.026085,0.0449,0.9642,,False
China_RareEarth_Embargo,2010-09-22,Export_Controls,"[-10,+10]",0.010442,0.036045,0.2897,0.7723,,False
Sec301_China_Tariffs,2018-03-22,Trade_Coercion,"[-1,+1]",0.000358,0.011199,0.0319,0.9746,,False
Sec301_China_Tariffs,2018-03-22,Trade_Coercion,"[-3,+3]",0.016061,0.017015,0.944,0.3462,,False
Sec301_China_Tariffs,2018-03-22,Trade_Coercion,"[-5,+5]",0.014709,0.021246,0.6923,0.4894,,False
Sec301_China_Tariffs,2018-03-22,Trade_Coercion,"[-10,+10]",0.002218,0.029284,0.0757,0.9397,,False
Iran_JCPOA_Withdrawal,2018-05-08,Sanctions,"[-1,+1]",-0.011135,0.011166,-0.9972,0.3197,,False
Iran_JCPOA_Withdrawal,2018-05-08,Sanctions,"[-3,+3]",-0.015794,0.017067,-0.9254,0.3557,,False
Iran_JCPOA_Withdrawal,2018-05-08,Sanctions,"[-5,+5]",-0.034253,0.021413,-1.5996,0.111,,False
Iran_JCPOA_Withdrawal,2018-05-08,Sanctions,"[-10,+10]",-0.035796,0.029608,-1.209,0.2279,,False
Huawei_EntityList,2019-05-16,Export_Controls,"[-1,+1]",-0.031776,0.013297,-2.3897,0.0176,**,True
Huawei_EntityList,2019-05-16,Export_Controls,"[-3,+3]",-0.026528,0.020332,-1.3047,0.1932,,False
Huawei_EntityList,2019-05-16,Export_Controls,"[-5,+5]",-0.032421,0.025483,-1.2723,0.2045,,False
Huawei_EntityList,2019-05-16,Export_Controls,"[-10,+10]",0.011563,0.035211,0.3284,0.7429,,False
Iran_JCPOA_Signing,2015-07-14,Sanctions_Relief,"[-1,+1]",-0.017764,0.011814,-1.5037,0.134,,False
Iran_JCPOA_Signing,2015-07-14,Sanctions_Relief,"[-3,+3]",0.006472,0.018069,0.3582,0.7205,,False
Iran_JCPOA_Signing,2015-07-14,Sanctions_Relief,"[-5,+5]",-0.027051,0.022702,-1.1916,0.2346,,False
Iran_JCPOA_Signing,2015-07-14,Sanctions_Relief,"[-10,+10]",-0.040525,0.031372,-1.2918,0.1977,,False
