event,date,category,window,CAR,se,t_stat,p_value,stars,significant
China_RareEarth_Embargo,2010-09-22,Export_Controls,"[-1,+1]",-0.00952,0.008633,-1.1028,0.2712,,False
China_RareEarth_Embargo,2010-09-22,Export_Controls,"[-3,+3]",-0.008217,0.013219,-0.6216,0.5348,,False
China_RareEarth_Embargo,2010-09-22,Export_Controls,"[-5,+5]",-0.007639,0.016567,-0.4611,0.6452,,False
China_RareEarth_Embargo,2010-09-22,Export_Controls,"[-10,+10]",-0.021676,0.022893,-0.9469,0.3447,,False
Sec301_China_Tariffs,2018-03-22,Trade_Coercion,"[-1,+1]",0.002613,0.005264,0.4965,0.62,,False
Sec301_China_Tariffs,2018-03-22,Trade_Coercion,"[-3,+3]",0.009798,0.007998,1.2252,0.2217,,False
Sec301_China_Tariffs,2018-03-22,Trade_Coercion,"[-5,+5]",0.01385,0.009986,1.3869,0.1668,,False
Sec301_China_Tariffs,2018-03-22,Trade_Coercion,"[-10,+10]",-0.002241,0.013765,-0.1628,0.8708,,False
Iran_JCPOA_Withdrawal,2018-05-08,Sanctions,"[-1,+1]",0.004593,0.005463,0.8408,0.4013,,False
Iran_JCPOA_Withdrawal,2018-05-08,Sanctions,"[-3,+3]",0.004733,0.008349,0.5669,0.5713,,False
Iran_JCPOA_Withdrawal,2018-05-08,Sanctions,"[-5,+5]",0.003549,0.010476,0.3388,0.7351,,False
Iran_JCPOA_Withdrawal,2018-05-08,Sanctions,"[-10,+10]",-0.007932,0.014485,-0.5476,0.5845,,False
Huawei_EntityList,2019-05-16,Export_Controls,"[-1,+1]",-0.006131,0.006818,-0.8993,0.3694,,False
Huawei_EntityList,2019-05-16,Export_Controls,"[-3,+3]",-0.005081,0.010425,-0.4874,0.6264,,False
Huawei_EntityList,2019-05-16,Export_Controls,"[-5,+5]",-0.001312,0.013066,-0.1004,0.9201,,False
Huawei_EntityList,2019-05-16,Export_Controls,"[-10,+10]",0.004094,0.018054,0.2268,0.8208,,False
Iran_JCPOA_Signing,2015-07-14,Sanctions_Relief,"[-1,+1]",-0.009009,0.005556,-1.6214,0.1062,,False
Iran_JCPOA_Signing,2015-07-14,Sanctions_Relief,"[-3,+3]",-0.007048,0.008499,-0.8293,0.4077,,False
Iran_JCPOA_Signing,2015-07-14,Sanctions_Relief,"[-5,+5]",-0.017541,0.010678,-1.6428,0.1017,,False
Iran_JCPOA_Signing,2015-07-14,Sanctions_Relief,"[-10,+10]",-0.019101,0.014756,-1.2945,0.1968,,False
