event,date,category,window,CAR,se,t_stat,p_value,stars,significant
China_RareEarth_Embargo,2010-09-22,Export_Controls,"[-1,+1]",-0.001749,0.018091,-0.0967,0.9231,,False
China_RareEarth_Embargo,2010-09-22,Export_Controls,"[-3,+3]",0.01051,0.027703,0.3794,0.7047,,False
China_RareEarth_Embargo,2010-09-22,Export_Controls,"[-5,+5]",0.002375,0.034719,0.0684,0.9455,,False
China_RareEarth_Embargo,2010-09-22,Export_Controls,"[-10,+10]",0.022765,0.047976,0.4745,0.6356,,False
Sec301_China_Tariffs,2018-03-22,Trade_Coercion,"[-1,+1]",-0.018608,0.016389,-1.1354,0.2573,,False
Sec301_China_Tariffs,2018-03-22,Trade_Coercion,"[-3,+3]",0.007672,0.0249,0.3081,0.7583,,False
Sec301_China_Tariffs,2018-03-22,Trade_Coercion,"[-5,+5]",0.010318,0.031092,0.3319,0.7403,,False
Sec301_China_Tariffs,2018-03-22,Trade_Coercion,"[-10,+10]",0.005192,0.042855,0.1211,0.9037,,False
Iran_JCPOA_Withdrawal,2018-05-08,Sanctions,"[-1,+1]",0.004663,0.016301,0.286,0.7751,,False
Iran_JCPOA_Withdrawal,2018-05-08,Sanctions,"[-3,+3]",-0.012812,0.024916,-0.5142,0.6076,,False
Iran_JCPOA_Withdrawal,2018-05-08,Sanctions,"[-5,+5]",-0.008963,0.031261,-0.2867,0.7746,,False
Iran_JCPOA_Withdrawal,2018-05-08,Sanctions,"[-10,+10]",0.002721,0.043225,0.0629,0.9499,,False
Huawei_EntityList,2019-05-16,Export_Controls,"[-1,+1]",-0.018805,0.016872,-1.1146,0.2661,,False
Huawei_EntityList,2019-05-16,Export_Controls,"[-3,+3]",-0.020982,0.025799,-0.8133,0.4169,,False
Huawei_EntityList,2019-05-16,Export_Controls,"[-5,+5]",-0.027742,0.032333,-0.858,0.3918,,False
Huawei_EntityList,2019-05-16,Export_Controls,"[-10,+10]",-0.010581,0.044677,-0.2368,0.813,,False
Iran_JCPOA_Signing,2015-07-14,Sanctions_Relief,"[-1,+1]",-0.045435,0.022149,-2.0513,0.0413,**,True
Iran_JCPOA_Signing,2015-07-14,Sanctions_Relief,"[-3,+3]",0.029646,0.033878,0.8751,0.3824,,False
Iran_JCPOA_Signing,2015-07-14,Sanctions_Relief,"[-5,+5]",-0.078491,0.042564,-1.8441,0.0664,*,True
Iran_JCPOA_Signing,2015-07-14,Sanctions_Relief,"[-10,+10]",-0.139542,0.058821,-2.3723,0.0185,**,True
