event,date,category,window,CAR,se,t_stat,p_value,stars,significant
China_RareEarth_Embargo,2010-09-22,Export_Controls,"[-1,+1]",-0.001772,0.011901,-0.1489,0.8817,,False
China_RareEarth_Embargo,2010-09-22,Export_Controls,"[-3,+3]",-0.008175,0.018224,-0.4486,0.6542,,False
China_RareEarth_Embargo,2010-09-22,Export_Controls,"[-5,+5]",-0.00294,0.022839,-0.1287,0.8977,,False
China_RareEarth_Embargo,2010-09-22,Export_Controls,"[-10,+10]",0.000357,0.031561,0.0113,0.991,,False
Sec301_China_Tariffs,2018-03-22,Trade_Coercion,"[-1,+1]",0.038739,0.010579,3.6618,0.0003,***,True
Sec301_China_Tariffs,2018-03-22,Trade_Coercion,"[-3,+3]",0.03792,0.016073,2.3593,0.0191,**,True
Sec301_China_Tariffs,2018-03-22,Trade_Coercion,"[-5,+5]",0.034536,0.02007,1.7208,0.0866,*,True
Sec301_China_Tariffs,2018-03-22,Trade_Coercion,"[-10,+10]",0.052499,0.027663,1.8978,0.0589,*,True
Iran_JCPOA_Withdrawal,2018-05-08,Sanctions,"[-1,+1]",0.01529,0.010583,1.4448,0.1498,,False
Iran_JCPOA_Withdrawal,2018-05-08,Sanctions,"[-3,+3]",0.013233,0.016176,0.8181,0.4141,,False
Iran_JCPOA_Withdrawal,2018-05-08,Sanctions,"[-5,+5]",0.032517,0.020295,1.6022,0.1104,,False
Iran_JCPOA_Withdrawal,2018-05-08,Sanctions,"[-10,+10]",0.042549,0.028062,1.5162,0.1308,,False
Huawei_EntityList,2019-05-16,Export_Controls,"[-1,+1]",0.002538,0.012429,0.2042,0.8384,,False
Huawei_EntityList,2019-05-16,Export_Controls,"[-3,+3]",0.02355,0.019005,1.2392,0.2165,,False
Huawei_EntityList,2019-05-16,Export_Controls,"[-5,+5]",0.014896,0.023819,0.6254,0.5323,,False
Huawei_EntityList,2019-05-16,Export_Controls,"[-10,+10]",0.029191,0.032912,0.8869,0.376,,False
Iran_JCPOA_Signing,2015-07-14,Sanctions_Relief,"[-1,+1]",-0.009698,0.01429,-0.6787,0.498,,False
Iran_JCPOA_Signing,2015-07-14,Sanctions_Relief,"[-3,+3]",-0.015542,0.021856,-0.7111,0.4777,,False
Iran_JCPOA_Signing,2015-07-14,Sanctions_Relief,"[-5,+5]",-0.007229,0.02746,-0.2633,0.7926,,False
Iran_JCPOA_Signing,2015-07-14,Sanctions_Relief,"[-10,+10]",0.021011,0.037948,0.5537,0.5803,,False
