event,date,category,window,CAR,se,t_stat,p_value,stars,significant
China_RareEarth_Embargo,2010-09-22,Export_Controls,"[-1,+1]",-0.013354,0.013103,-1.0191,0.3092,,False
China_RareEarth_Embargo,2010-09-22,Export_Controls,"[-3,+3]",-0.017479,0.020064,-0.8712,0.3845,,False
China_RareEarth_Embargo,2010-09-22,Export_Controls,"[-5,+5]",-0.020553,0.025146,-0.8174,0.4145,,False
China_RareEarth_Embargo,2010-09-22,Export_Controls,"[-10,+10]",-0.014826,0.034748,-0.4267,0.67,,False
Sec301_China_Tariffs,2018-03-22,Trade_Coercion,"[-1,+1]",-0.009988,0.006057,-1.6489,0.1005,,True
Sec301_China_Tariffs,2018-03-22,Trade_Coercion,"[-3,+3]",-0.010435,0.009203,-1.1339,0.258,,False
Sec301_China_Tariffs,2018-03-22,Trade_Coercion,"[-5,+5]",-0.013683,0.011491,-1.1907,0.2349,,False
Sec301_China_Tariffs,2018-03-22,Trade_Coercion,"[-10,+10]",-0.026201,0.015839,-1.6542,0.0994,*,True
Iran_JCPOA_Withdrawal,2018-05-08,Sanctions,"[-1,+1]",0.006269,0.006198,1.0115,0.3128,,False
Iran_JCPOA_Withdrawal,2018-05-08,Sanctions,"[-3,+3]",-0.005844,0.009473,-0.6169,0.5379,,False
Iran_JCPOA_Withdrawal,2018-05-08,Sanctions,"[-5,+5]",-0.002156,0.011885,-0.1814,0.8562,,False
Iran_JCPOA_Withdrawal,2018-05-08,Sanctions,"[-10,+10]",-0.009403,0.016434,-0.5721,0.5678,,False
Huawei_EntityList,2019-05-16,Export_Controls,"[-1,+1]",-0.007343,0.006301,-1.1654,0.245,,False
Huawei_EntityList,2019-05-16,Export_Controls,"[-3,+3]",-0.008297,0.009634,-0.8612,0.39,,False
Huawei_EntityList,2019-05-16,Export_Controls,"[-5,+5]",-0.002438,0.012075,-0.2019,0.8401,,False
Huawei_EntityList,2019-05-16,Export_Controls,"[-10,+10]",0.018463,0.016685,1.1066,0.2696,,False
Iran_JCPOA_Signing,2015-07-14,Sanctions_Relief,"[-1,+1]",-0.000822,0.005382,-0.1528,0.8787,,False
Iran_JCPOA_Signing,2015-07-14,Sanctions_Relief,"[-3,+3]",0.015743,0.008232,1.9125,0.057,*,True
Iran_JCPOA_Signing,2015-07-14,Sanctions_Relief,"[-5,+5]",0.006259,0.010342,0.6052,0.5456,,False
Iran_JCPOA_Signing,2015-07-14,Sanctions_Relief,"[-10,+10]",0.002918,0.014292,0.2042,0.8384,,False
