event,date,category,window,CAR,se,t_stat,p_value,stars,significant
China_RareEarth_Embargo,2010-09-22,Export_Controls,"[-1,+1]",0.003338,0.013776,0.2423,0.8088,,False
China_RareEarth_Embargo,2010-09-22,Export_Controls,"[-3,+3]",-0.009834,0.021095,-0.4662,0.6415,,False
China_RareEarth_Embargo,2010-09-22,Export_Controls,"[-5,+5]",-0.005596,0.026438,-0.2117,0.8326,,False
China_RareEarth_Embargo,2010-09-22,Export_Controls,"[-10,+10]",-0.003702,0.036533,-0.1013,0.9194,,False
Sec301_China_Tariffs,2018-03-22,Trade_Coercion,"[-1,+1]",0.017538,0.007371,2.3794,0.0181,**,True
Sec301_China_Tariffs,2018-03-22,Trade_Coercion,"[-3,+3]",0.009526,0.011199,0.8506,0.3958,,False
Sec301_China_Tariffs,2018-03-22,Trade_Coercion,"[-5,+5]",-0.001297,0.013983,-0.0928,0.9262,,False
Sec301_China_Tariffs,2018-03-22,Trade_Coercion,"[-10,+10]",-0.011711,0.019274,-0.6076,0.544,,False
Iran_JCPOA_Withdrawal,2018-05-08,Sanctions,"[-1,+1]",-0.004537,0.007318,-0.6199,0.5359,,False
Iran_JCPOA_Withdrawal,2018-05-08,Sanctions,"[-3,+3]",0.002419,0.011186,0.2162,0.829,,False
Iran_JCPOA_Withdrawal,2018-05-08,Sanctions,"[-5,+5]",0.009639,0.014034,0.6869,0.4928,,False
Iran_JCPOA_Withdrawal,2018-05-08,Sanctions,"[-10,+10]",0.004282,0.019405,0.2207,0.8255,,False
Huawei_EntityList,2019-05-16,Export_Controls,"[-1,+1]",-0.0024,0.009157,-0.2621,0.7935,,False
Huawei_EntityList,2019-05-16,Export_Controls,"[-3,+3]",-0.00856,0.014002,-0.6113,0.5416,,False
Huawei_EntityList,2019-05-16,Export_Controls,"[-5,+5]",0.003596,0.017549,0.2049,0.8378,,False
Huawei_EntityList,2019-05-16,Export_Controls,"[-10,+10]",0.026371,0.024248,1.0876,0.2779,,False
Iran_JCPOA_Signing,2015-07-14,Sanctions_Relief,"[-1,+1]",-0.008131,0.007759,-1.0479,0.2958,,False
Iran_JCPOA_Signing,2015-07-14,Sanctions_Relief,"[-3,+3]",-0.005992,0.011868,-0.5049,0.6141,,False
Iran_JCPOA_Signing,2015-07-14,Sanctions_Relief,"[-5,+5]",-0.026334,0.01491,-1.7662,0.0787,*,True
Iran_JCPOA_Signing,2015-07-14,Sanctions_Relief,"[-10,+10]",-0.039529,0.020605,-1.9184,0.0563,*,True
