date,rel_day,AR,AR_std
2001-08-27,-10,-0.00014299934821592006,0.001544034456647572
2001-08-28,-9,-0.0012327149168523885,0.0015402790134018752
2001-08-29,-8,-0.0005601727301344402,0.0015435693569460466
2001-08-30,-7,-0.0015284030953273062,0.0015431034024445452
2001-08-31,-6,-0.0006365440295544745,0.0015402186765782135
2001-09-04,-5,-0.0004386923990457965,0.0015386135243889698
2001-09-05,-4,0.0005605361804497577,0.0015406518795107584
2001-09-06,-3,-0.002304644907513049,0.0015524472024380125
2001-09-07,-2,-0.0009112653800491879,0.0015735692997854334
2001-09-10,-1,0.000978115192445085,0.0015604655808835323
2001-09-17,0,-0.0024009116852193244,0.0017737367373681604
2001-09-18,1,-0.001050126344956861,0.001553226544262576
2001-09-19,2,-0.0021651386594139753,0.0015769984323548553
2001-09-20,3,-0.004468483143653723,0.0016408787929964475
2001-09-21,4,-0.0013053342791244059,0.0016021569756113126
2001-09-24,5,0.001922615022147793,0.0016096885027068516
2001-09-25,6,0.0002829014170394814,0.001548447702773787
2001-09-26,7,-0.0006473111927982837,0.0015506465681207609
2001-09-27,8,-0.0009647385382827653,0.0015483311974948855
2001-09-28,9,0.0009596649892382701,0.001597978325130596
2001-10-01,10,0.00016744690207719497,0.0015641185198506013
