event,date,category,window,CAR,se,t_stat,p_value,stars,significant
China_RareEarth_Embargo,2010-09-22,Export_Controls,"[-1,+1]",-0.000482,0.000755,-0.6386,0.5237,,False
China_RareEarth_Embargo,2010-09-22,Export_Controls,"[-3,+3]",0.0,0.001156,0.0004,0.9997,,False
China_RareEarth_Embargo,2010-09-22,Export_Controls,"[-5,+5]",-3.9e-05,0.001449,-0.027,0.9785,,False
China_RareEarth_Embargo,2010-09-22,Export_Controls,"[-10,+10]",0.000504,0.002002,0.2519,0.8013,,False
Sec301_China_Tariffs,2018-03-22,Trade_Coercion,"[-1,+1]",0.000274,0.000631,0.4336,0.665,,False
Sec301_China_Tariffs,2018-03-22,Trade_Coercion,"[-3,+3]",0.000516,0.000961,0.5369,0.5919,,False
Sec301_China_Tariffs,2018-03-22,Trade_Coercion,"[-5,+5]",0.000958,0.001198,0.7998,0.4246,,False
Sec301_China_Tariffs,2018-03-22,Trade_Coercion,"[-10,+10]",0.001777,0.001652,1.0757,0.2831,,False
Iran_JCPOA_Withdrawal,2018-05-08,Sanctions,"[-1,+1]",0.000152,0.000671,0.226,0.8214,,False
Iran_JCPOA_Withdrawal,2018-05-08,Sanctions,"[-3,+3]",1.6e-05,0.001025,0.0161,0.9872,,False
Iran_JCPOA_Withdrawal,2018-05-08,Sanctions,"[-5,+5]",0.000357,0.001287,0.2779,0.7814,,False
Iran_JCPOA_Withdrawal,2018-05-08,Sanctions,"[-10,+10]",0.002803,0.001779,1.5757,0.1164,,False
Huawei_EntityList,2019-05-16,Export_Controls,"[-1,+1]",-0.000225,0.000792,-0.2837,0.7769,,False
Huawei_EntityList,2019-05-16,Export_Controls,"[-3,+3]",-0.00043,0.001211,-0.3553,0.7227,,False
Huawei_EntityList,2019-05-16,Export_Controls,"[-5,+5]",0.000191,0.001518,0.1262,0.8997,,False
Huawei_EntityList,2019-05-16,Export_Controls,"[-10,+10]",-0.000691,0.002096,-0.3294,0.7421,,False
Russia_SWIFT_Sanctions,2022-02-28,Sanctions,"[-1,+1]",-0.002733,0.00144,-1.8976,0.059,*,True
Russia_SWIFT_Sanctions,2022-02-28,Sanctions,"[-3,+3]",5.5e-05,0.002202,0.0249,0.9802,,False
Russia_SWIFT_Sanctions,2022-02-28,Sanctions,"[-5,+5]",0.004672,0.002759,1.6932,0.0917,*,True
Russia_SWIFT_Sanctions,2022-02-28,Sanctions,"[-10,+10]",0.005401,0.003807,1.4187,0.1573,,False
BIS_Chip_Controls,2022-10-07,Export_Controls,"[-1,+1]",-0.002264,0.001605,-1.4105,0.1597,,False
BIS_Chip_Controls,2022-10-07,Export_Controls,"[-3,+3]",-0.003114,0.002453,-1.2695,0.2055,,False
BIS_Chip_Controls,2022-10-07,Export_Controls,"[-5,+5]",-0.003891,0.003081,-1.2628,0.2079,,False
BIS_Chip_Controls,2022-10-07,Export_Controls,"[-10,+10]",-0.005261,0.004255,-1.2363,0.2176,,False
Liberation_Day,2025-04-02,Trade_Coercion,"[-1,+1]",-0.002255,0.000804,-2.8058,0.0054,***,True
Liberation_Day,2025-04-02,Trade_Coercion,"[-3,+3]",-0.004488,0.001244,-3.6064,0.0004,***,True
Liberation_Day,2025-04-02,Trade_Coercion,"[-5,+5]",-0.007472,0.001575,-4.743,0.0,***,True
Liberation_Day,2025-04-02,Trade_Coercion,"[-10,+10]",-0.011605,0.002135,-5.4347,0.0,***,True
Iran_JCPOA_Signing,2015-07-14,Sanctions_Relief,"[-1,+1]",-0.000214,0.00067,-0.32,0.7493,,False
Iran_JCPOA_Signing,2015-07-14,Sanctions_Relief,"[-3,+3]",4.5e-05,0.001025,0.0439,0.965,,False
Iran_JCPOA_Signing,2015-07-14,Sanctions_Relief,"[-5,+5]",0.000849,0.001285,0.6608,0.5094,,False
Iran_JCPOA_Signing,2015-07-14,Sanctions_Relief,"[-10,+10]",0.000524,0.001776,0.295,0.7683,,False
US_China_PhaseOne_Deal,2020-01-15,Trade_Relief,"[-1,+1]",0.000643,0.000681,0.943,0.3466,,False
US_China_PhaseOne_Deal,2020-01-15,Trade_Relief,"[-3,+3]",0.000634,0.00104,0.6098,0.5426,,False
US_China_PhaseOne_Deal,2020-01-15,Trade_Relief,"[-5,+5]",-0.000225,0.001303,-0.1726,0.8631,,False
US_China_PhaseOne_Deal,2020-01-15,Trade_Relief,"[-10,+10]",-0.004167,0.001803,-2.3115,0.0217,**,True
US_EU_Steel_Truce,2021-11-01,Trade_Relief,"[-1,+1]",0.001712,0.001434,1.1932,0.234,,False
US_EU_Steel_Truce,2021-11-01,Trade_Relief,"[-3,+3]",0.006433,0.002191,2.9358,0.0037,***,True
US_EU_Steel_Truce,2021-11-01,Trade_Relief,"[-5,+5]",0.006944,0.002744,2.531,0.012,**,True
US_EU_Steel_Truce,2021-11-01,Trade_Relief,"[-10,+10]",0.005522,0.003788,1.4575,0.1463,,False
