event,date,category,window,CAR,se,t_stat,p_value,stars,significant
China_RareEarth_Embargo,2010-09-22,Export_Controls,"[-1,+1]",-0.000454,0.000756,-0.6009,0.5485,,False
China_RareEarth_Embargo,2010-09-22,Export_Controls,"[-3,+3]",-0.0,0.001158,-0.0001,0.9999,,False
China_RareEarth_Embargo,2010-09-22,Export_Controls,"[-5,+5]",-4.7e-05,0.001451,-0.0325,0.9741,,False
China_RareEarth_Embargo,2010-09-22,Export_Controls,"[-10,+10]",0.000507,0.002005,0.2528,0.8007,,False
Sec301_China_Tariffs,2018-03-22,Trade_Coercion,"[-1,+1]",0.000208,0.000644,0.3236,0.7465,,False
Sec301_China_Tariffs,2018-03-22,Trade_Coercion,"[-3,+3]",0.000407,0.00098,0.4154,0.6782,,False
Sec301_China_Tariffs,2018-03-22,Trade_Coercion,"[-5,+5]",0.00085,0.001221,0.696,0.4871,,False
Sec301_China_Tariffs,2018-03-22,Trade_Coercion,"[-10,+10]",0.001609,0.001687,0.954,0.3411,,False
Iran_JCPOA_Withdrawal,2018-05-08,Sanctions,"[-1,+1]",0.000139,0.000662,0.2093,0.8344,,False
Iran_JCPOA_Withdrawal,2018-05-08,Sanctions,"[-3,+3]",-4e-05,0.001011,-0.0398,0.9683,,False
Iran_JCPOA_Withdrawal,2018-05-08,Sanctions,"[-5,+5]",0.000269,0.001271,0.2114,0.8327,,False
Iran_JCPOA_Withdrawal,2018-05-08,Sanctions,"[-10,+10]",0.002586,0.001762,1.4673,0.1436,,False
Huawei_EntityList,2019-05-16,Export_Controls,"[-1,+1]",-0.000392,0.000794,-0.4939,0.6218,,False
Huawei_EntityList,2019-05-16,Export_Controls,"[-3,+3]",-0.000718,0.001212,-0.5921,0.5543,,False
Huawei_EntityList,2019-05-16,Export_Controls,"[-5,+5]",-0.000166,0.001517,-0.1095,0.9129,,False
Huawei_EntityList,2019-05-16,Export_Controls,"[-10,+10]",-0.001279,0.002098,-0.6094,0.5428,,False
Russia_SWIFT_Sanctions,2022-02-28,Sanctions,"[-1,+1]",-0.002493,0.001535,-1.6241,0.1057,,False
Russia_SWIFT_Sanctions,2022-02-28,Sanctions,"[-3,+3]",0.000565,0.002323,0.243,0.8082,,False
Russia_SWIFT_Sanctions,2022-02-28,Sanctions,"[-5,+5]",0.005465,0.002916,1.8742,0.0621,*,True
Russia_SWIFT_Sanctions,2022-02-28,Sanctions,"[-10,+10]",0.006472,0.003948,1.6395,0.1024,,False
BIS_Chip_Controls,2022-10-07,Export_Controls,"[-1,+1]",-0.002336,0.001606,-1.4541,0.1472,,False
BIS_Chip_Controls,2022-10-07,Export_Controls,"[-3,+3]",-0.003186,0.002454,-1.2982,0.1955,,False
BIS_Chip_Controls,2022-10-07,Export_Controls,"[-5,+5]",-0.003937,0.003083,-1.2768,0.2029,,False
BIS_Chip_Controls,2022-10-07,Export_Controls,"[-10,+10]",-0.005095,0.004257,-1.1969,0.2325,,False
Liberation_Day,2025-04-02,Trade_Coercion,"[-1,+1]",-0.001882,0.000825,-2.2816,0.0234,**,True
Liberation_Day,2025-04-02,Trade_Coercion,"[-3,+3]",-0.003851,0.001265,-3.0436,0.0026,***,True
Liberation_Day,2025-04-02,Trade_Coercion,"[-5,+5]",-0.0065,0.001598,-4.0673,0.0001,***,True
Liberation_Day,2025-04-02,Trade_Coercion,"[-10,+10]",-0.010166,0.002157,-4.7124,0.0,***,True
Iran_JCPOA_Signing,2015-07-14,Sanctions_Relief,"[-1,+1]",-0.000222,0.000673,-0.3304,0.7414,,False
Iran_JCPOA_Signing,2015-07-14,Sanctions_Relief,"[-3,+3]",3.2e-05,0.001029,0.0315,0.9749,,False
Iran_JCPOA_Signing,2015-07-14,Sanctions_Relief,"[-5,+5]",0.000839,0.00129,0.6505,0.516,,False
Iran_JCPOA_Signing,2015-07-14,Sanctions_Relief,"[-10,+10]",0.000522,0.001782,0.2931,0.7697,,False
US_China_PhaseOne_Deal,2020-01-15,Trade_Relief,"[-1,+1]",0.000646,0.000683,0.9457,0.3452,,False
US_China_PhaseOne_Deal,2020-01-15,Trade_Relief,"[-3,+3]",0.000619,0.001042,0.594,0.5531,,False
US_China_PhaseOne_Deal,2020-01-15,Trade_Relief,"[-5,+5]",-0.000216,0.001308,-0.1652,0.8689,,False
US_China_PhaseOne_Deal,2020-01-15,Trade_Relief,"[-10,+10]",-0.004229,0.001809,-2.3378,0.0202,**,True
US_EU_Steel_Truce,2021-11-01,Trade_Relief,"[-1,+1]",0.001768,0.001438,1.2294,0.2201,,False
US_EU_Steel_Truce,2021-11-01,Trade_Relief,"[-3,+3]",0.006694,0.002199,3.044,0.0026,***,True
US_EU_Steel_Truce,2021-11-01,Trade_Relief,"[-5,+5]",0.007297,0.002752,2.6516,0.0085,***,True
US_EU_Steel_Truce,2021-11-01,Trade_Relief,"[-10,+10]",0.005904,0.003797,1.5548,0.1213,,False
