event,date,category,window,CAR,se,t_stat,p_value,stars,significant
China_RareEarth_Embargo,2010-09-22,Export_Controls,"[-1,+1]",-0.007116,0.012942,-0.5498,0.5829,,False
China_RareEarth_Embargo,2010-09-22,Export_Controls,"[-3,+3]",-0.003541,0.019817,-0.1787,0.8583,,False
China_RareEarth_Embargo,2010-09-22,Export_Controls,"[-5,+5]",-0.01299,0.024837,-0.523,0.6015,,False
China_RareEarth_Embargo,2010-09-22,Export_Controls,"[-10,+10]",-0.022435,0.034321,-0.6537,0.5139,,False
Sec301_China_Tariffs,2018-03-22,Trade_Coercion,"[-1,+1]",-0.003332,0.010063,-0.3311,0.7408,,False
Sec301_China_Tariffs,2018-03-22,Trade_Coercion,"[-3,+3]",-0.003227,0.01529,-0.2111,0.833,,False
Sec301_China_Tariffs,2018-03-22,Trade_Coercion,"[-5,+5]",0.019041,0.019092,0.9973,0.3196,,False
Sec301_China_Tariffs,2018-03-22,Trade_Coercion,"[-10,+10]",0.027131,0.026297,1.0317,0.3032,,False
Iran_JCPOA_Withdrawal,2018-05-08,Sanctions,"[-1,+1]",0.000703,0.010087,0.0697,0.9445,,False
Iran_JCPOA_Withdrawal,2018-05-08,Sanctions,"[-3,+3]",-0.006863,0.015409,-0.4453,0.6565,,False
Iran_JCPOA_Withdrawal,2018-05-08,Sanctions,"[-5,+5]",0.01454,0.01934,0.7518,0.4529,,False
Iran_JCPOA_Withdrawal,2018-05-08,Sanctions,"[-10,+10]",0.025687,0.026782,0.9591,0.3385,,False
Huawei_EntityList,2019-05-16,Export_Controls,"[-1,+1]",0.014652,0.010032,1.4606,0.1455,,False
Huawei_EntityList,2019-05-16,Export_Controls,"[-3,+3]",0.009197,0.01534,0.5996,0.5494,,False
Huawei_EntityList,2019-05-16,Export_Controls,"[-5,+5]",-0.006346,0.019223,-0.3301,0.7416,,False
Huawei_EntityList,2019-05-16,Export_Controls,"[-10,+10]",-0.009631,0.026562,-0.3626,0.7172,,False
Iran_JCPOA_Signing,2015-07-14,Sanctions_Relief,"[-1,+1]",0.010952,0.014799,0.74,0.46,,False
Iran_JCPOA_Signing,2015-07-14,Sanctions_Relief,"[-3,+3]",0.046701,0.022635,2.0632,0.0402,**,True
Iran_JCPOA_Signing,2015-07-14,Sanctions_Relief,"[-5,+5]",0.033157,0.028436,1.166,0.2448,,False
Iran_JCPOA_Signing,2015-07-14,Sanctions_Relief,"[-10,+10]",-0.021048,0.039256,-0.5362,0.5923,,False
