event,date,category,window,CAR,se,t_stat,p_value,stars,significant
China_RareEarth_Embargo,2010-09-22,Export_Controls,"[-1,+1]",0.018434,0.067485,0.2732,0.785,,False
China_RareEarth_Embargo,2010-09-22,Export_Controls,"[-3,+3]",0.106474,0.103301,1.0307,0.3037,,False
China_RareEarth_Embargo,2010-09-22,Export_Controls,"[-5,+5]",0.167481,0.12944,1.2939,0.197,,False
China_RareEarth_Embargo,2010-09-22,Export_Controls,"[-10,+10]",0.194259,0.178831,1.0863,0.2785,,False
Sec301_China_Tariffs,2018-03-22,Trade_Coercion,"[-1,+1]",-0.256911,0.098004,-2.6214,0.0093,***,True
Sec301_China_Tariffs,2018-03-22,Trade_Coercion,"[-3,+3]",-0.310861,0.149283,-2.0824,0.0384,**,True
Sec301_China_Tariffs,2018-03-22,Trade_Coercion,"[-5,+5]",-0.426718,0.186099,-2.293,0.0227,**,True
Sec301_China_Tariffs,2018-03-22,Trade_Coercion,"[-10,+10]",-0.544009,0.256574,-2.1203,0.035,**,True
Iran_JCPOA_Withdrawal,2018-05-08,Sanctions,"[-1,+1]",0.027743,0.099996,0.2774,0.7817,,False
Iran_JCPOA_Withdrawal,2018-05-08,Sanctions,"[-3,+3]",0.057601,0.152772,0.377,0.7065,,False
Iran_JCPOA_Withdrawal,2018-05-08,Sanctions,"[-5,+5]",0.109331,0.191829,0.5699,0.5693,,False
Iran_JCPOA_Withdrawal,2018-05-08,Sanctions,"[-10,+10]",-0.126681,0.265284,-0.4775,0.6334,,False
Huawei_EntityList,2019-05-16,Export_Controls,"[-1,+1]",-0.083798,0.079243,-1.0575,0.2914,,False
Huawei_EntityList,2019-05-16,Export_Controls,"[-3,+3]",-0.13503,0.121234,-1.1138,0.2665,,False
Huawei_EntityList,2019-05-16,Export_Controls,"[-5,+5]",-0.321167,0.151903,-2.1143,0.0355,**,True
Huawei_EntityList,2019-05-16,Export_Controls,"[-10,+10]",-0.204642,0.209791,-0.9755,0.3303,,False
Russia_SWIFT_Sanctions,2022-02-28,Sanctions,"[-1,+1]",0.135747,0.077116,1.7603,0.0796,*,True
Russia_SWIFT_Sanctions,2022-02-28,Sanctions,"[-3,+3]",0.143593,0.117938,1.2175,0.2246,,False
Russia_SWIFT_Sanctions,2022-02-28,Sanctions,"[-5,+5]",-0.164477,0.147775,-1.113,0.2668,,False
Russia_SWIFT_Sanctions,2022-02-28,Sanctions,"[-10,+10]",-0.447191,0.203869,-2.1935,0.0292,**,True
BIS_Chip_Controls,2022-10-07,Export_Controls,"[-1,+1]",-0.061418,0.084411,-0.7276,0.4676,,False
BIS_Chip_Controls,2022-10-07,Export_Controls,"[-3,+3]",0.020926,0.129011,0.1622,0.8713,,False
BIS_Chip_Controls,2022-10-07,Export_Controls,"[-5,+5]",-0.010238,0.162059,-0.0632,0.9497,,False
BIS_Chip_Controls,2022-10-07,Export_Controls,"[-10,+10]",0.139929,0.223791,0.6253,0.5324,,False
Liberation_Day,2025-04-02,Trade_Coercion,"[-1,+1]",-0.041468,0.094062,-0.4409,0.6597,,False
Liberation_Day,2025-04-02,Trade_Coercion,"[-3,+3]",-0.089667,0.145642,-0.6157,0.5387,,False
Liberation_Day,2025-04-02,Trade_Coercion,"[-5,+5]",0.184545,0.184387,1.0009,0.3179,,False
Liberation_Day,2025-04-02,Trade_Coercion,"[-10,+10]",-0.138456,0.249938,-0.554,0.5801,,False
Iran_JCPOA_Signing,2015-07-14,Sanctions_Relief,"[-1,+1]",-0.125581,0.06716,-1.8699,0.0627,*,True
Iran_JCPOA_Signing,2015-07-14,Sanctions_Relief,"[-3,+3]",-0.19287,0.102709,-1.8778,0.0616,*,True
Iran_JCPOA_Signing,2015-07-14,Sanctions_Relief,"[-5,+5]",-0.178059,0.128829,-1.3821,0.1682,,False
Iran_JCPOA_Signing,2015-07-14,Sanctions_Relief,"[-10,+10]",-0.182604,0.177978,-1.026,0.3059,,False
US_China_PhaseOne_Deal,2020-01-15,Trade_Relief,"[-1,+1]",0.043655,0.069999,0.6237,0.5335,,False
US_China_PhaseOne_Deal,2020-01-15,Trade_Relief,"[-3,+3]",0.093552,0.106826,0.8757,0.3821,,False
US_China_PhaseOne_Deal,2020-01-15,Trade_Relief,"[-5,+5]",0.104388,0.13386,0.7798,0.4363,,False
US_China_PhaseOne_Deal,2020-01-15,Trade_Relief,"[-10,+10]",0.119585,0.185194,0.6457,0.5191,,False
US_EU_Steel_Truce,2021-11-01,Trade_Relief,"[-1,+1]",0.003428,0.081805,0.0419,0.9666,,False
US_EU_Steel_Truce,2021-11-01,Trade_Relief,"[-3,+3]",0.075153,0.124967,0.6014,0.5482,,False
US_EU_Steel_Truce,2021-11-01,Trade_Relief,"[-5,+5]",0.279698,0.156473,1.7875,0.0751,*,True
US_EU_Steel_Truce,2021-11-01,Trade_Relief,"[-10,+10]",0.21746,0.216054,1.0065,0.3152,,False
