date,rel_day,AR,AR_std
2025-03-19,-10,0.008299928307624771,0.053045078498082966
2025-03-20,-9,-0.02651620984648028,0.052874851985359836
2025-03-21,-8,-0.023264128947125477,0.0530022372584557
2025-03-24,-7,0.05972071595485627,0.053436992089937
2025-03-25,-6,-0.007431758451556135,0.05307792933625166
2025-03-26,-5,-0.01791320653969722,0.054314923049447725
2025-03-27,-4,-0.012882832014500446,0.053138046537943795
2025-03-28,-3,-0.02414863390613403,0.0534695997376855
2025-03-31,-2,0.06614302676590217,0.05331875846819107
2025-04-01,-1,0.016535891422564432,0.0534030773303828
2025-04-02,0,0.06451296243559027,0.054848038933153445
2025-04-03,1,-0.0816401037836616,0.05886787999807684
2025-04-04,2,-0.08298444879818612,0.06388730093560946
2025-04-07,3,0.021616398153595145,0.05332605343088234
2025-04-08,4,-0.016877615314269068,0.05402882998172295
2025-04-09,5,0.3586548728957614,0.06610419019170186
2025-04-10,6,-0.0988878622177349,0.055253015562418836
2025-04-11,7,0.0729016956422001,0.05483305310246105
2025-04-14,8,-0.1236664140440513,0.05338450285976539
2025-04-15,9,-0.03442813710975435,0.05301306282420608
2025-04-16,10,-0.09847466637826584,0.05452532033285209
