event,date,category,window,CAR,se,t_stat,significant
Kosovo_NATO_Bombing,1999-03-24,Sanctions,"[-1,+1]",-0.001331,0.001671,-0.7966,False
Kosovo_NATO_Bombing,1999-03-24,Sanctions,"[-3,+3]",0.00132,0.002557,0.5163,False
Kosovo_NATO_Bombing,1999-03-24,Sanctions,"[-5,+5]",-0.002131,0.003203,-0.6653,False
Kosovo_NATO_Bombing,1999-03-24,Sanctions,"[-10,+10]",-0.001051,0.004422,-0.2377,False
Sep11_Attack,2001-09-11,Sanctions,"[-1,+1]",-0.002473,0.002827,-0.8747,False
Sep11_Attack,2001-09-11,Sanctions,"[-3,+3]",-0.012322,0.00425,-2.8997,True
Sep11_Attack,2001-09-11,Sanctions,"[-5,+5]",-0.011583,0.005288,-2.1907,True
Sep11_Attack,2001-09-11,Sanctions,"[-10,+10]",-0.015886,0.007215,-2.202,True
Iraq_War_Start,2003-03-20,Embargo,"[-1,+1]",0.000626,0.001231,0.5084,False
Iraq_War_Start,2003-03-20,Embargo,"[-3,+3]",0.000634,0.001885,0.3365,False
Iraq_War_Start,2003-03-20,Embargo,"[-5,+5]",-0.000394,0.002362,-0.1668,False
Iraq_War_Start,2003-03-20,Embargo,"[-10,+10]",-0.000345,0.003262,-0.1058,False
DPRK_Nuclear_Test1,2006-10-09,Sanctions,"[-1,+1]",-0.000646,0.000774,-0.8345,False
DPRK_Nuclear_Test1,2006-10-09,Sanctions,"[-3,+3]",-0.00139,0.001186,-1.172,False
DPRK_Nuclear_Test1,2006-10-09,Sanctions,"[-5,+5]",-0.000873,0.001487,-0.5873,False
DPRK_Nuclear_Test1,2006-10-09,Sanctions,"[-10,+10]",-0.000724,0.002055,-0.3526,False
Russia_Georgia_War,2008-08-08,Sanctions,"[-1,+1]",0.001888,0.001246,1.5149,False
Russia_Georgia_War,2008-08-08,Sanctions,"[-3,+3]",0.001429,0.001905,0.7498,False
Russia_Georgia_War,2008-08-08,Sanctions,"[-5,+5]",0.002401,0.002378,1.0096,False
Russia_Georgia_War,2008-08-08,Sanctions,"[-10,+10]",0.000844,0.003285,0.2568,False
EU_Iran_Oil_Embargo,2012-01-23,Embargo,"[-1,+1]",0.001098,0.000886,1.2398,False
EU_Iran_Oil_Embargo,2012-01-23,Embargo,"[-3,+3]",0.001663,0.001353,1.2294,False
EU_Iran_Oil_Embargo,2012-01-23,Embargo,"[-5,+5]",0.001698,0.001696,1.0015,False
EU_Iran_Oil_Embargo,2012-01-23,Embargo,"[-10,+10]",-0.000475,0.002341,-0.2028,False
Russia_Crimea_Sanctions,2014-03-17,Sanctions,"[-1,+1]",0.0004,0.000711,0.562,False
Russia_Crimea_Sanctions,2014-03-17,Sanctions,"[-3,+3]",8.6e-05,0.001088,0.0786,False
Russia_Crimea_Sanctions,2014-03-17,Sanctions,"[-5,+5]",0.001682,0.001366,1.2319,False
Russia_Crimea_Sanctions,2014-03-17,Sanctions,"[-10,+10]",0.002621,0.001885,1.39,False
