date,n_articles,n_gep_articles,GEP_daily
1996-01-01,120,0,0.0
1996-01-02,1496,0,0.0
1996-01-03,1988,0,0.0
1996-01-04,2248,8,0.0035587188612099642
1996-01-05,2120,8,0.0037735849056603774
1996-01-06,172,0,0.0
1996-01-07,240,4,0.016666666666666666
1996-01-08,2052,16,0.007797270955165692
1996-01-09,2436,0,0.0
1996-01-10,2312,8,0.0034602076124567475
1996-01-11,2512,4,0.0015923566878980893
1996-01-12,1820,4,0.002197802197802198
1996-01-13,252,4,0.015873015873015872
1996-01-14,192,0,0.0
1996-01-15,1516,40,0.026385224274406333
1996-01-16,3288,64,0.019464720194647202
1996-01-17,3556,24,0.006749156355455568
1996-01-18,3304,32,0.009685230024213076
1996-01-19,2352,16,0.006802721088435374
1996-01-20,680,16,0.023529411764705882
1996-01-21,336,24,0.07142857142857142
1996-01-22,2444,48,0.019639934533551555
1996-01-23,3100,28,0.00903225806451613
1996-01-24,3168,52,0.016414141414141416
1996-01-25,3904,56,0.014344262295081968
1996-01-26,2004,8,0.003992015968063872
1996-01-27,208,20,0.09615384615384616
1996-01-28,252,0,0.0
1996-01-29,2056,16,0.007782101167315175
1996-01-30,2956,20,0.006765899864682003
1996-01-31,3556,36,0.010123734533183352
1996-02-01,3744,24,0.00641025641025641
1996-02-02,2872,4,0.001392757660167131
1996-02-03,48,0,0.0
1996-02-04,180,12,0.06666666666666667
1996-02-05,2292,24,0.010471204188481676
1996-02-06,3404,72,0.021151586368977675
1996-02-07,3796,32,0.008429926238145416
1996-02-08,4556,36,0.007901668129938543
1996-02-09,2988,68,0.022757697456492636
1996-02-10,128,8,0.0625
1996-02-11,212,16,0.07547169811320754
1996-02-12,2664,20,0.0075075075075075074
1996-02-13,3980,48,0.012060301507537688
1996-02-14,3468,8,0.002306805074971165
1996-02-15,4852,20,0.004122011541632316
1996-02-16,2980,20,0.006711409395973154
1996-02-17,168,0,0.0
1996-02-18,240,0,0.0
1996-02-19,844,0,0.0
1996-02-20,2444,24,0.009819967266775777
1996-02-21,3072,52,0.016927083333333332
1996-02-22,2376,32,0.013468013468013467
1996-02-23,2760,12,0.004347826086956522
1996-02-24,84,0,0.0
1996-02-25,168,0,0.0
1996-02-26,2268,40,0.01763668430335097
1996-02-27,3236,8,0.002472187886279357
1996-02-28,3172,12,0.0037831021437578815
1996-02-29,2932,32,0.010914051841746248
1996-03-01,1972,20,0.010141987829614604
1996-03-02,124,16,0.12903225806451613
1996-03-03,128,4,0.03125
1996-03-04,2372,24,0.01011804384485666
1996-03-05,2572,0,0.0
1996-03-06,2752,16,0.005813953488372093
1996-03-07,3224,28,0.008684863523573201
1996-03-08,2268,44,0.019400352733686066
1996-03-09,216,24,0.1111111111111111
1996-03-10,308,8,0.025974025974025976
