date,n_articles,n_gep_articles,GEP_daily
1996-01-01,120,8,0.06666666666666667
1996-01-02,1496,4,0.00267379679144385
1996-01-03,1988,0,0.0
1996-01-04,2248,0,0.0
1996-01-05,2120,0,0.0
1996-01-06,172,0,0.0
1996-01-07,240,4,0.016666666666666666
1996-01-08,2052,4,0.001949317738791423
1996-01-09,2436,8,0.003284072249589491
1996-01-10,2312,12,0.005190311418685121
1996-01-11,2512,4,0.0015923566878980893
1996-01-12,1820,4,0.002197802197802198
1996-01-13,252,0,0.0
1996-01-14,192,0,0.0
1996-01-15,1516,0,0.0
1996-01-16,3288,16,0.004866180048661801
1996-01-17,3556,0,0.0
1996-01-18,3304,12,0.0036319612590799033
1996-01-19,2352,0,0.0
1996-01-20,680,0,0.0
1996-01-21,336,0,0.0
1996-01-22,2444,8,0.0032733224222585926
1996-01-23,3100,4,0.0012903225806451613
1996-01-24,3168,12,0.003787878787878788
1996-01-25,3904,8,0.0020491803278688526
1996-01-26,2004,8,0.003992015968063872
1996-01-27,208,0,0.0
1996-01-28,252,0,0.0
1996-01-29,2056,4,0.0019455252918287938
1996-01-30,2956,0,0.0
1996-01-31,3556,0,0.0
1996-02-01,3744,8,0.002136752136752137
1996-02-02,2872,0,0.0
1996-02-03,48,0,0.0
1996-02-04,180,0,0.0
1996-02-05,2292,20,0.008726003490401396
1996-02-06,3404,48,0.01410105757931845
1996-02-07,3796,4,0.001053740779768177
1996-02-08,4556,4,0.000877963125548727
1996-02-09,2988,4,0.0013386880856760374
1996-02-10,128,8,0.0625
1996-02-11,212,8,0.03773584905660377
1996-02-12,2664,4,0.0015015015015015015
1996-02-13,3980,0,0.0
1996-02-14,3468,12,0.0034602076124567475
1996-02-15,4852,8,0.0016488046166529267
1996-02-16,2980,4,0.0013422818791946308
1996-02-17,168,12,0.07142857142857142
1996-02-18,240,8,0.03333333333333333
1996-02-19,844,0,0.0
1996-02-20,2444,4,0.0016366612111292963
1996-02-21,3072,4,0.0013020833333333333
1996-02-22,2376,0,0.0
1996-02-23,2760,0,0.0
1996-02-24,84,4,0.047619047619047616
1996-02-25,168,0,0.0
1996-02-26,2268,4,0.001763668430335097
1996-02-27,3236,0,0.0
1996-02-28,3172,12,0.0037831021437578815
1996-02-29,2932,12,0.004092769440654843
1996-03-01,1972,0,0.0
1996-03-02,124,0,0.0
1996-03-03,128,0,0.0
1996-03-04,2372,0,0.0
1996-03-05,2572,8,0.003110419906687403
1996-03-06,2752,20,0.007267441860465116
1996-03-07,3224,24,0.007444168734491315
1996-03-08,2268,44,0.019400352733686066
1996-03-09,216,24,0.1111111111111111
1996-03-10,308,44,0.14285714285714285
1996-03-11,2564,20,0.0078003120124804995
1996-03-12,3520,12,0.003409090909090909
1996-03-13,4044,28,0.006923837784371909
1996-03-14,3556,0,0.0
1996-03-15,2656,8,0.0030120481927710845
1996-03-16,192,0,0.0
1996-03-17,280,0,0.0
1996-03-18,2820,4,0.0014184397163120568
1996-03-19,3296,8,0.0024271844660194173
1996-03-20,3136,20,0.006377551020408163
1996-03-21,3064,4,0.0013054830287206266
1996-03-22,2756,8,0.002902757619738752
1996-03-23,172,0,0.0
1996-03-24,192,0,0.0
1996-03-25,2148,0,0.0
1996-03-26,3088,0,0.0
1996-03-27,3376,4,0.001184834123222749
1996-03-28,3216,4,0.0012437810945273632
1996-03-29,2852,12,0.004207573632538569
1996-03-30,160,24,0.15
1996-03-31,212,12,0.05660377358490566
1996-04-01,2764,8,0.002894356005788712
1996-04-02,2848,8,0.0028089887640449437
1996-04-03,2392,12,0.005016722408026756
1996-04-04,2476,24,0.009693053311793215
1996-04-05,484,0,0.0
1996-04-06,0,0,0.0
1996-04-07,0,0,0.0
1996-04-08,0,0,0.0
1996-04-09,0,0,0.0
1996-04-10,0,0,0.0
1996-04-11,3040,4,0.0013157894736842105
1996-04-12,2728,16,0.005865102639296188
1996-04-13,132,0,0.0
1996-04-14,188,4,0.02127659574468085
1996-04-15,2928,4,0.001366120218579235
1996-04-16,3644,16,0.0043907793633369925
1996-04-17,3964,12,0.0030272452068617556
1996-04-18,3852,24,0.006230529595015576
1996-04-19,2460,40,0.016260162601626018
1996-04-20,476,48,0.10084033613445378
1996-04-21,516,60,0.11627906976744186
1996-04-22,3020,36,0.011920529801324504
1996-04-23,3936,44,0.011178861788617886
1996-04-24,3664,12,0.0032751091703056767
1996-04-25,3604,12,0.003329633740288568
1996-04-26,2476,12,0.004846526655896607
1996-04-27,136,12,0.08823529411764706
1996-04-28,156,8,0.05128205128205128
1996-04-29,228,0,0.0
1996-04-30,3516,12,0.0034129692832764505
1996-05-01,2436,12,0.0049261083743842365
1996-05-02,3136,4,0.0012755102040816326
1996-05-03,2272,4,0.0017605633802816902
1996-05-04,76,4,0.05263157894736842
1996-05-05,164,4,0.024390243902439025
1996-05-06,2064,8,0.003875968992248062
1996-05-07,3604,8,0.0022197558268590455
1996-05-08,3296,0,0.0
1996-05-09,3568,20,0.005605381165919282
1996-05-10,2812,12,0.004267425320056899
1996-05-11,160,4,0.025
1996-05-12,300,8,0.02666666666666667
1996-05-13,3256,8,0.002457002457002457
1996-05-14,3120,0,0.0
1996-05-15,2772,0,0.0
1996-05-16,2712,0,0.0
1996-05-17,2240,4,0.0017857142857142857
1996-05-18,108,0,0.0
1996-05-19,236,8,0.03389830508474576
1996-05-20,2640,8,0.0030303030303030303
1996-05-21,2724,20,0.007342143906020558
1996-05-22,3036,44,0.014492753623188406
1996-05-23,3112,8,0.002570694087403599
1996-05-24,2060,4,0.001941747572815534
1996-05-25,120,0,0.0
1996-05-26,224,4,0.017857142857142856
1996-05-27,348,8,0.022988505747126436
1996-05-28,1744,4,0.0022935779816513763
1996-05-29,2828,0,0.0
1996-05-30,3004,0,0.0
1996-05-31,2464,4,0.0016233766233766235
1996-06-01,172,4,0.023255813953488372
1996-06-02,288,4,0.013888888888888888
1996-06-03,2900,40,0.013793103448275862
1996-06-04,3228,12,0.0037174721189591076
1996-06-05,2712,4,0.0014749262536873156
1996-06-06,3052,8,0.002621231979030144
1996-06-07,2036,8,0.003929273084479371
1996-06-08,84,0,0.0
1996-06-09,264,0,0.0
1996-06-10,2336,4,0.0017123287671232876
1996-06-11,4,0,0.0
1996-06-12,3212,4,0.0012453300124533001
1996-06-13,3136,16,0.00510204081632653
1996-06-14,2768,4,0.001445086705202312
1996-06-15,28,0,0.0
1996-06-16,288,0,0.0
1996-06-17,2500,16,0.0064
1996-06-18,2528,16,0.006329113924050633
1996-06-19,2596,4,0.0015408320493066256
1996-06-20,2928,32,0.01092896174863388
1996-06-21,2192,8,0.0036496350364963502
