month,n_articles,n_gep_articles,GEP_monthly
1996-01,58640,580,0.009890859481582538
1996-02,65928,604,0.009161509525543017
1996-03,63236,776,0.012271490922892023
1996-04,55628,956,0.01718558999065219
1996-05,62636,880,0.014049428443706494
1996-06,48228,864,0.017914904205026127
1996-07,65940,1088,0.016499848346982104
1996-08,56948,912,0.01601460981948444
1996-09,62852,1856,0.029529688792719406
1996-10,74080,580,0.00782937365010799
1996-11,63236,744,0.011765450060092353
1996-12,63112,800,0.012675877804537964
1997-01,66528,568,0.008537758537758539
1997-02,73488,800,0.010886131069018071
1997-03,73136,760,0.010391599212426165
1997-04,83844,784,0.009350698917036401
1997-05,81480,776,0.009523809523809525
1997-06,82460,980,0.011884550084889643
1997-07,91740,896,0.009766732068890342
1997-08,90308,756,0.00837135137529344
1997-09,96276,940,0.009763596327225892
1997-10,129924,1560,0.012007019488316246
1997-11,113420,2040,0.017986245812026097
1997-12,105476,1124,0.010656452652736167
1998-01,96560,1456,0.01507870753935377
1998-02,77936,2236,0.0286902073496202
1998-03,162720,2024,0.012438544739429696
1998-04,160744,1536,0.009555566615239139
1998-05,159668,2808,0.01758649197083949
1998-06,156032,2496,0.015996718621821164
1998-07,145556,1260,0.008656462117672924
1998-08,148136,2148,0.01450018901549927
1998-09,141908,1776,0.012515150660991629
1998-10,166720,1864,0.01118042226487524
1998-11,144760,2552,0.01762917933130699
1998-12,125372,4332,0.03455316976677408
1999-01,137844,2840,0.02060300049331128
1999-02,143224,2320,0.016198402502373904
1999-03,161900,2672,0.01650401482396541
1999-04,157872,2516,0.015936961589135504
1999-05,136916,2492,0.01820094072277893
1999-06,139448,2252,0.016149389019562848
1999-07,138084,1368,0.009907013122447206
1999-08,115860,1136,0.009804936992922493
1999-09,114308,1376,0.012037652657731742
1999-10,122484,1244,0.010156428594755233
1999-11,116176,1504,0.012945875223798375
1999-12,101288,1660,0.01638891082852855
2000-01,115008,1148,0.009981914301613801
2000-02,121616,1452,0.011939218523878437
2000-03,111492,1552,0.013920281275786603
2000-04,102084,1120,0.010971356921750716
2000-05,109624,1480,0.013500693278844048
2000-06,105960,1388,0.01309928274820687
2000-07,107252,1324,0.01234475813970835
2000-08,104148,908,0.008718362330529632
2000-09,107112,2248,0.02098737769811039
2000-10,120340,1512,0.01256440086421805
2000-11,110620,1528,0.013813053697342252
2000-12,15276,232,0.015187221785807803
2001-01,119716,1656,0.01383273747869959
2001-02,109940,2544,0.023139894487902494
2001-03,110956,1892,0.017051804318829085
2001-04,85084,988,0.011612053970194162
2001-05,108524,1932,0.017802513729681915
2001-06,121376,2380,0.019608489322436067
2001-07,125928,2540,0.020170256019312622
2001-08,109988,1400,0.012728661308506382
2001-09,129488,4084,0.03153960212529346
2001-10,145396,3700,0.02544774271644337
2001-11,119324,2324,0.01947638362776977
2001-12,97128,1856,0.019108804876039866
2002-01,107764,1628,0.015107085854274154
2002-02,107756,1472,0.013660492223170867
2002-03,106592,1988,0.018650555388772142
2002-04,115920,1712,0.014768806073153899
2002-05,106240,1760,0.016566265060240965
2002-06,100648,1684,0.016731579365710198
2002-07,120568,1804,0.014962510782297126
2002-08,98084,1620,0.016516455283226622
2002-09,100016,3792,0.0379139337705967
2002-10,115872,3128,0.02699530516431925
2002-11,93548,2624,0.02804977124043272
