month,n_articles,n_gep_articles,GEP_monthly
1996-01,58640,716,0.012210095497953615
1996-02,65928,1164,0.017655624317437203
1996-03,63236,1256,0.019862103864887088
1996-04,55628,1212,0.02178758898396491
1996-05,62636,2208,0.035251293186027204
1996-06,48228,1468,0.030438749274280502
1996-07,65940,1896,0.028753412192902637
1996-08,56948,1596,0.028025567184097773
1996-09,62852,1952,0.031057086488894547
1996-10,74080,1072,0.014470842332613391
1996-11,63236,976,0.015434246315389968
1996-12,63112,1144,0.018126505260489287
1997-01,66528,1068,0.016053391053391052
1997-02,73488,1024,0.01393424776834313
1997-03,73136,1148,0.01569678407350689
1997-04,83844,1308,0.0156004007442393
1997-05,81480,1132,0.013892979872361315
1997-06,82460,1104,0.013388309483385884
1997-07,91740,1240,0.013516459559625027
1997-08,90308,1196,0.01324356646144306
1997-09,96276,1716,0.01782375669948897
1997-10,129924,2816,0.021674209537883685
1997-11,113420,3008,0.026520895785575736
1997-12,105476,1932,0.018316963100610567
1998-01,96560,1712,0.017729908864954434
1998-02,77936,2196,0.02817696571545884
1998-03,162720,3324,0.020427728613569323
1998-04,160744,2220,0.013810779873587817
1998-05,159668,4896,0.030663627026079113
1998-06,156032,3668,0.02350799835931091
1998-07,145556,2536,0.017422847563824232
1998-08,148136,2620,0.017686450288923693
1998-09,141908,2504,0.017645234940947656
1998-10,166720,2436,0.014611324376199617
1998-11,144760,3992,0.027576678640508428
1998-12,125372,3872,0.03088408895128099
1999-01,137844,3280,0.02379501465424683
1999-02,143224,2540,0.017734457912081773
1999-03,161900,3604,0.022260654725138974
1999-04,157872,3220,0.020396270396270396
1999-05,136916,2732,0.019953840310847525
1999-06,139448,1988,0.014256210200218002
1999-07,138084,2184,0.015816459546363085
1999-08,115860,1600,0.013809770412566891
1999-09,114308,2488,0.02176575567764286
1999-10,122484,1928,0.01574083145553705
1999-11,116176,2664,0.022930725795344994
1999-12,101288,2440,0.02408972435036727
2000-01,115008,1568,0.013633834168057874
2000-02,121616,2772,0.022793053545586108
2000-03,111492,2604,0.023355935851899687
2000-04,102084,1640,0.01606520120684926
2000-05,109624,2564,0.023389038896591986
2000-06,105960,2384,0.02249905624764062
2000-07,107252,2120,0.019766531160258085
2000-08,104148,1572,0.015093904827745131
2000-09,107112,2972,0.027746657704085444
2000-10,120340,3192,0.02652484626890477
2000-11,110620,3040,0.027481468088953173
2000-12,15276,348,0.022780832678711706
2001-01,119716,2372,0.019813558755721876
2001-02,109940,2928,0.026632708750227396
2001-03,110956,2372,0.021377843469483397
2001-04,85084,1444,0.01697146349489916
2001-05,108524,2704,0.024916147580258743
2001-06,121376,3840,0.03163722646981281
2001-07,125928,2964,0.02353725938631599
2001-08,109988,1760,0.016001745644979453
2001-09,129488,6580,0.05081551958482639
2001-10,145396,4700,0.032325511018184816
2001-11,119324,3524,0.029533036103382388
2001-12,97128,2868,0.029528045465777118
2002-01,107764,2404,0.022308006384321295
2002-02,107756,2468,0.022903597015479418
2002-03,106592,3568,0.033473431401981384
2002-04,115920,2996,0.025845410628019323
2002-05,106240,3484,0.03279367469879518
2002-06,100648,2220,0.022057070185199906
2002-07,120568,2500,0.02073518678256254
2002-08,98084,2184,0.02226662860405367
2002-09,100016,3352,0.03351463765797472
2002-10,115872,2784,0.024026512013256007
2002-11,93548,2520,0.02693804250224484
2002-12,91096,2324,0.02551154825678405
2003-01,144664,3720,0.025714759719073162
2003-02,146928,3588,0.024420124142437112
2003-03,170000,3840,0.02258823529411765
2003-04,158372,3352,0.02116535751269164
2003-05,158980,3444,0.021663102277015976
2003-06,160848,2344,0.014572764348950561
2003-07,180980,2120,0.01171400154713228
2003-08,152116,2108,0.013857845328565042
2003-09,177704,2392,0.013460586143249449
2003-10,184828,2232,0.012076092366957388
2003-11,161668,3148,0.01947200435460326
2003-12,169972,2544,0.014967171063469278
2004-01,162992,1840,0.011288897614606852
2004-02,176236,2088,0.011847749608479539
2004-03,200812,2820,0.01404298547895544
2004-04,184316,2364,0.012825799170988954
2004-05,166464,2496,0.014994232987312572
2004-06,172344,2352,0.013647124355939285
2004-07,188120,2112,0.011226876461832873
2004-08,179184,1984,0.011072417180105366
