,weight
retaliation,61.65078973021302
retaliatory,55.16448997699852
retaliatory_measures,51.10112216561893
escalation,50.12282388257937
countermeasures,49.35469077629427
retaliatory_tariffs,46.60586181735127
protectionist,45.023806032728025
commerce_ministry,44.57739188408683
protectionist_measures,43.44930738677092
punitive_tariffs,43.35356652510001
threatened,42.15434105709645
consequences,42.007685783492235
retaliate_against,41.817327046358464
imposing,41.59327593174219
unilateral,41.55851393503191
impose_sanctions,40.44148370018694
retaliated,39.42867621634501
escalate,39.21678306939294
antidumping,38.200132271956434
punitive_measures,36.97143549399628
imposing_tariffs,36.94651929351218
escalating,36.27330577221187
sefcovic,36.04288338006711
threats,35.91754823397319
chinese_textile,35.91421264747322
imposition,35.315393664083054
coercion,34.86480035649926
reciprocal,34.64306391412966
de_gucht,34.62532792845041
slap,34.60973512834718
punitive,34.32161202539369
hefty_tariffs,34.10888518367412
de_escalate,34.10000119830023
slapped,33.916966938111074
united_states,33.583675216527546
blackmail,33.56167739595332
restrict,33.36791972062063
imposing_sanctions,33.098424797021025
punitive_duties,33.08039836661816
counter_measures,32.93254810535076
safeguard_clause,32.61665694534998
take_effect,32.39715352110732
unilateral_sanctions,32.26459762472652
punish,32.26433575501776
extra_duty,32.14734916898008
antidumping_duties,32.1220041171015
impose_punitive,31.96862195138124
escalated,31.796274732390742
protectionist_policies,31.65552602237296
safeguard_measures,31.480196176302023
wto_members,31.335079377055834
retaliates,31.0492084591089
retaliating,30.751895864924627
aluminum_imports,30.721513841585416
circumvention,30.133422960146177
serious_consequences,29.961090095153956
reciprocity,29.768221300826895
malmstrom,29.751797270663594
slapped_tariffs,29.742269184427
tariffs_imposed,29.316515544909826
negotiated_solution,29.311641721109204
trade_barriers,29.191782191947524
unilaterally,28.846171821384367
import_levies,28.823796178795305
retaliatory_sanctions,28.178979639006513
restrictive_measures,28.120191402971894
unilateral_action,27.980391993427865
injure,27.92756996445288
counterproductive,27.55216529848945
quota_system,26.68936656942192
kallas,26.647000845505072
azevedo,26.038696409488363
counter_productive,25.43568204083075
irritant,25.431490123301703
unintended,25.41216449246533
imposes_tariffs,25.20759830694993
unjustifiable,25.057610046902468
suresh_puttegowda,24.897836070758157
zypries,24.859930699399083
provoking,24.73699732697564
penalise,24.482299364399076
frictions,24.03615844941514
duties_imposed,23.1106496499678
corrosion_resistant,22.707346535778687
injurious,22.104260523399944
reacted_angrily,22.078047828650803
reprisal,22.07096599078459
automoakers,21.564656549788
serious_repercussions,21.53512213532708
buyamerican,21.508666396467124
negative_consequences,21.479995103073147
commissioner_cecilia,21.34389082021243
generalized,21.169224043002302
quota_regime,21.166269795766567
unfriendly,20.972475010741782
ratcheting,20.051704827231422
footandmouth,18.149531663095576
regunaga,17.811501782294528
tarrifs,16.640905802892156
grows_lucid's,14.701103538843258
