,weight
sanctions,73.94120826844654
imposed_sanctions,63.26916615667181
uranium_enrichment,62.33645801686026
arms_embargo,59.79970031915684
nuclear_programme,59.23607032640757
impose_sanctions,57.55102766217739
tehran's_nuclear,57.154273844208454
sanctions_imposed,55.4408758030207
asset_freezes,55.04617910023758
punitive_measures,54.179612285202104
embargo,53.90794853378767
enrichment,53.30502394788819
iran_libya,52.75618671944533
impose,52.361288075035546
blacklist,51.55794416071738
imposing_sanctions,51.07467251354024
sanctioned,49.0902521489189
tehran's,48.505830691777184
nuclear_program,46.76048022854981
western_powers,46.49824181662012
bank_sepah,44.715471681244374
retaliate,44.260928399845966
veto_wielding,43.823769123296735
islamic_republic,43.80103395050292
retaliation,43.08648099644091
tougher_sanctions,43.03904588768684
unilateral,42.830745719744804
sanctions_resolution,42.738994648705244
imposing,42.646195293512626
deny_visas,42.03101049093574
nuclear_ambitions,41.06272348620506
magnitsky_act,40.82394728153349
travel_bans,40.49515392283959
nuclear_enrichment,40.452087454777775
embargoes,40.44091004490661
western_diplomats,40.346700372469925
sanction,40.23979305232871
punish,40.03580159030611
visa_bans,39.77584827525855
drafted_resolution,39.47725768601119
disputed_nuclear,38.51612013905186
stop_enriching,38.26906362850064
sanctions_resolutions,38.10073972243421
restrict,38.06695557491562
diplomats_say,37.316790981904084
halt_enrichment,36.998739959483025
visa_restrictions,36.89644628172124
sponsoring_terrorism,36.293667694734495
sanctioning,36.14894878752652
blacklisting,36.08593404755585
circumvention,35.81161397129024
peaceful_purposes,35.76976872459502
retaliatory_measures,35.472955709707854
targeted_sanctions,35.036772475286725
retaliate_against,34.91992319421526
daphne_psaledakis,34.647380450487226
unilaterally,33.664660606841764
harsher_sanctions,33.58920551189262
reimpose_sanctions,33.233878588041954
penalise,33.14443588624555
peaceful_nuclear,33.019804434881884
sponsor_terrorism,32.77088577854161
punitive,32.59413465530613
lifting_sanctions,32.46674625307941
serious_consequences,32.419773994214154
veto_powers,32.399224811309885
enrichment_work,32.280515400499866
reimposed,32.156667991721065
slapped_sanctions,32.022168729003106
veto_power,31.958736927079297
visa_ban,31.846181945858785
isolate,31.633738671313886
imposition,31.39513719811941
proliferators,31.360274835638748
reimpose,31.29681724270407
atomic_programme,31.17558900472705
guard_corps,30.851388328904896
saderat,30.06636151016247
iaea_resolution,29.692121104655925
prohibitions,29.59384432244587
unilateral_action,29.278417703573666
punitive_action,28.98264256610626
suspend_uranium,28.879636352025443
contravention,28.119846696390308
penalize,28.113373182380688
iran's_refusal,27.783185664254265
reimposing,27.466421579157775
atomic_ambitions,27.36149401319372
reimposition,27.357757228416936
restrictive_measures,26.940475409911738
resolution_demanding,26.479836510552207
flout,25.697662459451024
circumventing,25.487748440660816
considering_imposing,24.950321353005748
traditional_ally,24.929111562736708
retaliating,24.22792613859209
impose_penalties,23.9596923769456
toughened,23.581533546992336
toughening,23.52380982213102
strongly_opposes,23.197678341464616
