date,n_articles,n_gep_articles,GEP_daily
1996-01-01,120,0,0.0
1996-01-02,1496,0,0.0
1996-01-03,1988,16,0.008048289738430584
1996-01-04,2248,12,0.005338078291814947
1996-01-05,2120,0,0.0
1996-01-06,172,0,0.0
1996-01-07,240,0,0.0
1996-01-08,2052,0,0.0
1996-01-09,2436,0,0.0
1996-01-10,2312,8,0.0034602076124567475
1996-01-11,2512,4,0.0015923566878980893
1996-01-12,1820,0,0.0
1996-01-13,252,0,0.0
1996-01-14,192,4,0.020833333333333332
1996-01-15,1516,4,0.002638522427440633
1996-01-16,3288,8,0.0024330900243309003
1996-01-17,3556,0,0.0
1996-01-18,3304,8,0.002421307506053269
1996-01-19,2352,24,0.01020408163265306
1996-01-20,680,24,0.03529411764705882
1996-01-21,336,44,0.13095238095238096
1996-01-22,2444,16,0.006546644844517185
1996-01-23,3100,28,0.00903225806451613
1996-01-24,3168,20,0.006313131313131313
1996-01-25,3904,0,0.0
1996-01-26,2004,0,0.0
1996-01-27,208,0,0.0
1996-01-28,252,4,0.015873015873015872
1996-01-29,2056,4,0.0019455252918287938
1996-01-30,2956,0,0.0
1996-01-31,3556,0,0.0
1996-02-01,3744,0,0.0
1996-02-02,2872,4,0.001392757660167131
1996-02-03,48,0,0.0
1996-02-04,180,20,0.1111111111111111
1996-02-05,2292,8,0.0034904013961605585
1996-02-06,3404,0,0.0
1996-02-07,3796,16,0.004214963119072708
1996-02-08,4556,4,0.000877963125548727
1996-02-09,2988,0,0.0
1996-02-10,128,0,0.0
1996-02-11,212,0,0.0
1996-02-12,2664,4,0.0015015015015015015
1996-02-13,3980,8,0.0020100502512562816
1996-02-14,3468,0,0.0
1996-02-15,4852,12,0.00247320692497939
1996-02-16,2980,4,0.0013422818791946308
1996-02-17,168,0,0.0
1996-02-18,240,0,0.0
1996-02-19,844,8,0.009478672985781991
1996-02-20,2444,8,0.0032733224222585926
1996-02-21,3072,20,0.006510416666666667
1996-02-22,2376,24,0.010101010101010102
1996-02-23,2760,0,0.0
1996-02-24,84,0,0.0
1996-02-25,168,0,0.0
1996-02-26,2268,4,0.001763668430335097
1996-02-27,3236,4,0.0012360939431396785
1996-02-28,3172,0,0.0
1996-02-29,2932,8,0.002728512960436562
1996-03-01,1972,16,0.008113590263691683
1996-03-02,124,4,0.03225806451612903
1996-03-03,128,0,0.0
1996-03-04,2372,0,0.0
1996-03-05,2572,8,0.003110419906687403
1996-03-06,2752,8,0.0029069767441860465
1996-03-07,3224,20,0.00620347394540943
1996-03-08,2268,0,0.0
1996-03-09,216,0,0.0
1996-03-10,308,0,0.0
1996-03-11,2564,24,0.0093603744149766
1996-03-12,3520,0,0.0
1996-03-13,4044,16,0.003956478733926805
1996-03-14,3556,20,0.00562429696287964
