month,n_articles,n_gep_articles,GEP_monthly
1996-01,58640,388,0.006616643929058663
1996-02,65928,480,0.0072806698216235895
1996-03,63236,440,0.006958061863495477
1996-04,55628,836,0.015028402962536852
1996-05,62636,708,0.01130340379334568
1996-06,48228,544,0.011279754499460894
1996-07,65940,872,0.013224143160448893
1996-08,56948,660,0.011589520264100582
1996-09,62852,468,0.007446063768853815
1996-10,74080,432,0.005831533477321814
1996-11,63236,744,0.011765450060092353
1996-12,63112,1076,0.017049055647103562
1997-01,66528,352,0.005291005291005291
1997-02,73488,600,0.008164598301763554
1997-03,73136,772,0.010555677094727631
1997-04,83844,764,0.009112160679356902
1997-05,81480,572,0.00702012763868434
1997-06,82460,732,0.008877031287897161
1997-07,91740,648,0.007063440156965337
1997-08,90308,664,0.007352615493643974
1997-09,96276,956,0.009929785200880802
1997-10,129924,1428,0.010991040916227948
1997-11,113420,1104,0.009733733027684712
1997-12,105476,1176,0.011149455800371648
1998-01,96560,980,0.010149130074565037
1998-02,77936,960,0.012317799219872716
1998-03,162720,1120,0.00688298918387414
1998-04,160744,1384,0.008609963668939432
1998-05,159668,2648,0.016584412656261743
1998-06,156032,2548,0.016329983593109106
1998-07,145556,1328,0.009123636263706065
1998-08,148136,1708,0.011529945455527353
1998-09,141908,1464,0.010316543112439045
1998-10,166720,1204,0.00722168905950096
1998-11,144760,1708,0.011798839458413927
1998-12,125372,1036,0.008263408097501835
1999-01,137844,2180,0.015814979251907953
1999-02,143224,1348,0.009411830419482767
1999-03,161900,1488,0.009190858554663372
1999-04,157872,1224,0.007753116448768623
1999-05,136916,1572,0.011481492301849309
1999-06,139448,1236,0.008863519017841777
1999-07,138084,1000,0.007241968656759653
1999-08,115860,820,0.007077507336440532
1999-09,114308,1208,0.01056793925184589
1999-10,122484,864,0.007053982560987558
1999-11,116176,1192,0.010260294725244456
1999-12,101288,868,0.0085696232525077
2000-01,115008,764,0.006643016138007791
2000-02,121616,828,0.0068083146954348115
2000-03,111492,832,0.007462418828256736
2000-04,102084,680,0.0066611809882057916
2000-05,109624,768,0.007005765160913668
2000-06,105960,900,0.008493771234428085
2000-07,107252,1484,0.013836571812180658
2000-08,104148,848,0.008142259092829436
2000-09,107112,1456,0.013593248188811712
2000-10,120340,1088,0.009041050357320925
2000-11,110620,2052,0.01854999096004339
2000-12,15276,156,0.01021209740769835
2001-01,119716,1112,0.009288649804537405
2001-02,109940,1252,0.011388029834455157
2001-03,110956,1428,0.012869966473196583
2001-04,85084,728,0.008556250293827276
2001-05,108524,1008,0.00928826803287752
2001-06,121376,1100,0.009062747165831796
2001-07,125928,1664,0.013213900006352837
2001-08,109988,836,0.00760082918136524
2001-09,129488,2760,0.021314716421598913
2001-10,145396,1992,0.01370051445706897
2001-11,119324,1328,0.011129362073011297
2001-12,97128,1004,0.010336875051478461
2002-01,107764,1136,0.01054155376563602
2002-02,107756,1008,0.009354467500649616
2002-03,106592,1756,0.01647403182227559
2002-04,115920,1396,0.012042788129744651
2002-05,106240,1260,0.011859939759036145
2002-06,100648,1212,0.012041968047055084
2002-07,120568,1084,0.008990776988919116
2002-08,98084,1012,0.010317686880632927
2002-09,100016,1516,0.015157574788033914
2002-10,115872,1556,0.013428610880972107
2002-11,93548,1216,0.0129986744772737
2002-12,91096,1748,0.019188548344603495
2003-01,144664,2220,0.015345904993640436
2003-02,146928,2444,0.016633997604268758
2003-03,170000,2072,0.012188235294117647
2003-04,158372,1464,0.009244058293132625
2003-05,158980,2040,0.012831802742483332
2003-06,160848,1652,0.010270566000198945
2003-07,180980,1712,0.009459608796552105
2003-08,152116,2012,0.013226748008099082
2003-09,177704,1876,0.010556881105658849
2003-10,184828,1920,0.010388036444694528
2003-11,161668,1988,0.012296805799539798
2003-12,169972,2068,0.0121667098110277
2004-01,162992,1952,0.011976047904191617
2004-02,176236,2136,0.012120111668444586
2004-03,200812,1844,0.009182718164253133
2004-04,184316,1824,0.009896048091321425
2004-05,166464,1432,0.00860246059207997
2004-06,172344,1792,0.010397809033096598
2004-07,188120,1432,0.007612162449500319
2004-08,179184,1460,0.008148048932940442
2004-09,168580,1612,0.009562225649543244
2004-10,185164,1940,0.01047719859151887
2004-11,174664,2208,0.012641414372738516
2004-12,165492,1436,0.00867715659971479
2005-01,183420,1300,0.007087558608657726
2005-02,182364,1824,0.01000197407383036
